publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
American Journal of Botany	0002-9122	1537-2197	1914	1	1	2014			http://www.jstor.org/journal/americanjbotany		americanjbotany		fulltext	Moving Wall:5 years		serial								P	130380598
Annals of the Missouri Botanical Garden	0026-6493	2162-4372	1914	1	1	2016			http://www.jstor.org/journal/annamissbotagard		annamissbotagard		fulltext	Moving Wall: 3 years		serial								P	154285757
Annual Review of Ecology and Systematics	0066-4162	2330-1902	1970	1		2002	33		http://www.jstor.org/journal/annureviecolsyst		annureviecolsyst		fulltext	Now: Annual Review of Ecology, Evolution and Systematics		serial								P	118934082
Annual Review of Ecology, Evolution and Systematics	1543-592X	1545-2069	2003	34		2014			https://www.jstor.org/journal/annureviecolevol		annureviecolevol		fulltext	Previously: Annual Review of Ecology and Systematics (1970-2002) Moving Wall: 5 years		serial								P	117377546
Biodiversity Letters	0967-9952		1993	1	1	1996	3	6	http://www.jstor.org/journal/biodlett		biodlett		fulltext	now: Diversity and Distributions		serial								P	
Biotropica	0006-3606	1744-7429	1969	1	1	2014			http://www.jstor.org/journal/biotropica		biotropica		fulltext	Previously: Bulletin (Association for Tropical Biology) (1962 -1967) Moving Wall: 5 years		serial								P	130589322
Botanical Bulletin	1529-4560		1875	1	1	1876	1	12	http://www.jstor.org/journal/botabull		botabull		fulltext	now: International Journal of Plant Sciences. continues: Botanical Gazette (1876-1991)		serial								P	
Botanical Gazette	0006-8071		1876	2	1	1991	152	4	http://www.jstor.org/journal/botanicalgazette		botanicalgazette		fulltext	now: International Journal of Plant Sciences. previously: Botanical Bulletin (1875-1876)		serial								P	
Brittonia	0007-196X	1938-436X	1931	1	1	2014			http://www.jstor.org/journal/brittonia		brittonia		fulltext	Moving Wall: 5 years		serial								P	115213910
Bulletin (Association for Tropical Biology)	0571-5725		1964		2	1967		8	http://www.jstor.org/journal/bullassotropbiol		bullassotropbiol		fulltext	Now: Biotropica		serial								P	
Bulletin of the Gray Memorial Botanical Chapter of the Agassiz Association	2470-5977	2471-8009	1893	1	1	1893	1	1	https://www.jstor.org/journal/bullgraymemobota		bullgraymemobota		fulltext	Now: Ecology (1920-)		serial								P	19324389X
Bulletin of the Torrey Botanical Club	0040-9618		1870	1	1	1996	123	4	http://www.jstor.org/journal/bulltorrbotaclub		bulltorrbotaclub		fulltext	now: Journal of the Torrey Botanical Society		serial								P	
Conservation Biology	0888-8892	1523-1739	1987	1	1	2014			http://www.jstor.org/journal/consbiol		consbiol		fulltext	Moving Wall: 5 years		serial								P	044994354
Diversity and Distributions	1366-9516	1472-4642	1998	4	1				http://www.jstor.org/journal/divedist		divedist		fulltext	previously: Biodiversity Letters (1993-1996). Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	05829063X
Ecological Applications	1051-0761	1939-5582	1991	1	1	2017			https://www.jstor.org/journal/ecolappl		ecolappl		fulltext	Moving Wall: 2 years		serial								P	118354485
Ecological Monographs	0012-9615	1557-7015	1931	1	1	2017			https://www.jstor.org/journal/ecolmono		ecolmono		fulltext	Moving Wall: 2 years		serial								P	116253665
Ecology	0012-9658	1939-9170	1920	1	1	2017			https://www.jstor.org/journal/ecology		ecology		fulltext	Previously: The Plant World (1898-1919). Moving Wall: 2 years		serial								P	118362712
Evolution	0014-3820	1558-5646	1947	1	1/2	2017			http://www.jstor.org/journal/evolution		evolution		fulltext	Moving Wall: 2 years		serial								P	116256443
Functional Ecology	0269-8463	1365-2435	1987	1	1	2014			http://www.jstor.org/journal/funcecol		funcecol		fulltext	Moving Wall: 5 years		serial								P	044837070
Global Ecology and Biogeography	1466-822X	1466-8238	1999	8	1	2014			http://www.jstor.org/journal/globecolbiog		globecolbiog		fulltext	Moving Wall: 5 years		serial								P	058286853
Global Ecology and Biogeography Letters	0960-7447		1991	1	1	1998	7	6	http://www.jstor.org/journal/globecolbioglett		globecolbioglett		fulltext	now: Global Ecology and Biogeography		serial								P	
International Journal of Plant Sciences	1058-5893	1537-5315	1992	153	1	2015	176	9	http://www.jstor.org/journal/intejplanscie		intejplanscie		fulltext	previously: Botanical Bulletin (1875-1876), Botanical Gazette (1876-1991). Coverage presently ends: 2015. JSTOR will resume a moving wall of 5 years in 2021.		serial								P	076866726
Journal of Animal Ecology	0021-8790	1365-2656	1932	1	1	2014			https://www.jstor.org/journal/janimalecology		janimalecology		fulltext	Moving Wall: 5 years		serial								P	050928074
Journal of Applied Ecology	0021-8901	1365-2664	1964	1	1	2014			http://www.jstor.org/journal/jappliedecology		jappliedecology		fulltext	Moving Wall: 5 years		serial								P	050928082
Journal of Biogeography	0305-0270	1365-2699	1974	1	1	2014			http://www.jstor.org/journal/jbiogeography		jbiogeography		fulltext	Moving Wall: 5 years		serial								P	050928112
Journal of Ecology	0022-0477	1365-2745	1913	1	1	2014			https://www.jstor.org/journal/jecology		jecology		fulltext	Moving Wall: 5 years		serial								P	050928155
Journal of Tropical Ecology	0266-4674	1469-7831	1985	1	1	2014			http://www.jstor.org/journal/jtropicalecology		jtropicalecology		fulltext	Moving Wall: 5 years		serial								P	048900664
Limnology and Oceanography	0024-3590	1939-5590	1956	1	1	2016			http://www.jstor.org/journal/limnocea		limnocea		fulltext	Moving Wall: 3 years		serial								P	118354493
Memoirs of the Torrey Botanical Club	0097-3807	2470-6019	1889	1	1	1993	25	1	http://www.jstor.org/journal/memotorrbotaclub		memotorrbotaclub		fulltext	Ceased:1993 Continues as: Memoirs of the Torrey Botanical Society (2010-)		serial								P	191530921
Memoirs of the Torrey Botanical Society	2380-128X		2010	26		2019			http://www.jstor.org/journal/memotorrbotasoci		memotorrbotasoci		fulltext	Memoirs of the Torrey Botanical Club (1889-1993) Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
Midland Naturalist	0271-6844		1909	1	1	1909	1	4	http://www.jstor.org/journal/midlnatu		midlnatu		fulltext	Now: The American Midland Naturalist		serial								P	
Missouri Botanical Garden Annual Report	0893-3243		1890	1890		1912	1912		http://www.jstor.org/journal/missbotagardannu		missbotagardannu		fulltext	Ceased: 1912		serial								P	
New Phytologist	0028-646X	1469-8137	1902	1	1	2016			http://www.jstor.org/journal/newphytologist		newphytologist		fulltext	3 years		serial								P	048900818
Paleobiology	0094-8373	1938-5331	1975	1	1	2015			http://www.jstor.org/journal/paleobiology		paleobiology		fulltext	Moving Wall: 4 years		serial								P	115434607
Systematic Biology	1063-5157	1076-836X	1992	41	1	2016			http://www.jstor.org/journal/systbiol		systbiol		fulltext	Previously: Systematic Zoology (1952-1991) Moving Wall: 3 years		serial								P	040628825
Systematic Botany	0363-6445	1548-2324	1976	1	1	2014			http://www.jstor.org/journal/systematicbotany		systematicbotany		fulltext	Moving Wall: 5 years		serial								P	076881830
Systematic Zoology	0039-7989		1952	1	1	1991	40	4	http://www.jstor.org/journal/systzool		systzool		fulltext	Now: Systematic Biology		serial								P	
The American Midland Naturalist	0003-0031	1938-4238	1909	1	5	2016			http://www.jstor.org/journal/amermidlnatu		amermidlnatu		fulltext	Previously: Midland Naturalist (1909) Moving Wall: 3 years		serial								P	120657856
The American Naturalist	0003-0147	1537-5323	1867	1	1	2015	186	6	http://www.jstor.org/journal/amernatu		amernatu		fulltext	Coverage presently ends: 2015. JSTOR will resume a moving wall of 5 years in 2021		serial								P	076866734
The Asa Gray Bulletin	2470-5985	2471-8017	1893	1	2	1901	8	6	https://www.jstor.org/journal/asagraybull		asagraybull		fulltext	Now: Ecology (1920-)		serial								P	193243903
The Journal of the Torrey Botanical Society	1095-5674	1940-0616	1997	124	1	2016			http://www.jstor.org/journal/jtorrbotasoci		jtorrbotasoci		fulltext	Previously: Bulletin of the Torrey Botanical Club (1870-1996) Moving Wall: 3 years		serial								P	119403161
The Plant World	0096-8307	2381-5876	1898	2	1	1919	22	12	https://www.jstor.org/journal/plantworld		plantworld		fulltext	Now: Ecology		serial								P	189402741
The Quarterly Review of Biology	0033-5770	1539-7718	1926	1	1	2015	90	4	http://www.jstor.org/journal/quarrevibiol		quarrevibiol		fulltext	Coverage presently ends: 2015. JSTOR will resume a moving wall of 5 years in 2021		serial								P	07687009X
Torreya	0096-3844		1901	1	1	1945	45	4	http://www.jstor.org/journal/torreya		torreya		fulltext	Merged into: Bulletin of the Torrey Botanical Club		serial								P	
