publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Abstracts of the Papers Communicated to the Royal Society of London	0365-0855	2053-9134	1843	5		1850	6		https://www.jstor.org/journal/abstpapecommroya		abstpapecommroya		fulltext	Absorbed: Proceedings of the Royal Society of London (ISSN:0370-1662) 1854-1904		serial								P	17428716X
Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London	0365-5695	2053-9142	1800	1		1837	4		https://www.jstor.org/journal/abstpapeprinphil		abstpapeprinphil		fulltext	Absorbed: Abstracts of the Papers Communicated to the Royal Society of London (ISSN:0365-0855) 1843-50		serial								P	174287178
American Scientist	0003-0996		1942	30	2	2014			https://www.jstor.org/journal/amerscie		amerscie		fulltext	Previously: Sigma Xi Quarterly (1913-1942) Moving Wall: 5 years		serial								P	
Association Medical Journal	2041-9996		1853	1	1	1856	4	208	https://www.jstor.org/journal/assomedj		assomedj		fulltext	Absorbed: British Medical Journal (ISSN:0007-1447) 1857-1980		serial								P	
BMJ: British Medical Journal	0959-8138		1988	297	6640	2016			https://www.jstor.org/journal/bmjbritmedj		bmjbritmedj		fulltext	Moving Wall:3 years		serial								P	
British Journal of Industrial Medicine	0007-1072		1944	1	1	1993	50	12	https://www.jstor.org/journal/brijindumedi		brijindumedi		fulltext	now: Occupational and Environmental Medicine		serial								P	
British Journal of Preventive and Social Medicine	0007-1242		1953	7	1	1977	31	4	https://www.jstor.org/journal/britjprevsocmed		britjprevsocmed		fulltext	now: Journal of Epidemiology and Community Health (1979-);continues:Epidemiology and Community Health (1979), Journal of Epidemiology and Community Health (1978). previously:British Journal of Social Medicine (1947-1952)		serial								P	
British Journal of Social Medicine	0366-0842		1947	1	1	1952	6	4	https://www.jstor.org/journal/britjsocimedi		britjsocimedi		fulltext	now: Journal of Epidemiology and Community Health (1979-); continues:British Journal of Preventive and Social Medicine (1953-1977) Epidemiology and Community Health (1979), Journal of Epidemiology and Community Health (1978)		serial								P	
British Medical Journal (Clinical Research Edition)	0267-0623		1981	282	6257	1988	296		https://www.jstor.org/journal/britmedjclires		britmedjclires		fulltext	Now: BMJ. Previously: British Medical Journal (1857-1980); Association Medical Journal (1853-1856); Provincial Medical and Surgical Journal (1844-1852); Provincial Medical Journal and Retrospect of the Medical Sciences (1842-1844); Provincial Medical and Surgical Journal (1840-1842)		serial								P	
Cancer Causes and Control	0957-5243	1573-7225	1990	1	1	2016			https://www.jstor.org/journal/canccauscont		canccauscont		fulltext	Moving Wall: 3 years		serial								P	107840073
Clinical Infectious Diseases	1058-4838	1537-6591	1992	14	1	2014			https://www.jstor.org/journal/clininfedise		clininfedise		fulltext	Previously: Reviews of Infectious Diseases (1979-1991)Moving Wall: 5 years		serial								P	074022164
Current Directions in Psychological Science	0963-7214	1467-8721	1992	1	1	2014			https://www.jstor.org/journal/curdirpsychscie		curdirpsychscie		fulltext	Moving Wall: 5 years		serial								P	058287566
Environmental Health Perspectives	0091-6765	1552-9924	1972	1		2012	120	12	https://www.jstor.org/journal/envihealpers		envihealpers		fulltext	Current Issues of Environmental Health Perspectives are freely available to all users on the journal's website.		serial								P	083141057
Epidemiology	1044-3983		1990	1	1	2014			https://www.jstor.org/journal/epidemiology		epidemiology		fulltext	Moving Wall: 5 years		serial								P	
Epidemiology & Infection	0950-2688	1469-4409	1987	98	1	2014			https://www.jstor.org/journal/epidinfe		epidinfe		fulltext	Previously: Journal of Hygiene (1901-1986) Moving Wall: 5 years. Open Access from 2019.		serial								P	048900303
Epidemiology and Community Health	0142-467X		1979	33	1	1979	33	1	http://www.jstor.org/journal/epidcommheal		epidcommheal		fulltext	now: Journal of Epidemiology and Community Health (1979-). Previously: Journal of Epidemiology and Community Health (1978); British Journal of Preventive and Social Medicine (1953-1977); British Journal of Social Medicine (1947-1952)		serial								P	
European Journal of Epidemiology	0393-2990	1573-7284	1985	1	1	2016			https://www.jstor.org/journal/eurojepid		eurojepid		fulltext	Moving Wall: 3 years		serial								P	104823291
Journal of Community Health Nursing	0737-0016	1532-7655	1984	1	1	2012			https://www.jstor.org/journal/jcommhealnurs		jcommhealnurs		fulltext	Moving Wall: 7 years		serial								P	058403892
Journal of Epidemiology and Community Health (1978)	0141-7681		1978	32	1	1978	32	4	http://www.jstor.org/journal/jepidcommh1978		jepidcommh1978		fulltext	now: Journal of Epidemiology and Community Health (1979-); previously:Journal of Epidemiology and Community Health (1978) Epidemiology and Community Health (1979); British Journal of Preventive and Social Medicine (1953-1977); British Journal of Social Medicine (1947-1952)		serial								P	
Journal of Epidemiology and Community Health (1979)	0143-005X	1470-2738	1979	33	2	2016			http://www.jstor.org/journal/jepidcommheal		jepidcommheal		fulltext	previously:Journal of Epidemiology and Community Health (1978) Epidemiology and Community Health (1979); British Journal of Preventive and Social Medicine (1953-1977); British Journal of Social Medicine (1947-1952) Moving Wall: 3 years		serial								P	090128834
Journal of Hygiene	0022-1724		1901	1	1	1986	97	3	https://www.jstor.org/journal/jhygiene		jhygiene		fulltext	now: Epidemiology and Infection		serial								P	
Journal of Medical Ethics	0306-6800	1473-4257	1975	1	1	2016			https://www.jstor.org/journal/jmedethics		jmedethics		fulltext	Moving Wall: 3 years		serial								P	094932042
London Journal of Medicine	2041-9988		1849	1	1	1852	4	46	https://www.jstor.org/journal/londonjmed		londonjmed		fulltext	Absorbed: Association Medical Journal (ISSN:2041-9996) 1853-1856		serial								P	
Occupational and Environmental Medicine	1351-0711	1470-7926	1994	51	1	2016			http://www.jstor.org/journal/occuenvimedi		occuenvimedi		fulltext	Previously:British Journal of Industrial Medicine(1944-1993) Moving Wall: 3 years		serial								P	116936703
Perspectives on Psychological Science	1745-6916	1745-6924	2006	1	1	2014			https://www.jstor.org/journal/perspsycscie		perspsycscie		fulltext	Moving Wall: 5 years		serial								P	110921348
Philosophical Transactions (1665-1678)	0370-2316	2053-9207	1665	1		1678	12		https://www.jstor.org/journal/philtran1665167		philtran1665167		fulltext	Absorbed: Philosophical Transactions (ISSN:0260-7085) 1683-1775		serial								P	174287232
Philosophical Transactions (1683-1775)	0260-7085	2053-9215	1683	13		1775	65		https://www.jstor.org/journal/philtran1683177		philtran1683177		fulltext	Absorbed: Philosophical Transactions of the Royal Society of London (ISSN:0261-0523) 1776-1886		serial								P	174287240
Philosophical Transactions of the Royal Society of London	0261-0523	2053-9223	1776	66		1886	177		https://www.jstor.org/journal/philtranroyasoc3		philtranroyasoc3		fulltext	Absorbed: Philosophical Transactions of the Royal Society of London. A.(ISSN:0264-3820). 1887-1895		serial								P	174287259
Philosophical Transactions of the Royal Society of London. A	0264-3820	2053-9231	1887	178		1895	186		https://www.jstor.org/journal/philtranroyasoc4		philtranroyasoc4		fulltext	Absorbed: Philosophical Transactions of the Royal Society of London. Series A, Containing Papers of a Mathematical or Physical Character (ISSN:0264-3952) 1896-1934		serial								P	174287267
Philosophical Transactions of the Royal Society of London. B	0264-3839	2053-924X	1887	178		1895	186		https://www.jstor.org/journal/philtranroyasoc5		philtranroyasoc5		fulltext	Absorbed: Philosophical Transactions of the Royal Society of London. Series B, Containing Papers of a Biological Character (ISSN:0264-3960) 1896-1934		serial								P	174287275
Philosophical Transactions of the Royal Society of London. Series A, Containing Papers of a Mathematical or Physical Character	0264-3952	2053-9258	1896	187		1934	233		https://www.jstor.org/journal/philtranroyasoc6		philtranroyasoc6		fulltext	Absorbed: Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences (ISSN:0080-4614) 1934-1990		serial								P	174287283
Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences	0080-4614	2054-0272	1934	234	731	1990	331	1622	https://www.jstor.org/journal/philtranroyasoci		philtranroyasoci		fulltext	Absorbed: Philosophical Transactions: Physical Sciences and Engineering (ISSN:0962-8428) 1990-1995		serial								P	174287356
Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences	0080-4622	2054-0280	1934	224	509	1990	328	1251	https://www.jstor.org/journal/philtranroyasoc2		philtranroyasoc2		fulltext	Absorbed: Philosophical Transactions: Biological Sciences (ISSN:962-8436) 1990-2017		serial								P	174287364
Philosophical Transactions of the Royal Society of London. Series B, Containing Papers of a Biological Character	0264-3960	2053-9266	1896	187		1934	223		https://www.jstor.org/journal/philtranroyasoc7		philtranroyasoc7		fulltext	Absorbed: Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences (ISSN:0080-4622) 1934-1990		serial								P	174852991
Philosophical Transactions. Series A, Mathematical, Physical, and Engineering Sciences	1364-503X	1471-2962	1996	354	1704	2016			https://www.jstor.org/journal/philtranmathphys		philtranmathphys		fulltext	Moving Wall: 3 years		serial								P	058290141
Philosophical Transactions: Biological Sciences	0962-8436	1471-2970	1990	329	1252	2016			https://www.jstor.org/journal/philtranbiolscie		philtranbiolscie		fulltext	3 years		serial								P	05829015X
Philosophical Transactions: Physical Sciences and Engineering	0962-8428	2054-0299	1990	332	1623	1995	353	1703	https://www.jstor.org/journal/philtranphysscie		philtranphysscie		fulltext	Absorbed: Philosophical Transactions: Mathematical, Physical and Engineering Sciences (ISSN:1364-503X) 1996-2017		serial								P	174287372
Proceedings of the National Academy of Sciences of the United States of America	0027-8424		1915	1	1	2017			https://www.jstor.org/journal/procnatiacadscie		procnatiacadscie		fulltext	Moving Wall: 2 years		serial								P	
Proceedings of the Royal Society B: Biological Sciences	0962-8452	1471-2954	1990	241	1300	2016			https://www.jstor.org/journal/procbiolscie		procbiolscie		fulltext	Previously: Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character (1905-1934) and Proceedings of the Royal Society of London. Series B, Biological Sciences (1934-1990) Moving Wall: 3 years		serial								P	058290133
Proceedings of the Royal Society of London	0370-1662	2053-9126	1854	7		1904	75		https://www.jstor.org/journal/procroyasocilon3		procroyasocilon3		fulltext	Absorbed: Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character (ISSN:0950-1207) 1905-1934		serial								P	174852983
Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character	0950-1207	2053-9150	1905	76	507	1934	146	859	https://www.jstor.org/journal/procroyasocilon5		procroyasocilon5		fulltext	Absorbed: Proceedings of the Royal Society of London. Series A, Mathematical and Physical Sciences (ISSN: 0080-4630) 1934-1990		serial								P	174287186
Proceedings of the Royal Society of London. Series A, Mathematical and Physical Sciences	0080-4630	2053-9169	1934	147	860	1990	429	1877	https://www.jstor.org/journal/procroyasocilond		procroyasocilond		fulltext	Absorbed: Proceedings: Mathematical and Physical Sciences (ISSN:0962-8444) 1990-1995		serial								P	174287194
Proceedings of the Royal Society of London. Series B, Biological Sciences	0080-4649	2053-9193	1934	116	796	1990	240	1299	https://www.jstor.org/journal/procroyasocilon2		procroyasocilon2		fulltext	Absorbed:Proceedings: Biological Sciences(ISSN:0962-8452) 1990-21017		serial								P	174287224
Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character	0950-1193	2053-9185	1905	76	507	1934	115	795	https://www.jstor.org/journal/procroyasocilon4		procroyasocilon4		fulltext	Absorbed: Proceedings of the Royal Society of London. Series B, Biological Sciences (ISSN:0080-4649) 1934-1990		serial								P	174287216
Proceedings: Mathematical and Physical Sciences	0962-8444	2053-9177	1990	430	1878	1995	451	1943	https://www.jstor.org/journal/procmathphysscie		procmathphysscie		fulltext	Absorbed: Proceedings: Mathematical, Physical and Engineering Sciences (ISSN:1364-5021) (1996-2017)		serial								P	174287208
Proceedings: Mathematical, Physical and Engineering Sciences	1364-5021	1471-2946	1996	452	1944	2016			https://www.jstor.org/journal/procmathphysengi		procmathphysengi		fulltext	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character (1905-1934) and Proceedings of the Royal Society of London. Series A, Mathematical and Physical Sciences (1935-1990) and Proceedings: Mathematical and Physical Sciences (1990-1995) Moving Wall: 3 years		serial								P	058290125
Provincial Medical & Surgical Journal	2041-9953		1840	1	1	1842	3	27	https://www.jstor.org/journal/provmedsurgj1840		provmedsurgj1840		fulltext	Absorbed: Association Medical Journal (ISSN:2041-9996) 1853-1856		serial								P	
Provincial Medical & Surgical Journal (1844)	2041-997X		1844	8	1	1852	16	26	https://www.jstor.org/journal/provmedsurgj1844		provmedsurgj1844		fulltext	Absorbed: Association Medical Journal (ISSN:2041-9996) 1853-1856		serial								P	
Provincial Medical Journal and Retrospect of the Medical Sciences	2041-9961		1842	4	1	1844	7	182	https://www.jstor.org/journal/provmedjandrms		provmedjandrms		fulltext	Absorbed: Association Medical Journal (ISSN:2041-9996) 1853-1856		serial								P	
Psychological Science	0956-7976	1467-9280	1990	1	1	2014			https://www.jstor.org/journal/psychsci		psychsci		fulltext	Moving Wall: 5 years		serial								P	058287663
Psychological Science in the Public Interest	1529-1006	2160-0031	2000	1	1	2014			https://www.jstor.org/journal/psychscipubint		psychscipubint		fulltext	Moving Wall: 5 years		serial								P	15198395X
Reviews of Infectious Diseases	0162-0886		1979	1	1	1991	13	6	https://www.jstor.org/journal/reviinfedise		reviinfedise		fulltext	now: Clinical Infectious Diseases		serial								P	
Science	0036-8075	1095-9203	1880	1	1	2014			https://www.jstor.org/journal/science		science		fulltext	Moving Wall: 5 years		serial								P	115964703
Sigma Xi Quarterly	0096-977X		1913	1	1	1942	30	1	https://www.jstor.org/journal/sigmxiquar		sigmxiquar		fulltext	Now: American Scientist		serial								P	
The American Journal of Nursing	0002-936X	1538-7488	1900	1	1	2014			https://www.jstor.org/journal/americanjnursing		americanjnursing		fulltext	Moving Wall: 5 years		serial								P	104868309
The British Medical Journal	0007-1447		1857	1	1	1980	281		https://www.jstor.org/journal/britmedj		britmedj		fulltext	now: BMJ, previously: British Medical Journal - Clinical Research Edition 1981-1988; British Medical Journal 1857-1980; Association Medical Journal 1853-1856; Provincial Medical and Surgical Journal 1844-1852; Provincial Medical Journal and Retrospect of the Medical Sciences 1842-1844; Provincial Medical and Surgical Journal 1840-1842		serial								P	
The Journal of Infectious Diseases	0022-1899	1537-6613	1904	1	1	2014			https://www.jstor.org/journal/jinfedise		jinfedise		fulltext	Moving Wall: 5 years		serial								P	123677696
The Scientific Monthly	0096-3771		1915	1	1	1957	85	6	https://www.jstor.org/journal/sciemont		sciemont		fulltext	Incorporated into: Science (ISSN:0036-8075)		serial								P	
Tobacco Control	0964-4563	1468-3318	1992	1	1	2016			https://www.jstor.org/journal/tobaccocontrol		tobaccocontrol		fulltext	Moving Wall: 3 years		serial								P	048899895
