publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
All Ireland Review	2009-2415		1900	1	1	1902	3	43	http://www.jstor.org/journal/allirelandrev		allirelandrev		fulltext	Ceased: 1907		serial								P	
American Journal of Irish Studies	2165-3224	2169-7825	2011	8					http://www.jstor.org/journal/amerjirisstud		amerjirisstud		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	16942801X
Analecta Hibernica	0791-6167		1930		1				http://www.jstor.org/journal/analhibe		analhibe		fulltext	Moving Wall: 3 years		serial								P	
Archaeology Ireland	0790-892X		1987	1	1				http://www.jstor.org/journal/archirel		archirel		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
Archivium Hibernicum	0044-8745		1912	1					http://www.jstor.org/journal/archhibe		archhibe		fulltext	Moving Wall: 3 years		serial								P	
Before I Forget: Journal of the Poyntzpass and District Local History Society	2040-0101		1987		1				http://www.jstor.org/journal/befoforgjpoyndis		befoforgjpoyndis		fulltext	No issues were published from 2010-2011. Vol. 11 (2012) will be released in 2016. Moving Wall:3 years		serial								P	
Biology and Environment: Proceedings of the Royal Irish Academy	0791-7945		1993	93B	1				http://www.jstor.org/journal/biolenviprocria		biolenviprocria		fulltext	Moving Wall: 3 years		serial								P	
Books Ireland	0376-6039		1976		1				http://www.jstor.org/journal/booksireland		booksireland		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR		serial								P	
Béaloideas	0332-270X		1927	1	1				http://www.jstor.org/journal/bealoideas		bealoideas		fulltext	Moving Wall: 5 years		serial								P	
Circa	0263-9475		1981		1	2009		130	http://www.jstor.org/journal/circa		circa		fulltext	Beginning with No. 131 (2010), this journal has been published online.		serial								P	
Classics Ireland	0791-9417		1994	1					http://www.jstor.org/journal/classicsireland		classicsireland		fulltext	Moving Wall: 3 years		serial								P	
Clogher Record	0412-8079		1953	1	1				http://www.jstor.org/journal/clogreco		clogreco		fulltext	Moving Wall: 1 year		serial								P	
Collectanea Hibernica	0530-7058		1958		1	2006		48	http://www.jstor.org/journal/collhibe		collhibe		fulltext	Ceased: 2006		serial								P	
Comhar	0010-2369		1942	1	2				http://www.jstor.org/journal/comhar		comhar		fulltext	Moving Wall: 3 years		serial								P	
Dublin Historical Record	0012-6861		1938	1	1				http://www.jstor.org/journal/dublhistreco		dublhistreco		fulltext	Moving Wall:3 years		serial								P	
Eighteenth-Century Ireland / Iris an dá chultúr	0790-7915		1986	1					http://www.jstor.org/journal/eighcentirel		eighcentirel		fulltext	Moving Wall: 3 years		serial								P	
Eolas: The Journal of the American Society of Irish Medieval Studies	1931-2539		2006	1					http://www.jstor.org/journal/eolas		eolas		fulltext	1 year		serial								P	
Field Day Review	1649-6507		2005	1					http://www.jstor.org/journal/fieldayrev		fieldayrev		fulltext	Moving Wall:1 Year		serial								P	
Fortnight	0141-7762		1970		1	2012		478	http://www.jstor.org/journal/fortnight		fortnight		fulltext	Ceased:2012		serial								P	
Gadelica: A Journal of Modern Irish Studies	2009-0943		1912	1	1	1913	1	4	http://www.jstor.org/journal/gadelica		gadelica		fulltext	Ceased: 1913		serial								P	
History Ireland	0791-8224		1993	1	1				http://www.jstor.org/journal/histirel		histirel		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
IJAS Online		2009-2377	2009	1					http://www.jstor.org/journal/ijasonline		ijasonline		fulltext	Previously: Irish Journal of American Studies (1992-2004). Moving Wall: 1 year		serial								P	136221963
Irish Archaeological Research Forum	0959-4280		1974	1	1	1978	5		http://www.jstor.org/journal/irisarchreseforu		irisarchreseforu		fulltext	Absorbed		serial								P	
Irish Arts Review (1984-1987)	0790-178X		1984	1	1	1987	4	4	http://www.jstor.org/journal/irisartsrevi1984		irisartsrevi1984		fulltext	Absorbed		serial								P	
