publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Abstracts of the Papers Communicated to the Royal Society of London	0365-0855	2053-9134	1843	5		1850	6		http://www.jstor.org/journal/abstpapecommroya		abstpapecommroya		fulltext	Absorbed		serial								P	17428716X
Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London	0365-5695	2053-9142	1800	1		1837	4		http://www.jstor.org/journal/abstpapeprinphil		abstpapeprinphil		fulltext	Absorbed		serial								P	174287178
Advances in Applied Probability	0001-8678	1475-6064	1969	1	1	2016			http://www.jstor.org/journal/advaapplprob		advaapplprob		fulltext	Moving Wall: 3 years		serial								P	06416179X
American Journal of Mathematics	0002-9327	1080-6377	1878	1	1	2014			https://www.jstor.org/journal/amerjmath		amerjmath		fulltext	Moving Wall: 5 years		serial								P	040628981
American Statistical Association Bulletin	2334-3915	2334-3907	1938	1	1	1946	6	4	http://www.jstor.org/journal/amerstatassocbu		amerstatassocbu		fulltext	Now: The American Statistician		serial								P	177878258
Annales d'Économie et de Statistique	0769-489X	2272-6497	1986		1	2008		91/92	http://www.jstor.org/journal/annaeconstat		annaeconstat		fulltext	Now: Annals of Economics and Statistics / Annales d'Économie et de Statistique		serial								P	177943068
Annales de l'inséé	0019-0209		1969		1	1985		59/60	http://www.jstor.org/journal/annalesinsee		annalesinsee		fulltext	now: Annals of Economics and Statistics		serial								P	
Annals of Economics and Statistics / Annales d'Économie et de Statistique	2115-4430	1968-3863	2009		93/94	2016			http://www.jstor.org/journal/annaeconstat2009		annaeconstat2009		fulltext	Previously: Annales d'Économie et de Statistique (1986-2008) Moving Wall: 3 years		serial								P	134010736
Annals of Mathematics	0003-486X		1884	1	1	2014			https://www.jstor.org/journal/annamath		annamath		fulltext	Open Access - 1884-1992. The Analyst (1874-1883) Moving Wall: 5 years		serial								P	
Applicable Analysis and Discrete Mathematics	1452-8630	2406-100X	2007	1	1	2019			http://www.jstor.org/journal/applianadiscmath		applianadiscmath		fulltext	Prevoiusly: Publikacije Elektrotehničkog fakulteta. Serija Matematika (1990-2007), Publikacije Elektrotehničkog fakulteta. Serija Matematika i fizika (1956-1982) Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	187769753
