publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
19th-Century Music	0148-2076	1533-8606	1977	1	1	2016			https://www.jstor.org/journal/19thcenturymusic		19thcenturymusic		fulltext	Moving Wall: 3 years		serial								P	094932441
Acta Musicologica	0001-6241	2296-4339	1931	3	1	2016			https://www.jstor.org/journal/actamusicologica		actamusicologica		fulltext	Previously: Mitteilungen der Internationalen Gesellschaft für Musikwissenschaft / Bulletin de la Société internationale de Musicologie (1928-1930) Moving Wall: 3 years		serial								P	170352307
Advisory Council Bulletin	2380-9043	2470-1327	1936	1		1937	2	1	http://www.jstor.org/journal/advicounbull		advicounbull		fulltext	Now: American Music Teacher. continues: Bulletin of the Music Teachers National Association (1938-1950)		serial								P	191032751
African Music	0065-4019		1954	1	1	2014			http://www.jstor.org/journal/afrimusi		afrimusi		fulltext	Previously: Newsletter. African Music Society (1948-1951), The African Music Society Newsletter (1952-1953) Moving Wall: 5 years		serial								P	
American Music	0734-4392	1945-2349	1983	1	1	2017			https://www.jstor.org/journal/americanmusic		americanmusic		fulltext	Moving Wall: 2 years		serial								P	131773194
American Music Teacher	0003-0112		1951	1	1	2016			http://www.jstor.org/journal/amermusitea		amermusitea		fulltext	Moving Wall: 3 years. previously: Bulletin of the Music Teachers National Association (1938-1950), Advisory Council Bulletin (1936-1937)		serial								P	
Anuario	0564-4429		1965	1		1969	5		https://www.jstor.org/journal/anuario		anuario		fulltext	Now: Latin American Music Review / Revista de Música Latinoamericana. Continues: Anuario Interamericano de Investigacion Musical (1970-1975)		serial								P	
Anuario Interamericano de Investigacion Musical	0886-2192		1970	6		1975	11		https://www.jstor.org/journal/anuainteinvemusi		anuainteinvemusi		fulltext	Now: Latin American Music Review / Revista de Música Latinoamericana Previously: Anuario (1965-1969)		serial								P	
Archiv für Musikwissenschaft	0003-9292	2366-2794	1918	1	1	2018			https://www.jstor.org/journal/archmusi		archmusi		fulltext	Previously: Sammelbände der Internationalen Musikgesellschaft (1899-1914) Moving Wall: 1 year		serial								P	133505847
Asian Music	0044-9202	1553-5630	1968	1	1	2014			http://www.jstor.org/journal/asianmusic		asianmusic		fulltext	Moving Wall: 5 years		serial								P	123677912
Bach	0005-3600		1970	1	1	2016			http://www.jstor.org/journal/bach		bach		fulltext	Moving Wall: 3 years		serial								P	
Black Music Research Journal	0276-3605	1946-1615	1980	1		2016			http://www.jstor.org/journal/blacmusiresej		blacmusiresej		fulltext	Moving Wall: 3 years		serial								P	131137123
Bouwsteenen	1571-9529	2352-2828	1869	1		1874	3		http://www.jstor.org/journal/bouwsteenen		bouwsteenen		fulltext	now: Tijdschrift van de Koninklijke Vereniging voor Nederlandse Muziekgeschiedenis. Continues: Tijdschrift der Vereeniging voor Noord-Nederlands Muziekgeschiedenis (1882-1959), Tijdschrift van de Vereniging voor Nederlandse Muziekgeschiedenis (1960-1994)		serial								P	133546950
British Journal of Ethnomusicology	0968-1221		1992	1		2003	12	2	http://www.jstor.org/journal/britjethn		britjethn		fulltext	Now: Ethnomusicology Forum		serial								P	
Bulletin d'Information (Association internationale des bibliothèques musicales)	0443-711X		1952	1	1	1953	2	1	http://www.jstor.org/journal/bullinfo		bullinfo		fulltext	Now: Fontes Artis Musicae		serial								P	
Bulletin de la Société française de musicologie	0991-9228		1917	1	1	1921	2	10	http://www.jstor.org/journal/bullsocifranmusi		bullsocifranmusi		fulltext	Now: Revue de Musicologie		serial								P	
