publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
AIBS Bulletin	0096-7645	2326-1331	1951	1	1	1963	13	6	http://www.jstor.org/journal/aibsbulletin		aibsbulletin		fulltext	now: BioScience		serial								P	167504908
AMBIO: A Journal of the Human Environment	0044-7447	1654-7209	1972	1	1	2015			http://www.jstor.org/journal/ambio		ambio		fulltext	Moving Wall: 3 years		serial								P	120428458
APT Bulletin	0848-8525		1986	18	4	2018			http://www.jstor.org/journal/aptbulletin		aptbulletin		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
Ambio Special Report	0301-0325		1972		1	1979		6	http://www.jstor.org/journal/ambispecrepo		ambispecrepo		fulltext	Merged into: Ambio (1979)		serial								P	
American Journal of Agricultural Economics	0002-9092	1467-8276	1968	50	1	2013			http://www.jstor.org/journal/amerjagriecon		amerjagriecon		fulltext	Moving wall: 5 years		serial								P	078917638
American Journal of Alternative Agriculture	0889-1893	1478-5498	1986	1	1	2003	18	4	https://www.jstor.org/journal/amerjalteagri		amerjalteagri		fulltext	now: Renewable Agriculture and Food Systems (ISSN: 1742-1705) 2004-		serial								P	071448535
Annales de démographie historique	0066-2062	1776-2774	1965			2015			http://www.jstor.org/journal/annademohist		annademohist		fulltext	Previously: Études et chronique de démographie historique (1964). New for 2018. Moving Wall: 3 years		serial								P	093839332
Annual Review of Ecology and Systematics	0066-4162	2330-1902	1970	1		2002	33		http://www.jstor.org/journal/annureviecolsyst		annureviecolsyst		fulltext	Now: Annual Review of Ecology, Evolution and Systematics.		serial								P	118934082
Annual Review of Ecology, Evolution and Systematics	1543-592X	1545-2069	2003	34		2013			http://www.jstor.org/journal/annureviecolevol		annureviecolevol		fulltext	Previously: Annual Review of Ecology and Systematics (1970-2002). Moving wall: 5 years		serial								P	117377546
Applied Vegetation Science	1402-2001	1654-109X	1998	1	1	2013			http://www.jstor.org/journal/applvegescie		applvegescie		fulltext	Moving wall: 5 years		serial								P	13039890X
Aquaculture Environment Interactions	1869-215X	1869-7534	2009	1	1	2013			http://www.jstor.org/journal/aquaenviinte		aquaenviinte		fulltext	Moving Wall: 5 years		serial								P	14890582X
