publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Life On Mars: What To Know Before We Go	978-0-69118-053-3	978-1-40088-994-5							https://www.jstor.org/stable/10.2307/j.ctvc774fn	david a. weintraub	10.2307/j.ctvc774fn	2018-05-01	fulltext		Princeton University Press	monograph	2018	2019						P	
Joel And Amos		978-1-50642-154-4							https://www.jstor.org/stable/10.2307/j.ctvb9375w	Hans Walter Wolff	10.2307/j.ctvb9375w		fulltext		Augsburg Fortress	monograph	2016	2019			S. Dean McBride Jr.			P	
John Duns Scotus: A Life	978-9-49243-328-2	978-9-49270-129-9							https://www.jstor.org/stable/10.2307/jj.18377038	Antonie Vos	10.2307/jj.18377038	2018-12-31	fulltext		Summum Academic	monograph	2018	2024						P	
The Mathnawí Of Jaláluʾddín Rúmí: Volume Iv, Containing The Translation Of The Third & Fourth Books		978-1-90972-405-1							https://www.jstor.org/stable/10.3366/jj.29844541	JALÁLU’DDÍN RÚMÍ	10.3366/jj.29844541		fulltext		Edinburgh University Press	monograph	2012	2025			REYNOLD A. NICHOLSON			P	
The Mathnawí Of Jaláluʾddín Rúmí: Volume Vi, Containing The Translation Of The Fifth & Sixth Books		978-1-90972-408-2							https://www.jstor.org/stable/10.3366/jj.29787107	JALÁLU’DDÍN RÚMÍ	10.3366/jj.29787107		fulltext		Edinburgh University Press	monograph	2013	2025			REYNOLD A. NICHOLSON			P	
Mystery Of The Mind: A Critical Study Of Consciousness And The Human Brain: A Critical Study Of Consciousness And The Human Brain		978-1-40086-873-5							https://www.jstor.org/stable/10.2307/j.ctt13x0qkh	Wilder Penfield	10.2307/j.ctt13x0qkh	2015-03-08	fulltext		Princeton University Press	monograph	2015	2015						P	
A History Of Ottoman Poetry Volume Iv: 1700 – 1850		978-1-90972-419-8							https://www.jstor.org/stable/10.3366/jj.30551294	E. J. W. GIBB	10.3366/jj.30551294		fulltext		Edinburgh University Press	monograph	2013	2025			EDWARD G. BROWNE			P	
The Japanese Informal Empire In China, 1895-1937		978-1-40084-793-8							https://www.jstor.org/stable/10.2307/j.ctt7zvq35		10.2307/j.ctt7zvq35	2014-07-14	fulltext		Princeton University Press	monograph	2014	2014			Peter Duus			P	
The Magic My Body Becomes: Poems By	978-1-68226-040-1	978-1-61075-619-8							https://www.jstor.org/stable/10.2307/j.ctt1t305fr	JESS RIZKALLAH	10.2307/j.ctt1t305fr	2017-10-01	fulltext		University of Arkansas Press	monograph	2017	2017						P	
Were You Born On The Wrong Continent?: How The European Model Can Help You Get A Life	978-1-59558-403-8	978-1-59558-608-7							https://www.jstor.org/stable/10.2307/jj.26193400	Thomas Geoghegan	10.2307/jj.26193400	2010-08-10	fulltext		The New Press	monograph	2010	2025						P	
Why Size Matters: From Bacteria To Blue Whales	978-0-69115-233-2	978-1-40083-755-7							https://www.jstor.org/stable/10.2307/j.ctt7s5hv	John Tyler Bonner	10.2307/j.ctt7s5hv	2011-12-05	fulltext		Princeton University Press	monograph	2011	2012						P	
A Theory Of Birds: Poems	978-1-68226-104-0	978-1-61075-674-7							https://www.jstor.org/stable/10.2307/j.ctvkjb3kv	ZAINA ALSOUS	10.2307/j.ctvkjb3kv	2019-10-14	fulltext		University of Arkansas Press	monograph	2019	2019						P	
Why Gender Matters In Economics	978-0-69112-173-4	978-1-40085-237-6							https://www.jstor.org/stable/10.2307/j.ctvvh853j	MUKESH ESWARAN	10.2307/j.ctvvh853j	2014-08-24	fulltext		Princeton University Press	monograph	2014	2020						P	
The Tech Coup: How To Save Democracy From Silicon Valley	978-0-69124-119-7	978-0-69124-118-0							https://www.jstor.org/stable/10.2307/jj.13359161	Marietje Schaake	10.2307/jj.13359161	2024-09-24	fulltext		Princeton University Press	monograph	2024	2024						P	
Umbilical Discord	978-1-68226-263-4	978-1-61075-829-1							https://www.jstor.org/stable/10.2307/jj.18108228	rawand mustafa	10.2307/jj.18108228	2024-10-01	fulltext		University of Arkansas Press	monograph	2024	2024						P	
Teresa, My Love: An Imagined Life Of The Saint Of Avila		978-0-23152-046-1							https://www.jstor.org/stable/10.7312/kris14960	Julia Kristeva	10.7312/kris14960		fulltext		Columbia University Press	monograph	2014	2015						P	
An Uncommon Passage: Traveling Through History On The Great Allegheny Passage Trail	978-0-82294-366-2	978-0-82297-754-4							https://www.jstor.org/stable/10.2307/j.ctt7zwbb1		10.2307/j.ctt7zwbb1	2009-11-01	fulltext		University of Pittsburgh Press	monograph	2009	2014			Edwrd K. Muller			P	
Why Stock Markets Crash: Critical Events In Complex Financial Systems	978-0-69111-850-5	978-1-40082-955-2							https://www.jstor.org/stable/10.2307/j.ctt7rzwx	Didier Sornette	10.2307/j.ctt7rzwx	2009-04-11	fulltext		Princeton University Press	monograph	2009	2012						P	
