publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
APLA	2469-7044	2469-7141	1992	15	2	1992	15	2	https://www.jstor.org/journal/apla		apla		fulltext	Now: Polar: Political and Legal Anthropology Review (1993-). Previously: APLA Newsletter (1987-1992), Newsletter (Association for Political and Legal Anthropology) (1977-1986)		serial								P	190742216
APLA Newsletter	2469-7036	2469-7133	1987	10	1	1992	15	1	https://www.jstor.org/journal/aplanews		aplanews		fulltext	Now: Polar: Political and Legal Anthropology Review (1993-). Previously: Newsletter (Association for Political and Legal Anthropology) (1977-1986) continues: ALPA (1992)		serial								P	190742208
ASEE Prism	1056-8077	1930-6148	1991	1	1	2019			http://www.jstor.org/journal/aseeprism		aseeprism		fulltext	Previously: Engineering Education News (1974-1991) Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	116974737
Aboriginal History	0314-8769	1837-9389	1977	1	1/2	2013	37		http://www.jstor.org/journal/aborhist		aborhist		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	171045211
Africa Development / Afrique et Développement	0850-3907		1976	1	1	2019			http://www.jstor.org/journal/afrdevafrdev		afrdevafrdev		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
African Sociological Review / Revue Africaine de Sociologie	1027-4332		1997	1	1	2019			http://www.jstor.org/journal/afrisocirevi		afrisocirevi		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR. Previously: South African Sociological Review (1989-1995)		serial								P	
Al-ʿArabiyya	0889-8731	2375-4036	1975	8	1/2	2017			http://www.jstor.org/journal/arabiyya		arabiyya		fulltext	Previously: an-Nashra (1967-1974). Moving Wall: 2 years		serial								P	18324947X
Annals of the Hitotsubashi Academy	0439-2841		1950	1	1	1959	10	2	http://www.jstor.org/journal/annahitoacad		annahitoacad		fulltext	splits into: Hitotsubashi Journal of Economics, Hitotsubashi Journal of Social Studies, Hitotsubashi Journal of Commerce and Management		serial								P	
Anthropological Journal of European Cultures	1755-2923	1755-2931	2008	17	1	2016			http://www.jstor.org/journal/anthjeurocult		anthjeurocult		fulltext	Previously: Anthropological Yearbook of European Cultures (2005-2007), Anthropological Journal on European Cultures (1990-2004) Moving Wall: 3 years		serial								P	131763415
Anthropological Journal on European Cultures	0960-0604	2412-2734	1990	1	1	2004	13		http://www.jstor.org/journal/antjeurcul		antjeurcul		fulltext	now: Anthropological Journal of European Cultures continues: Anthropological Yearbook of European Cultures (2005-2007)		serial								P	187719349
Anthropological Yearbook of European Cultures	1817-9142	2412-2548	2005	14		2007	16		http://www.jstor.org/journal/anthyeareurocult		anthyeareurocult		fulltext	now: Anthropological Journal of European Cultures. Previously: Anthropological Journal on European Cultures (1990-2004)		serial								P	187719330
Archaeologia Austriaca	0003-8008	1816-2959	2002	86		2018			http://www.jstor.org/journal/archaeologiaaust		archaeologiaaust		fulltext	Moving Wall: 1 year		serial								P	094906300
Archiv für Begriffsgeschichte	0003-8946		1955	1		2016			http://www.jstor.org/journal/archbegr		archbegr		fulltext	Moving Wall: 3 years		serial								P	
Asia Journal	1225-8512		1994	1		1995	2		http://www.jstor.org/journal/asiaj		asiaj		fulltext	Now: Journal of International and Area Studies		serial								P	
Asian Perspectives	0066-8435	1535-8283	1957	1	1/2	2016			http://www.jstor.org/journal/asianperspect		asianperspect		fulltext	Moving Wall: 3 years		serial								P	058848924
Aufklärung	0178-7128		1986	1	1	2016			http://www.jstor.org/journal/aufklarung		aufklarung		fulltext	Moving Wall: 3 years		serial								P	
Berkeley Journal of Employment and Labor Law	1067-7666	2378-1882	1993	14	1	2016			http://www.jstor.org/journal/berkjempllabolaw		berkjempllabolaw		fulltext	Previously: Industrial Relations Law Journal (1976-1992) Moving Wall: 3 years		serial								P	185309976
Berkeley Technology Law Journal	1086-3818	2380-4742	1996	11	1	2016			http://www.jstor.org/journal/berktechlawj		berktechlawj		fulltext	Previously: High Technology Law Journal (1986-1995) Moving Wall: 3 years		serial								P	188900519
Bibliothèque de l’École des chartes	0373-6237	1953-8138	1839	1		2014			http://www.jstor.org/journal/biblecolchar		biblecolchar		fulltext	Moving Wall: 5 years		serial								P	116321075
Black View	2473-1250	2573-2676	1970	1	1	1974	2	7	http://www.jstor.org/journal/blackview		blackview		fulltext	Now: US Black Engineer and Information Technology. Continues: Umoja Sasa (1976-1983), US Black Engineer (1984-1995)		serial								P	201823616
Brown Journal of Foreign Affairs	1072-6799	2472-3339	1993	1	1	1994	1	1	https://www.jstor.org/journal/browjforeaffa		browjforeaffa		fulltext	Now: Brown Journal of World Affairs		serial								P	193691345
Brown Journal of World Affairs	1080-0786	2472-3347	1994	1	2	2014			https://www.jstor.org/journal/browjworlaffa		browjworlaffa		fulltext	Moving Wall: 5 years. Previously: Brown Journal of Foreign Affairs (1993)		serial								P	193691353
Bulletin (Haldane Society of Socialist Lawyers)	2517-7281	2631-8628	1971	1	2	1980		12	https://www.jstor.org/journal/bullhaldsocisoci		bullhaldsocisoci		fulltext	Now: Socialist Lawyer. Continues: Haldane Bulletin (1980-1983)		serial								P	232589232
Bulletin Mensuel (Antenne française de sinologie à Hong Kong)	0255-5336		1979		2	1983		11	http://www.jstor.org/journal/bulletinmensuel		bulletinmensuel		fulltext	Now: Perspectives Chinoises Continues: Bulletin de Sinologie (1983-1992)		serial								P	
Bulletin de Sinologie	1011-2006		1983		12	1992		87	http://www.jstor.org/journal/bulldesino		bulldesino		fulltext	Now: Perspectives Chinoises Previously: Bulletin Mensuel (Antenne française de sinologie à Hong Kong)(1979-1983)		serial								P	
Bulletin of Baltic Studies	0007-4772		1970	1	1	1971	2	4	http://www.jstor.org/journal/bullbaltstud		bullbaltstud		fulltext	Now: Journal of Baltic Studies		serial								P	
