publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
AA Files	0261-6823		1981		1	2019			http://www.jstor.org/journal/aafiles		aafiles		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
ANY: Architecture New York	1068-4220		1993			2000	2000	25/26	http://www.jstor.org/journal/anyarchnewyork		anyarchnewyork		fulltext	Ceased: 2000		serial								P	
ARLIS/NA Newsletter	0090-3515		1972	1	1	1981	9	6	http://www.jstor.org/journal/arlisnanews		arlisnanews		fulltext	Now: Art Documentation: Journal of the Art Libraries Society of North America		serial								P	
Aevum	0001-9593		1927	1	1/2	2016			http://www.jstor.org/journal/aevum		aevum		fulltext	Moving Wall:3 years		serial								P	
Afterall: A Journal of Art, Context and Enquiry	1465-4253	2156-4914	1998			2015		40	http://www.jstor.org/journal/afterall		afterall		fulltext	Coverage presently ends: 2015. JSTOR will resume a moving wall of 5 years in 2021		serial								P	146297822
Agni	1046-218X		1988		26	2017			http://www.jstor.org/journal/agni		agni		fulltext	Moving Wall: 2 years		serial								P	
American Journal of Theology & Philosophy	0194-3448	2156-4795	1980	1	1	2016			http://www.jstor.org/journal/amerjtheophil		amerjtheophil		fulltext	Moving Wall: 3 years		serial								P	146125762
American Presbyterians	0886-5159		1985	63	3	1996	74	4	http://www.jstor.org/journal/amerpres		amerpres		fulltext	Now: The Journal of Presbyterian history (1997)		serial								P	
Anglican and Episcopal History	0896-8039		1987	56	1	2018			http://www.jstor.org/journal/anglepishist		anglepishist		fulltext	Previously: Historical Magazine of the Protestant Episcopal Church (1932-1986) Moving Wall:1 Year		serial								P	
Annales historiques de la Révolution française	0003-4436	1952-403X	1924	1	1	2016			http://www.jstor.org/journal/annahistrevofran		annahistrevofran		fulltext	Previously: Annales révolutionnaires (1908-1923) Moving Wall: 3 years		serial								P	113886969
Annales révolutionnaires	1150-0441		1908	1	1	1923	15	6	http://www.jstor.org/journal/annarevo		annarevo		fulltext	Now: Annales historiques de la Révolution française		serial								P	
Annals of the Bhandarkar Oriental Research Institute	0378-1143		1918	1	1	2014			http://www.jstor.org/journal/annbhaoriresins		annbhaoriresins		fulltext	Moving Wall: 5 years		serial								P	
Annual Publication of the Historical Society of Southern California	2162-9145		1905	6	3	1934	16		http://www.jstor.org/journal/annpubhissocsoca		annpubhissocsoca		fulltext	Absorbed		serial								P	
Annual Publication of the Historical Society of Southern California (1888)	2163-2987	2329-5961	1888	1	4	1888	1	4	http://www.jstor.org/journal/annualpubhssc		annualpubhssc		fulltext	Absorbed		serial								P	170785173
Annual Publication of the Historical Society of Southern California (1891)	2163-3002		1891	1	6	1891	1	6	http://www.jstor.org/journal/anpuhisosoca		anpuhisosoca		fulltext	Absorbed		serial								P	
Annual Publication of the Historical Society of Southern California and Pioneer Register, Los Angeles	2162-9080	2329-6011	1897	4	1	1901	5	2	http://www.jstor.org/journal/annpubhsscprla		annpubhsscprla		fulltext	Absorbed		serial								P	170785246
Annual Publication of the Historical Society of Southern California and of the Pioneers of Los Angeles County	2162-9110		1902	5	3	1904	6	2	http://www.jstor.org/journal/annpubhsscplac		annpubhsscplac		fulltext	Absorbed		serial								P	
Annual Publication of the Historical Society of Southern California, Los Angeles	2162-9064	2329-6003	1893	3	1	1896	3	4	http://www.jstor.org/journal/annpubhsscla		annpubhsscla		fulltext	Absorbed		serial								P	17078522X
Antike Kunst	0003-5688		1958	1	1	2014			http://www.jstor.org/journal/antikekunst		antikekunst		fulltext	Moving Wall: 5 years		serial								P	
Archaeology	0003-8113	1943-5746	1948	1	1	2017			http://www.jstor.org/journal/archaeology		archaeology		fulltext	Moving Wall: 2 years		serial								P	127005935
Archival Issues	1067-4993		1992	17	1	2016			http://www.jstor.org/journal/archivalissues		archivalissues		fulltext	Moving Wall: 3 years		serial								P	
Arizoniana	0883-346X		1960	1	1	1964	5	4	http://www.jstor.org/journal/arizoniana		arizoniana		fulltext	Now: The Journal of Arizona History		serial								P	
Art Documentation: Journal of the Art Libraries Society of North America	0730-7187	2161-9417	1982	1	1	2015	32	2	http://www.jstor.org/journal/artdocumentation		artdocumentation		fulltext	Previously: ARLIS/NA Newsletter (1972-1981). Coverage presently ends: 2015. JSTOR will resume a moving wall of 5 years in 2021.		serial								P	153736356
Asia Major	0004-4482		1988	1	1	2016			http://www.jstor.org/journal/asiamajor		asiamajor		fulltext	Moving Wall: 3 years		serial								P	
Austrian Studies	1350-7532	2222-4262	2003	11		2016			http://www.jstor.org/journal/austrianstudies		austrianstudies		fulltext	Moving Wall: 3 years		serial								P	152198784
Ayer	1134-2277		1991		1	2014			http://www.jstor.org/journal/ayer		ayer		fulltext	Moving Wall: 5 years		serial								P	
Bach	0005-3600		1970	1	1	2016			http://www.jstor.org/journal/bach		bach		fulltext	Moving Wall: 3 years		serial								P	
Bilingual Review / La Revista Bilingüe	0094-5366	2327-624X	1974	1	1	2017			http://www.jstor.org/journal/bilrevrevbil		bilrevrevbil		fulltext	Moving Wall: 2 years		serial								P	187767351
Boom: A Journal of California	2153-8018	2153-764X	2011	1	1	2016			http://www.jstor.org/journal/boomjcali		boomjcali		fulltext	Moving Wall: 3 years		serial								P	161087434
Building Material	1393-8770		1999		1	2019			http://www.jstor.org/journal/buildingmaterial		buildingmaterial		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
