publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Acta Classica	0065-1141	2227-538X	1958	1		2016			http://www.jstor.org/journal/actaclassica		actaclassica		fulltext	Moving Wall: 3 years		serial								P	144601591
Acta Linguistica Academiae Scientiarum Hungaricae	0001-5946	2560-1814	1951	1	1	1987	37	1/4	http://www.jstor.org/journal/actalingacadscie		actalingacadscie		fulltext	Now: Acta Linguistica Academica. Continues: Acta Linguistica Hungarica (1988-2016)		serial								P	223677485
Acta Linguistica Academica	2559-8201	2560-1016	2017	64	1	2018			https://www.jstor.org/journal/actalingacad		actalingacad		fulltext	Previously: Acta Linguistica Hungarica (1988-2016), Acta Linguistica Academiae Scientiarum Hungaricae (1951-1987). Moving Wall: 1 year		serial								P	220282072
Acta Linguistica Hungarica	1216-8076	1588-2624	1988	38	1/4	2016	63	4	http://www.jstor.org/journal/actalinghung		actalinghung		fulltext	Now: Acta Linguistica Academica. Previously: Acta Linguistica Academiae Scientiarum Hungaricae (1951-1987)		serial								P	060695064
Ambit	0002-6972		1959	1	1	2016			http://www.jstor.org/journal/ambit		ambit		fulltext	Moving Wall: 3 years		serial								P	
American Annals of the Deaf	0002-726X	1543-0375	1886	31	4	2018			http://www.jstor.org/journal/amerannadeaf		amerannadeaf		fulltext	New for 2018. Moving Wall: 1 year. Previously: American Annals of the Deaf and Dumb (1847-1886)		serial								P	076874133
American Annals of the Deaf and Dumb	0093-1284	2577-154X	1947	1	1	1886	31	3	http://www.jstor.org/journal/amerannadeafdumb		amerannadeafdumb		fulltext	Now: American Annals of the Deaf		serial								P	225501562
American Catholic Historical Researches, The	2155-5273		1887	3	3	1912	8	3	http://www.jstor.org/journal/amercathhistrese		amercathhistrese		fulltext	Merged into: Records of the American Catholic Historical Society of Philadelphia. Now: American Catholic Studies		serial								P	
American Catholic Studies	2161-8542	2161-8534	1999	110		2016			https://www.jstor.org/journal/amercathstud		amercathstud		fulltext	incorporated: Records of the American Catholic Historical Society of Philadelphia (1884-1998) & The American Catholic Historical Researches (1887-1912). Moving Wall: 3 years		serial								P	170775488
American Imago	0065-860X	1085-7931	1939	1	1	2014			http://www.jstor.org/journal/americanimago		americanimago		fulltext	Moving Wall: 5 years		serial								P	040629341
American Jewish Historical Quarterly	0002-9068		1961	51	1	1978	67	4	https://www.jstor.org/journal/amerjewihistquar		amerjewihistquar		fulltext	Now: American Jewish History. Previously: Publications of the American Jewish Historical Society (1893-1961)		serial								P	
American Jewish History	0164-0178	1086-3141	1978	68	1	2014			https://www.jstor.org/journal/amerjewihist		amerjewihist		fulltext	previously: American Jewish Historical Quarterly (1961-1978) , Publications of the American Jewish Historical Society (1893-1961). Moving Wall: 5 years		serial								P	058046518
American Jewish Year Book, The	0065-8987	2213-9583	1899	1		2008	108		https://www.jstor.org/journal/amerjewiyearbook		amerjewiyearbook		fulltext	Ceased: 2008		serial								P	167980637
American Journal of Chinese Studies	2166-0042		1992	1	1	2018			https://www.jstor.org/journal/amerjchinstud		amerjchinstud		fulltext	Incorporated: Journal of Chinese Studies (1984-1987) and Digest of Chinese Studies (1986-1995). Moving Wall 1 year		serial								P	
Ancient Mesoamerica	0956-5361	1469-1787	1990	1	1	2014			http://www.jstor.org/journal/ancimeso		ancimeso		fulltext	New for 2018. Moving Wall: 5 years		serial								P	048900052
Ancient Society	0066-1619	1783-1334	1970	1		2014			http://www.jstor.org/journal/ancientsociety		ancientsociety		fulltext	Moving Wall: 5 years		serial								P	120422557
Anglo-Saxon England	0263-6751	1474-0532	1972	1		2014			http://www.jstor.org/journal/anglsaxoengl		anglsaxoengl		fulltext	Moving Wall: 5 years		serial								P	108067998
Annuaire de l'Association pour l'encouragement des études grecques en France	1153-852X		1868	2		1887	21		http://www.jstor.org/journal/annuassoencoetud		annuassoencoetud		fulltext	Now:Revue des Études Grecques. Previously: Association pour l'encouragement des études grecques en France (1867)		serial								P	
Anthropologie (1923-1941)	1211-3743		1923	1	1	1929	7	3/4	http://www.jstor.org/journal/anthropologi1923		anthropologi1923		fulltext	Now: Anthropologie (1962-)		serial								P	
Anthropologie (1962-)	0323-1119		1962	1	1	2018			http://www.jstor.org/journal/anthropologie		anthropologie		fulltext	Moving Wall: 1 year. Previously: Anthropologie (1923-1941)		serial								P	
Antike Welt	0003-570X		1970	1	1	2016			http://www.jstor.org/journal/antikewelt		antikewelt		fulltext	New for 2018. Moving Wall: 3 years		serial								P	
Applicable Analysis and Discrete Mathematics	1452-8630	2406-100X	2007	1	1	2019			http://www.jstor.org/journal/applianadiscmath		applianadiscmath		fulltext	Prevoiusly: Publikacije Elektrotehničkog fakulteta. Serija Matematika (1990-2007), Publikacije Elektrotehničkog fakulteta. Serija Matematika i fizika (1956-1982) Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	187769753
Applied Anthropology	0093-2914	2573-1394	1941	1	1	1948	7	4	http://www.jstor.org/journal/applanth		applanth		fulltext	Now: Human Organization		serial								P	201462575
Archeologia Classica	0391-8165	2240-7839	1972	24	1	2016			http://www.jstor.org/journal/archclas		archclas		fulltext	Moving Wall: 3 years		serial								P	158410351
Archiv des oeffentlichen Rechts	0003-8911	1868-6796	1885	1	1	2014			https://www.jstor.org/journal/archofferech		archofferech		fulltext	Moving Wall: 5 years		serial								P	135957885
Archives d'histoire doctrinale et littéraire du Moyen Âge	0373-5478	2109-9529	1926	1		2014			https://www.jstor.org/journal/archhistdoctlitt		archhistdoctlitt		fulltext	Moving Wall: 5 years		serial								P	139524533
Archivio Storico Italiano	0391-7770	2036-4660	1842	1		2018			http://www.jstor.org/journal/archstorital		archstorital		fulltext	Moving Wall: 1 year		serial								P	133943356
Archivio di Filosofia	0004-0088	1970-0792	2007	75	1/2	2014			http://www.jstor.org/journal/archfilo		archfilo		fulltext	Moving Wall: 5 years		serial								P	131796348
Archäologie in Deutschland	0176-8522		1984	1		2016			http://www.jstor.org/journal/archdeut		archdeut		fulltext	Moving Wall: 3 years		serial								P	
Arethusa	0004-0975	1080-6504	1968	1	1	2014			http://www.jstor.org/journal/arethusa		arethusa		fulltext	Moving Wall: 5 years		serial								P	058046410
Arthuriana (1928-1930)	1359-4133		1928	1	1	1929	2	1	http://www.jstor.org/journal/arthuriana1928		arthuriana1928		fulltext	now: Medium Ævum		serial								P	
Association pour l'encouragement des études grecques en France	1153-8538		1867	1		1867	1		http://www.jstor.org/journal/assoencoetudgrec		assoencoetudgrec		fulltext	Now: Revue des Études Grecques. continues: Annuaire de l'Association pour l'encouragement des études grecques en France (1868-1887)		serial								P	
Australian Indigenous Law Reporter	1323-7756	2209-6647	1996	1	1	2006	10	4	https://www.jstor.org/journal/austindilawrepo		austindilawrepo		fulltext	Now: Australian Indigenous Law Review		serial								P	231012306
Australian Indigenous Law Review	1835-0186		2007	11	1	2019			https://www.jstor.org/journal/austindilawrevi		austindilawrevi		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR. Previously: Australian Indigenous Law Reporter (1996-2006)		serial								P	
Belfagor	0005-8351	2035-7559	1946	1	1	2012	67	6	https://www.jstor.org/journal/belfrassvariuman		belfrassvariuman		fulltext	Ceased (2012)		serial								P	131784196
Bibliofilía	0006-0941	2035-6110	1899	1	1	2016			http://www.jstor.org/journal/bibliofilia		bibliofilia		fulltext	Moving Wall: 3 years		serial								P	136116000
Brazilian Journal of Probability and Statistics	0103-0752	2317-6199	1987	1	1	2016			http://www.jstor.org/journal/brazjprobstat		brazjprobstat		fulltext	Moving Wall: 3 years		serial								P	170087050
