publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A.I.H.P. Notes	2161-5403	2329-5015	1955	1	1	1957	3	3	http://www.jstor.org/journal/aihpnotes		aihpnotes		fulltext	Now: Pharmacy in History		serial								P	170655091
ABA Journal of Affordable Housing & Community Development Law	1061-4354	2163-0305	1991	1	1	1994	3	4	http://www.jstor.org/journal/abajafhocodela		abajafhocodela		fulltext	now: Journal of Affordable Housing & Community Development Law		serial								P	155358650
ABA Journal of Labor & Employment Law	2156-4809	2329-4604	2009	25	1	2016			http://www.jstor.org/journal/abajlabemplaw		abajlabemplaw		fulltext	Previously: The Labor Lawyer (1985-2009) Moving Wall: 3 years		serial								P	170654826
Academy of Management Learning & Education	1537-260X	1944-9585	2002	1	1	2014			http://www.jstor.org/journal/acadmanaleareduc		acadmanaleareduc		fulltext	Moving Wall: 5 years		serial								P	118194437
Acta Turistica	0353-4316	1848-6061	1989	1	1	2019			http://www.jstor.org/journal/actaturistica		actaturistica		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	166924164
Administrative Theory & Praxis	1084-1806	1949-0461	1993	15	1	2012			http://www.jstor.org/journal/admintheoprax		admintheoprax		fulltext	The content for 1991-1992 will be released as soon as the issues become available to JSTOR. Moving Wall: 7 years		serial								P	121028518
American Secondary Education	0003-1003	2326-9618	1970	1	1	2014			http://www.jstor.org/journal/amersecedu		amersecedu		fulltext	Moving Wall: 5 years		serial								P	231012969
Annales de Géographie	0003-4010	1777-5884	1891		1	2016			http://www.jstor.org/journal/annageog		annageog		fulltext	Moving Wall: 3 years		serial								P	108069222
Annales sociologiques. Série A. Sociologie générale	0245-906X		1934		1	1941		4	http://www.jstor.org/journal/annasociseria		annasociseria		fulltext	Absorbed		serial								P	
Annales sociologiques. Série B. Sociologie religieuse	0245-9078		1939		1/3	1940		4	http://www.jstor.org/journal/annasociserib		annasociserib		fulltext	Absorbed		serial								P	
Annales sociologiques. Série C. Sociologie juridique et morale	0245-9086		1935		1	1938		3	http://www.jstor.org/journal/annasociseric		annasociseric		fulltext	Absorbed		serial								P	
Annales sociologiques. Série D. Sociologie économique	0245-9094		1934		1	1940		4	http://www.jstor.org/journal/annasociserid		annasociserid		fulltext	Absorbed		serial								P	
Annales sociologiques. Série E. Morphologie sociale, langage, technologie, esthétique	0245-9108		1935		1	1942		3/4	http://www.jstor.org/journal/annasociserie		annasociserie		fulltext	Absorbed		serial								P	
Antitrust Law Journal	0003-6056	2326-9774	1966	32		2016			http://www.jstor.org/journal/antitruslawj		antitruslawj		fulltext	Previously: Section of Antitrust Law (1952-1966) Moving Wall: 3 years		serial								P	168251140
Archiv des Völkerrechts	0003-892X		1948	1	1	2014			http://www.jstor.org/journal/archvolk		archvolk		fulltext	Moving Wall: 5 years		serial								P	
Archiv für Geschichte der Medizin	2191-3870		1907	1	1	1928	20	4	http://www.jstor.org/journal/archgescmedi		archgescmedi		fulltext	now: Sudhoffs Archiv. Continues: Sudhoffs Archiv für Geschichte der Medizin und der Naturwissenschaften (1934-1965), Sudhoffs Archiv für Geschichte der Medizin (1929-1933)		serial								P	
Archiv für die civilistische Praxis	0003-8997		1818	1	1	2014			http://www.jstor.org/journal/archciviprax		archciviprax		fulltext	Moving Wall: 5 years		serial								P	
