publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Advancing the Consumer Interest	1044-7385		1989	1	1	2001	13	1/2	http://www.jstor.org/journal/advaconsinte		advaconsinte		fulltext	merged into: The Journal of Consumer Affairs (2002)		serial								P	
Agenda: A Journal of Policy Analysis and Reform	1322-1833	1447-4735	1994	1	1	2019			http://www.jstor.org/journal/agenpolianalyref		agenpolianalyref		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	067812309
Annals of the Hitotsubashi Academy	0439-2841		1950	1	1	1959	10	2	https://www.kbplus.ac.uk/kbplus/titleDetails/show/29509		https://www.kbplus.ac.uk/kbplus/titleDetails/show/29509		fulltext	splits into: Hitotsubashi Journal of Economics, Hitotsubashi Journal of Social Studies, Hitotsubashi Journal of Commerce and Management		serial								P	
Annual Review of Economics	1941-1383	1941-1391	2009	1	1	2014			http://www.jstor.org/journal/annureviecon		annureviecon		fulltext	Moving Wall: 5 years		serial								P	184171024
Annual Review of Financial Economics	1941-1367	1941-1375	2009	1	1	2014			http://www.jstor.org/journal/annurevifinaecon		annurevifinaecon		fulltext	Moving Wall: 5 years		serial								P	143847244
Annual Review of Resource Economics	1941-1340	1941-1359	2009	1	1	2014			http://www.jstor.org/journal/annureviresoecon		annureviresoecon		fulltext	Moving Wall: 5 years		serial								P	142486345
Bulletin des Relations Industrielles	0380-7517	2331-530X	1945	1	1	1950	5	10	http://www.jstor.org/journal/bullrelaindu		bullrelaindu		fulltext	Now: Relations Industrielles / Industrial Relations		serial								P	174300956
Business Economics	0007-666X	1554-432X	1965	1	1	2014			http://www.jstor.org/journal/businessecon		businessecon		fulltext	Moving Wall: 5 years		serial								P	104869801
Business and Economic History	0894-6825		1976	5		1999	28	2	https://www.jstor.org/journal/busieconhist		busieconhist		fulltext	Now: Enterprise & Society. The content for Vol. 4 (1975) will be released as soon as the issue becomes available to JSTOR.		serial								P	
Cahiers d'économie Politique / Papers in Political Economy	0154-8344	1969-6779	1974		1	2016			http://www.jstor.org/journal/cahieconpolipape		cahieconpolipape		fulltext	Moving Wall: 3 years		serial								P	130140252
Cambridge Journal of Economics	0309-166X	1464-3545	1977	1	1	2014			http://www.jstor.org/journal/cambjecon		cambjecon		fulltext	Moving Wall: 5 years		serial								P	129182494
Cuadernos de Economía (Santiago)	0716-0046	0717-6821	1963	1	1	2010	47	136	https://www.jstor.org/journal/cuadecon		cuadecon		fulltext	Now: Latin American Journal of Economics		serial								P	067193722
Die Unternehmung	0042-059X		1947	1	1	2016			http://www.jstor.org/journal/unternehmung		unternehmung		fulltext	Moving Wall: 3 years		serial								P	
Enterprise and Society	1467-2227	1467-2235	2000	1	1	2014			http://www.jstor.org/journal/entesoci		entesoci		fulltext	Moving Wall: 5 years Previously: Business and Economic History (1976-1999)		serial								P	05828687X
Financial Education	0190-7654	2332-4201	1972	1	1	1972	1	1	https://www.jstor.org/journal/financialedu		financialedu		fulltext	Now: Journal of Financial Education		serial								P	175154864
Fiscal Studies	0143-5671	1475-5890	1979	1	1	2014			http://www.jstor.org/journal/fiscalstudies		fiscalstudies		fulltext	Moving Wall: 5 years		serial								P	09268520X
History of Economic Ideas	1122-8792	1724-2169	1993	1	1	2014			http://www.jstor.org/journal/histeconidea		histeconidea		fulltext	Previously: Quaderni di Storia dell'Economia Politica (1983-1992 ) Moving Wall: 5 years		serial								P	076884708
Hitotsubashi Journal of Commerce and Management	0018-2796		1961	1	1	2019			https://www.jstor.org/journal/hitojcommmana		hitojcommmana		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR		serial								P	
Hitotsubashi Journal of Economics	0018-280X		1960	1	1	2019			https://www.jstor.org/journal/hitojecon		hitojecon		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR		serial								P	
Industrielle Beziehungen / The German Journal of Industrial Relations	0943-2779	1862-0035	1994	1	1	2018			http://www.jstor.org/journal/indubezi		indubezi		fulltext	Moving Wall: 1 years		serial								P	172027179
Innovar: Revista de ciencias administrativas y sociales	0121-5051		1994		4	2019			https://www.jstor.org/journal/innrevcieadmsoc		innrevcieadmsoc		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
International Journal of Tourism and Hospitality Research	1464-2700	2057-5947	1999	1		1999	1		https://www.jstor.org/journal/intejtourhospres		intejtourhospres		fulltext	Now: Tourism and Hospitality Research		serial								P	183633989
International Journal of Transport Economics / Rivista internazionale di economia dei trasporti	0303-5247		1974	1	1	2014			http://www.jstor.org/journal/intejtranecon		intejtranecon		fulltext	Moving Wall: 5 years		serial								P	
International Union Rights	1018-5909		1992	1	1	2014			http://www.jstor.org/journal/inteuniorigh		inteuniorigh		fulltext	Moving Wall: 5 years		serial								P	
Journal for East European Management Studies	0949-6181		1996	1	1	2016	21	4	http://www.jstor.org/journal/jeasteuromanastu		jeasteuromanastu		fulltext	Coverage presently ends: 2016. JSTOR will resume a moving wall of 3 years in 2020.		serial								P	
Journal of Consumer Affairs	0022-0078	1745-6606	1967	1	1	2014			http://www.jstor.org/journal/jconsaffa		jconsaffa		fulltext	Moving Wall: 5 years Incorporated: Advancing the Consumer Interest in 2002 (1989-2001)		serial								P	110344553
Journal of Cultural Economics	0885-2545	1573-6997	1977	1	1	2016			http://www.jstor.org/journal/jcultecon		jcultecon		fulltext	Moving Wall: 3 years		serial								P	113327994
Journal of Economics	0931-8658	1617-7134	1986	46	1	2016			http://www.jstor.org/journal/jeconomics		jeconomics		fulltext	Previously: Zeitschrift für Nationalökonomie / Journal of Economics (1929-1985) Moving Wall: 3 years		serial								P	115581162
Journal of Financial Education	0093-3961	2332-421X	1973	1	2	2019			https://www.jstor.org/journal/jfinancialedu		jfinancialedu		fulltext	Previously: Financial Education (1972) Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	175794448
Journal of Forensic Economics	0898-5510	2374-8753	1987	1	1	2016			http://www.jstor.org/journal/jforeecon		jforeecon		fulltext	Moving Wall: 3 years		serial								P	182017354
Journal of Insurance Issues	1531-6076	2332-4244	1991	14	1	2019			https://www.jstor.org/journal/jinsuissu		jinsuissu		fulltext	Previously: The Journal of Insurance Issues and Practices (1977-1990) Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	175154880
Journal of Private Equity	1096-5572	2168-8508	1997	1	1	2018			http://www.jstor.org/journal/jprivateequity		jprivateequity		fulltext	Moving Wall: 1 year		serial								P	163680779
Journal of Productivity Analysis	0895-562X	1573-0441	1989	1	1	2016			http://www.jstor.org/journal/jprodanalysis		jprodanalysis		fulltext	Moving Wall: 3 years		serial								P	111373921
Journal of Risk and Uncertainty	0895-5646	1573-0476	1988	1	1	2016			http://www.jstor.org/journal/jriskuncertainty		jriskuncertainty		fulltext	Moving Wall: 3 years		serial								P	111373948
Kyoto University Economic Review	0023-6055	1884-5355	1926	1	1	2004			https://www.jstor.org/journal/kyotuniveconrevi		kyotuniveconrevi		fulltext	Now: Kyoto University Economic Review		serial								P	188557636
Latin American Journal of Economics	0719-0425	0719-0433	2011	48	1	2016	53	1	https://www.jstor.org/journal/latiamerijecon		latiamerijecon		fulltext	Previously: Cuadernos de Economía (1962-2010) Ceased:2016		serial								P	154002674
Management Revue	0935-9915	1861-9908	1990	1	1	2018			http://www.jstor.org/journal/managementrevue		managementrevue		fulltext	Moving Wall: 1 year		serial								P	11626327X
