publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Africa Today	0001-9887	1527-1978	2007	53	3				http://www.jstor.org/journal/africatoday		africatoday		fulltext			serial								P	045015325
African Conflict & Peacebuilding Review	2156-695X	2156-7263	2011	1	1				http://www.jstor.org/journal/africonfpeacrevi		africonfpeacrevi		fulltext			serial								P	192117254
Agricultural History	0002-1482		2001						http://www.jstor.org/journal/agrihist		agrihist		fulltext			serial								P	
Aleph: Historical Studies in Science and Judaism	1565-1525	1553-3956	2007		7				http://www.jstor.org/journal/aleph		aleph		fulltext			serial								P	131339125
American Journal of Archaeology	0002-9114	1939-828X	2003						http://www.jstor.org/journal/amerjarch		amerjarch		fulltext	Previously: The American Journal of Archaeology and of the History of the Fine Arts (1885-1896)		serial								P	118360639
American Journal of Theology & Philosophy	0194-3448	2156-4795	2008						http://www.jstor.org/journal/amerjtheophil		amerjtheophil		fulltext			serial								P	146125762
American Literary Realism	1540-3084	1940-5103	2007						http://www.jstor.org/journal/amerlitereal		amerlitereal		fulltext			serial								P	14059566X
American Music	0734-4392	1945-2349	2006			2012	30		http://www.jstor.org/journal/americanmusic		americanmusic		fulltext			serial								P	131773194
Annals of Economics and Statistics / Annales d'Économie et de Statistique	2115-4430	1968-3863	2011		93/94				http://www.jstor.org/journal/annaeconstat2009		annaeconstat2009		fulltext	Previously: Annales d'Économie et de Statistique (1986-2008)		serial								P	134010736
Antipodes	0893-5580	2331-9089	2014						http://www.jstor.org/journal/antipodes		antipodes		fulltext			serial								P	174860978
Arab Studies Quarterly	0271-3519	2043-6920	2008						http://www.jstor.org/journal/arabstudquar		arabstudquar		fulltext			serial								P	146297407
Arion: A Journal of Humanities and the Classics	0095-5809		2009						http://www.jstor.org/journal/arion		arion		fulltext			serial								P	
Arthur Miller Journal	1558-8831	2333-3154	2006	1	1				http://www.jstor.org/journal/arthmillj		arthmillj		fulltext	New for 2015.		serial								P	240610415
Austrian Studies	1350-7532	2222-4262	2003	11					http://www.jstor.org/journal/austrianstudies		austrianstudies		fulltext			serial								P	152198784
Biology and Environment: Proceedings of the Royal Irish Academy	0791-7945	2009-003X	2002						http://www.jstor.org/journal/biolenviprocria		biolenviprocria		fulltext			serial								P	116881526
Black Camera	1536-3155	1947-4237	2007						http://www.jstor.org/journal/blackcamera		blackcamera		fulltext			serial								P	147871018
Black Music Research Journal	0276-3605	1946-1615	2008						http://www.jstor.org/journal/blacmusiresej		blacmusiresej		fulltext			serial								P	131137123
