publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
'Atiqot /עתיקות	0792-8424		1991	20		2019			http://www.jstor.org/journal/atiqot		atiqot		fulltext	Previously: 'Atiqot: Hebrew Series (1955-1990) Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
'Atiqot: Hebrew Series /עתיקות: סידרה עברית	0067-0138	2311-8431	1955			1990			http://www.jstor.org/journal/atiqhebrseri		atiqhebrseri		fulltext	Now: 'Atiqot		serial								P	177500107
Alei Sefer: Studies in Bibliography and in the History of the Printed and the Digital Hebrew Book /עלי ספר: מחקרים בביבליוגרפיה ובתולדות הספר העברי	0334-4754		1975			2019			https://www.jstor.org/journal/aleisefer		aleisefer		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
Bar-Ilan Law Studies /מחקרי משפט	0334-0716		1980	א		2019			https://www.jstor.org/journal/barilanlawstud		barilanlawstud		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
Beit Mikra: Journal for the Study of the Bible and Its World /בית מקרא: כתב-עת לחקר המקרא ועולמו	0005-979X		1956			2017			https://www.jstor.org/journal/beitmikra		beitmikra		fulltext	Moving Wall: 2 years		serial								P	
Bulletin (Israel Gerontological Society) /ידיעון - האגודה הישראלית לגרונטולוגיה	0047-1577	2311-8407	1965		1	1995		95	http://www.jstor.org/journal/bullisragerosoci		bullisragerosoci		fulltext	Now: Gerontology , Continues: Surveys and Reviews in Gerontology (1995-1997)		serial								P	177500077
Bulletin of the Israel Exploration Society / ידיעות החברה לחקירת ארץ-ישראל ועתיקותיה	2312-007X	2410-7131	1952			1961			http://www.jstor.org/journal/bullisraexplsoci		bullisraexplsoci		fulltext	Previously: Bulletin of the Jewish Palestine Exploration Society (1933-1951) Continues: Yediot Bahaqirat Eretz-Israel Weatiqoteha (1962-1967)		serial								P	184867975
Bulletin of the Jewish Palestine Exploration Society / ידיעות החברה העברית לחקירת ארץ-ישראל ועתיקותיה	2312-0096	2410-714X	1933			1951			http://www.jstor.org/journal/bulljewipaleexpl		bulljewipaleexpl		fulltext	Continues: Bulletin of the Israel Exploration Society(1952-1961) , Yediot Bahaqirat Eretz-Israel Weatiqoteha (1962-1967)		serial								P	184867991
Cathedra: For the History of Eretz Israel and Its Yishuv /קתדרה: לתולדות ארץ ישראל ויישובה	0334-4657		1976		1	2014			https://www.jstor.org/journal/cathedra		cathedra		fulltext	Moving Wall: 5 years		serial								P	
Contract Archaeology Reports / פרסומי חפירות יישומיות	2313-1888		2005	1		2016			http://www.jstor.org/journal/contarchrepo		contarchrepo		fulltext	No issues were published from 2009-20012. Vol. 4 (2013) will be released in 2017.		serial								P	
Daat: A Journal of Jewish Philosophy & Kabbalah /דעת: כתב-עת לפילוסופיה יהודית וקבלה	0334-2336		1978		1	2019			http://www.jstor.org/journal/daat		daat		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
Dappim: Research in Literature / דפים למחקר בספרות	0334-0686		1984	1		2017			http://www.jstor.org/journal/dappim		dappim		fulltext	Moving Wall: 2 years		serial								P	
Democratic Culture	1565-0316		1999			2019			https://www.jstor.org/journal/democult		democult		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
