publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
AJS Review	0364-0094	1475-4541	1976	1		2014			http://www.jstor.org/journal/ajsreview		ajsreview		fulltext	Moving Wall:5 years		serial								P	069603006
Alei Sefer: Studies in Bibliography and in the History of the Printed and the Digital Hebrew Book /עלי ספר: מחקרים בביבליוגרפיה ובתולדות הספר העברי	0334-4754		1975			2019			http://www.jstor.org/journal/aleisefer		aleisefer		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
Aleph: Historical Studies in Science and Judaism	1565-1525	1553-3956	2001		1	2016			http://www.jstor.org/journal/aleph		aleph		fulltext	Moving Wall: 3 years		serial								P	131339125
American Jewish Historical Quarterly	0002-9068		1961	51	1	1978	67	4	http://www.jstor.org/journal/amerjewihistquar		amerjewihistquar		fulltext	Now: American Jewish History. Previously: Publications of the American Jewish Historical Society (1893-1961)		serial								P	
American Jewish History	0164-0178	1086-3141	1978	68	1	2014			http://www.jstor.org/journal/amerjewihist		amerjewihist		fulltext	previously: American Jewish Historical Quarterly (1961-1978) , Publications of the American Jewish Historical Society (1893-1961). Moving Wall: 5 years		serial								P	058046518
American Jewish Year Book, The	0065-8987	2213-9583	1899	1		2008	108		http://www.jstor.org/journal/amerjewiyearbook		amerjewiyearbook		fulltext	Ceased: 2008		serial								P	167980637
Bar-Ilan Law Studies /מחקרי משפט	0334-0716		1980	א		2019			http://www.jstor.org/journal/barilanlawstud		barilanlawstud		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
Beit Mikra: Journal for the Study of the Bible and Its World /בית מקרא: כתב-עת לחקר המקרא ועולמו	0005-979X		1956	א	א (א)	2017			http://www.jstor.org/journal/beitmikra		beitmikra		fulltext	Moving Wall: 2 years		serial								P	
Bridges: A Jewish Feminist Journal	1046-8358	1558-9552	1990	1	1	2011	16	1	http://www.jstor.org/journal/bridges		bridges		fulltext	Ceased: 2011		serial								P	114709815
Cathedra: For the History of Eretz Israel and Its Yishuv /קתדרה: לתולדות ארץ ישראל ויישובה	0334-4657		1976		1	2014			http://www.jstor.org/journal/cathedra		cathedra		fulltext	Moving Wall: 5 years		serial								P	
