publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Angelicum	1123-5772		1925	2	1	2015			https://www.jstor.org/journal/angelicum		angelicum		fulltext	Moving Wall: 3 years. Previously: Unio Thomistica (1924)		serial								P	
Bulletin d'informations proustiennes	0338-0548	2492-4830	1975		1	2015			https://www.jstor.org/journal/bulldinfprou		bulldinfprou		fulltext	Moving Wall: 3 years		serial								P	193571005
Carmina Philosophiae	1075-4407		1992	1		2015			https://www.jstor.org/journal/carmphil		carmphil		fulltext	Moving Wall: 3 years		serial								P	
Celestinesca	0147-3085		1977	1	1	2018			https://www.jstor.org/journal/celestinesca		celestinesca		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR		serial								P	
Conradiana	0010-6356	1935-0252	1972	4	1	2017			https://www.jstor.org/journal/conradiana		conradiana		fulltext	Moving Wall: 1 year		serial								P	127806563
D. H. Lawrence Review	0011-4936		1968	1	1	2017			https://www.jstor.org/journal/dhlawrencereview		dhlawrencereview		fulltext	Moving Wall: 1 year		serial								P	
Dante: Rivista internazionale di studi su Dante Alighieri	1724-9058	1824-9272	2004	1		2013			https://www.jstor.org/journal/rinterdantalig		rinterdantalig		fulltext	Moving Wall: 5 years		serial								P	090149963
Eudora Welty Newsletter	0146-7220		1977	1	1	2008	32	2	https://www.jstor.org/journal/eudoweltnews		eudoweltnews		fulltext	Now: Eudora Welty Review		serial								P	
Eudora Welty Review	1947-3370	2165-266X	2009	1		2015			https://www.jstor.org/journal/eudoweltrevi		eudoweltrevi		fulltext	Previously: Eudora Welty Newsletter (1977-2008). Moving Wall: 3 years		serial								P	163330611
Faulkner Journal	0884-2949		1985	1	1	2018			https://www.jstor.org/journal/joycstudann		joycstudann		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
Hefte der Deutschen Thomas-Mann-Gesellschaft, Sitz Lübeck	0722-1207		1981		1	1987		6/7	https://www.jstor.org/journal/heftdeutthommann		heftdeutthommann		fulltext	Now: Thomas Mann Jahrbuch		serial								P	
Journal of Beckett Studies	0309-5207	1759-7811	1976		1	2013			https://www.jstor.org/journal/jbeckettstudies		jbeckettstudies		fulltext	Moving Wall: 5 years		serial								P	136115446
Joyce Studies Annual	1049-0809	1538-4241	1990	1		2018			https://www.jstor.org/journal/faulknerj		faulknerj		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	133788741
Langston Hughes Review	0737-0555		1982	1	1				https://www.jstor.org/journal/langhughrevi		langhughrevi		fulltext	New for 2019		serial								P	
