publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Anti-japan: The Politics Of Sentiment In Postcolonial East Asia	978-1-47800-188-1	978-1-47809-001-4							https://www.jstor.org/stable/10.2307/j.ctv113166n	LEO T. S. CHING	10.2307/j.ctv113166n		fulltext		Duke University Press	monograph	2019	2020						F	
Climate Change And The New Polar Aesthetics: Artists Reimagine The Arctic And Antarctic	978-1-47801-599-4	978-1-47809-286-5							https://www.jstor.org/stable/10.2307/j.ctv2vr9d2c	LISA E. BLOOM	10.2307/j.ctv2vr9d2c		fulltext		Duke University Press	monograph	2022	2022						F	
Beside You In Time: Sense Methods And Queer Sociabilities In The American Nineteenth Century	978-1-47800-504-9	978-1-47809-004-5							https://www.jstor.org/stable/10.2307/j.ctv11smmfz	ELIZABETH FREEMAN	10.2307/j.ctv11smmfz		fulltext		Duke University Press	monograph	2019	2020						F	
Bring On The Books For Everybody: How Literary Culture Became Popular Culture	978-0-82234-606-7	978-1-47809-201-8							https://www.jstor.org/stable/10.2307/j.ctv11sn1tw	Jim Collins	10.2307/j.ctv11sn1tw		fulltext		Duke University Press	monograph	2010	2020						F	
Affective Justice: The International Criminal Court And The Pan-africanist Pushback	978-1-47800-575-9	978-1-47809-030-4							https://www.jstor.org/stable/10.2307/j.ctv1131bbn	Kamari Maxine Clarke	10.2307/j.ctv1131bbn		fulltext		Duke University Press	monograph	2019	2020						F	
Bright Signals: A History Of Color Television	978-0-82237-121-2	978-1-47809-366-4							https://www.jstor.org/stable/10.2307/j.ctv11cw63m	SUSAN MURRAY	10.2307/j.ctv11cw63m		fulltext		Duke University Press	monograph	2018	2020						F	
Buy It Now: Lessons From Ebay	978-0-82235-226-6	978-1-47809-354-1							https://www.jstor.org/stable/10.2307/j.ctv11sn3h6	MICHELE WHITE	10.2307/j.ctv11sn3h6		fulltext		Duke University Press	monograph	2012	2020						F	
Anthropology, Film Industries, Modularity	978-1-47801-490-4	978-1-47809-233-9							https://www.jstor.org/stable/10.2307/j.ctv1x67dfz		10.2307/j.ctv1x67dfz		fulltext		Duke University Press	monograph	2021	2021			RAMYAR D. ROSSOUKH			F	
Animating Film Theory	978-0-82235-652-3	978-1-47809-195-0							https://www.jstor.org/stable/10.2307/j.ctv11sn1f6		10.2307/j.ctv11sn1f6		fulltext		Duke University Press	monograph	2014	2020			Karen Beckman			F	
Ten Books That Shaped The British Empire: Creating An Imperial Commons	978-0-82235-813-8	978-1-47809-326-8							https://www.jstor.org/stable/10.2307/j.ctv125jm1s		10.2307/j.ctv125jm1s		fulltext		Duke University Press	monograph	2014	2020			ANTOINETTE BURTON			F	
Nonhuman Witnessing: War, Data, And Ecology After The End Of The World	978-1-47802-090-5	978-1-47809-393-0							https://www.jstor.org/stable/10.2307/jj.9827068	MICHAEL RICHARDSON	10.2307/jj.9827068		fulltext		Duke University Press	monograph	2024	2024						F	
Paradoxes Of Hawaiian Sovereignty: Land, Sex, And The Colonial Politics Of State Nationalism	978-0-82237-049-9	978-1-47809-403-6							https://www.jstor.org/stable/10.2307/j.ctv1198v1v	J. KĒHAULANI KAUANUI	10.2307/j.ctv1198v1v		fulltext		Duke University Press	monograph	2018	2020						F	
Japonisme And The Birth Of Cinema	978-1-47800-853-8	978-1-47809-167-7							https://www.jstor.org/stable/10.2307/j.ctv14t48bv	DAISUKE MIYAO	10.2307/j.ctv14t48bv		fulltext		Duke University Press	monograph	2020	2020						F	
Queer African Cinemas	978-1-47801-540-6	978-1-47809-365-7							https://www.jstor.org/stable/10.2307/j.ctv2bgz3dq	LINDSEY B. GREEN-SIMMS	10.2307/j.ctv2bgz3dq		fulltext		Duke University Press	monograph	2022	2022						F	
