publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Demographic Research	1435-9871	2363-7064	1999-07-01	1		2024-01-01	50		https://www.jstor.org/journal/demorese		demorese		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	Max-Planck-Gesellschaft zur Foerderung der Wissenschaften	serial								F	095753923
Demography	0070-3370	1533-7790	2021-02-01	58	1	2023-12-01	60	6	https://www.jstor.org/journal/demography		demography		fulltext	Coverage for this title ends with Volume 60, Issue 6, December 2023.	Duke University Press	serial								F	058405720
Desarrollo Económico	0046-001X	1853-8185	2020-06-18	59	229	2024-01-01	63	241	https://www.jstor.org/journal/desaecon		desaecon		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	Instituto de Desarrollo Económico Y Social	serial								F	132997908
DiGeSt. Journal of Diversity and Gender Studies	2593-0273	2593-0281	2014-01-01	1	1	2019-01-01	6	2	https://www.jstor.org/journal/jdivegendstud		jdivegendstud		fulltext	Coverage for this title ends in 2019.	Leuven University Press	serial								F	204162440
National Defense	0092-1491	1943-3115	2005-07-01	90	620	2021-12-01	106	817	https://www.jstor.org/journal/ndm		ndm	P3Y	fulltext		National Defense Industrial Association	serial							ordnance	F	128402180
Naval War College Information Service for Officers	2637-7101	2641-6778	1948-10-01	1	1	1952-06-01	4	10	https://www.jstor.org/journal/navawarcollinfo		navawarcollinfo		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	U.S. Naval War College Press	serial						navawarcollrevi		F	234527846
Naval War College Review	0028-1484	2475-7047	1952-09-01	5	1	2023-04-01	76	2	https://www.jstor.org/journal/navawarcollrevi		navawarcollrevi		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	U.S. Naval War College Press	serial							navawarcollinfo	F	199152098
Nieuwe West-Indische Gids / New West Indian Guide	0028-9930	2214-7721	1960-01-01	40		1991-01-01	65	3/4	https://www.jstor.org/journal/nieuwestindigids		nieuwestindigids		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	Brill	serial						nwignewwesindgui	voxguyanae	F	171059093
Nordic Journal of Migration Research		1799-649X	2011-01-01	1	1	2024-01-01	14	3	https://www.jstor.org/journal/nordjmigrrese		nordjmigrrese		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	Helsinki University Press	serial								F	157670422
Diversity and Distributions	1366-9516	1472-4642	2019-01-01	25	1	2024-09-01	30	9	https://www.jstor.org/journal/divedist		divedist		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	Wiley	serial							biodlett	F	05829063X
Ecology and Society		1708-3087	2004-06-01	9	1	2019-09-01	24	3	https://www.jstor.org/journal/ecologysociety		ecologysociety		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	Resilience Alliance Inc.	serial							consecol	F	174200145
Economía	1529-7470	1533-6239	2000-10-01	1	1	2023-01-01	22	1	https://www.jstor.org/journal/economia		economia		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	LSE Press	serial								F	058405445
Energy Exploration & Exploitation	0144-5987	2048-4054	2017-01-01	35	1	2020-11-01	38	6	https://www.jstor.org/journal/enerexplexpl		enerexplexpl	P4Y	fulltext		Sage Publications, Ltd.	serial								F	157100308
Erdkunde	0014-0015		2021-01-01	75	1	2024-01-01	78	2	https://www.jstor.org/journal/erdkunde		erdkunde		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	Erdkunde	serial								F	
NWIG: New West Indian Guide / Nieuwe West-Indische Gids	1382-2373	2213-4360	1992-01-01	66	1/2	2024-01-01	98	1	https://www.jstor.org/journal/nwignewwesindgui		nwignewwesindgui		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	Brill	serial							nieuwestindigids	F	153780193
