publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Are Consumers Willing To Pay For Industrial Decarbonisation?: Evidence From A Discrete Choice Experiment On Green Plastics									https://www.jstor.org/stable/resrep30342	Victor Ajayi	10.2307/resrep30342		fulltext		Energy Policy Research Group, University of Cambridge	monograph	2020							P	
A Pileup: Surface Transportation Market Failures And Policy Solutions									https://www.jstor.org/stable/resrep45741	Butner Matt	10.2307/resrep45741		fulltext		Institute for Policy Integrity	monograph	2020							P	
Barriers And Solutions To Building Clean Energy In California									https://www.jstor.org/stable/resrep58217	Union of Concerned Scientists	10.2307/resrep58217		fulltext		Union of Concerned Scientists	monograph	2024							P	
Biases In Analysis Of Split-rate Property Tax Reforms: Hawaii’s Experience 1963-1979									https://www.jstor.org/stable/resrep18278	Sally Kwak	10.2307/resrep18278		fulltext		Lincoln Institute of Land Policy	monograph	2009							P	
Bridging Funding Gaps For Climate And Sustainable Development: Pitfalls, Progress And Potential									https://www.jstor.org/stable/resrep16250	Robyn Clark	10.2307/resrep16250		fulltext		Center for International Forestry Research	monograph	2017							P	
An Orderly And Equitable Global Transition Away From Fossil Fuels: An Action Framework To Navigate Economic, Financial And Geopolitical Volatiliy									https://www.jstor.org/stable/resrep64189	MARIA PASTUKHOVA	10.2307/resrep64189		fulltext		E3G	monograph	2024							P	
A Framework For Sustainable Development									https://www.jstor.org/stable/resrep16082	Sustainable Development Solutions Network	10.2307/resrep16082		fulltext		Sustainable Development Solutions Network	monograph	2012							P	
A Perspective Paper On Climate Engineering: Including An Analysis Of Carbon Capture As A Response To Climate Change									https://www.jstor.org/stable/resrep16351	Roger Pielke <suffix>Jr.</suffix>	10.2307/resrep16351		fulltext		Copenhagen Consensus Center	monograph	2018							P	
A Series Of Assessments On Climate Change In The Kurdistan Region And Iraq; High Temperature And Its Consequence									https://www.jstor.org/stable/resrep52730	Mahmood Baban	10.2307/resrep52730		fulltext		Rudaw Research Center	monograph	2023							P	
Biocultural Adaptation In Mountain Communities: Third Inmip International Learning Exchange, Stone Village, China									https://www.jstor.org/stable/resrep18078		10.2307/resrep18078		fulltext		International Institute for Environment and Development	monograph	2016							P	
