publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
3D Printing and Additive Manufacturing		2329-7670	2014-03-01	1					http://online.liebertpub.com/loi/3DP		3DP		fulltext			serial												2329-7670					Current	
AIDS Patient Care and STDs	1087-2914	1557-7449	1987-06-01	1	1				http://online.liebertpub.com/loi/APC		APC		fulltext			serial											1087-2914	1557-7449					Current	
AIDS Research and Human Retroviruses	0889-2229	1931-8405	1987-01-01	3	1				http://online.liebertpub.com/loi/AID		AID		fulltext			serial									Previously: AIDS Research		0889-2229	1931-8405					Current	
ASSAY and Drug Development Technologies	1540-658X	1557-8127	2002-11-01	1	1				http://online.liebertpub.com/loi/ADT		ADT		fulltext			serial											1540-658X	1557-8127					Current	
Advances in Wound Care	2162-1918	2162-1934	2012-02-01	1	1				http://online.liebertpub.com/loi/WOUND		WOUND		fulltext			serial											2162-1918	2162-1934					Current	
Alternative and Complementary Therapies	1076-2809	1557-9085	1994-10-01	1	1				http://online.liebertpub.com/loi/ACT		ACT		fulltext			serial											1076-2809	1557-9085					Current	
Antioxidants & Redox Signaling	1523-0864	1557-7716	1999-01-01	1	1				http://online.liebertpub.com/loi/ARS		ARS		fulltext			serial											1523-0864	1557-7716					Current	
Oligonucleotides	1545-4576	1557-8526	2003-08-01	13	4	2011-04-30	21	2	http://online.liebertpub.com/loi/NAT		NAT		fulltext			serial									Now: Nucleic Acid Therapeutics. Previously: Antisense Research and Development (1991-1995)and Antisense and Nucleic Acid Drug Development (1996-2003		1545-4576	1557-8526					Current	
Applied In Vitro Toxicology	2332-1512	2332-1539	2015-03-01	1	1				http://online.liebertpub.com/loi/AIVT		AIVT		fulltext			serial									new (2015)		2332-1512	2332-1539			2015-01-01		Current	
Astrobiology	1531-1074	1557-8070	2001-03-01	1	1				http://online.liebertpub.com/loi/AST		AST		fulltext			serial											1531-1074	1557-8070					Current	
Bariatric nursing and surgical patient care : official journal of the National Association of Bariatric Nurses.	1557-1459		2006-01-01	1	1	2012-12-31	7	4	http://online.liebertpub.com/loi/BARI		BARI		fulltext			serial									Now Bariatric Surgical Patient Care		1557-1459						Current	
Big Data	2167-6461	2167-647X	2013-03-01	1	1				http://online.liebertpub.com/loi/BIG		BIG		fulltext			serial											2167-6461	2167-647X					Current	
BioResearch Open Access	2164-7844	2164-7860	2012-02-01	1	1				http://online.liebertpub.com/loi/BIORES		BIORES		fulltext			serial											2164-7844	2164-7860					Current	
Cell Preservation Technology	1538-344X	1557-8119	2002-05-01	1	1	2007-12-31	5	4	http://online.liebertpub.com/loi/BIO		BIO		fulltext			serial									Now: Biopreservation and Biobanking		1538-344X	1557-8119					Current	
Biosecurity and Bioterrorism: Biodefense Strategy, Practice, and Science	1538-7135	1557-850X	2003-03-01	1	1	2014-12-31	12	6	http://online.liebertpub.com/loi/BSP		BSP		fulltext			serial									Now: Health Security		1538-7135	1557-850X					Current	
Biotechnology Law Report	0730-031X	1557-8704	1982-01-01	1	1				http://online.liebertpub.com/loi/BLR		BLR		fulltext			serial											0730-031X	1557-8704					Current	
Brain Connectivity	2158-0014	2158-0022	2011-01-01	1	1				http://online.liebertpub.com/loi/BRAIN		BRAIN		fulltext			serial											2158-0014	2158-0022					Current	
Breastfeeding Medicine	1556-8253	1556-8342	2006-01-01	1	1				http://online.liebertpub.com/loi/BFM		BFM		fulltext			serial											1556-8253	1556-8342					Current	
Cancer Biotherapy and Radiopharmaceuticals	1084-9785	1557-8852	1996-02-01	11	1				http://online.liebertpub.com/loi/CBR		CBR		fulltext			serial									Previously: Cancer Biotherapy (1983-1995)		1084-9785	1557-8852					Current	
Cloning and Stem Cells	1536-2302	1557-7457	2001-03-01	3	1	2009-12-31	11	4	http://online.liebertpub.com/loi/CELL		CELL		fulltext			serial									Now: Cellular Reprogramming Previously: Cloning (1999-2000)		1536-2302	1557-7457					Current	
Journal of Neurotrauma	0897-7151	1557-9042	1988-01-01	5	1				http://online.liebertpub.com/loi/NEU		NEU		fulltext			serial									Previously: Central Nervous System Trauma (1984-1987)		0897-7151	1557-9042					Current	
Obesity and Weight Management	1948-6553	1948-6561	2009-08-01	5	4	2010-06-01	6	3	http://online.liebertpub.com/loi/CHI		CHI		fulltext			serial									Now: Childhood Obesity		1948-6553	1948-6561					Current	
Clinical Thyroidology	2329-9711	2329-972X	2001-03-01	13	1				http://online.liebertpub.com/ct		ct		fulltext			serial											2329-9711	2329-972X					Current	
Journal of Gynecologic Surgery	1042-4067	1557-7724	1989-01-01	5	1				http://online.liebertpub.com/loi/GYN		GYN		fulltext			serial									Previously: Colposcopy and Gynecologic Laser Surgery (1984-1988)		1042-4067	1557-7724					Current	
Cyberpsychology, Behavior and Social Networking	2152-2715	2152-2723	2010-02-01	13	1				http://online.liebertpub.com/loi/CYBER		CYBER		fulltext			serial									Previously: CyberPsychology and Behavior (1998-2009)		2152-2715	2152-2723					Current	
DNA and Cell Biology	1044-5498	1557-7430	1990-01-01	9	1				http://online.liebertpub.com/loi/DNA		DNA		fulltext			serial									Previously: DNA (1981-1989)		1044-5498	1557-7430					Current	
Diabetes Technology & Therapeutics	1520-9156	1557-8593	1999-03-01	1	1				http://online.liebertpub.com/loi/DIA		DIA		fulltext			serial											1520-9156	1557-8593					Current	
Population Health Management	1942-7891	1942-7905	2008-08-01	11	4				http://online.liebertpub.com/loi/POP		POP		fulltext			serial									Previously: Disease Management (1998-2008)		1942-7891	1942-7905					Current	
Disruptive Science and Technology	2163-310X	2163-3118	2012-01-01	1	1				http://online.liebertpub.com/loi/DST		DST		fulltext			serial											2163-310X	2163-3118					Current	
Drug Repurposing, Rescue, and Repositioning	2332-0257	2332-0265	2015-03-01	1	1	2015-03-31	1	1	http://online.liebertpub.com/loi/DRRR		DRRR		fulltext			serial									New for 2015. Incorporated into: ASSAY and Drug Development Technologies (2015)		2332-0257	2332-0265			2015-03-01		Current	
Ecopsychology		1942-9347	2009-03-01	1	1				http://online.liebertpub.com/loi/ECO		ECO		fulltext			serial												1942-9347					Current	
Election Law Journal: Rules, Politics, and Policy	1533-1296	1557-8062	2002-03-01	1	1				http://online.liebertpub.com/loi/ELJ		ELJ		fulltext			serial											1533-1296	1557-8062					Current	
Hazardous Waste & Hazardous Materials	0882-5696	2331-4591	1985-01-01	2	1	1996-12-31	13	4	http://online.liebertpub.com/loi/EES		EES		fulltext			serial									Now: Environmental Engineering Science Previously: Hazardous Waste (1984)		0882-5696	2331-4591					Current	
Environmental Justice	1939-4071	1937-5174	2008-03-01	1	1				http://online.liebertpub.com/loi/ENV		ENV		fulltext			serial											1939-4071	1937-5174					Current	
Foodborne Pathogens and Disease	1535-3141	1556-7125	2004-03-01	1	1				http://online.liebertpub.com/loi/FPD		FPD		fulltext			serial											1535-3141	1556-7125					Current	
Games for Health Journal	2161-783X	2161-7856	2012-02-01	1	1				http://online.liebertpub.com/loi/G4H		G4H		fulltext			serial											2161-783X	2161-7856					Current	
Gaming Law Review and Economics: Regulation, Compliance, and Policy	1097-5349	1941-5494	2009-02-01	13	1				http://online.liebertpub.com/loi/GLRE		GLRE		fulltext			serial									Previously: Gaming Law Review (1997-2008)		1097-5349	1941-5494					Current	
Genetic Engineering & Biotechnology News	1935-472X	1937-8661	2011-01-01	31	1				http://online.liebertpub.com/loi/GEN		GEN		fulltext			serial											1935-472X	1937-8661					Current	
Genetic Testing and Molecular Biomarkers	1945-0265	1945-0257	2009-02-01	13	1				http://online.liebertpub.com/loi/GTMB		GTMB		fulltext			serial									Previously: Genetic Testing (1997-2008)		1945-0265	1945-0257					Current	
OMICS: A Journal of Integrative Biology	1536-2310	1557-8100	2002-01-01	6	1				http://online.liebertpub.com/loi/OMI		OMI		fulltext			serial									Previously: Genome Science and Technology (1995-1996) and Microbial & Comparative Genomics (1997-2000)		1536-2310	1557-8100					Current	
Health Security	2326-5094	2326-5108	2015-01-01	13	1				http://online.liebertpub.com/loi/HS		HS		fulltext			serial									Previously: Biosecurity and Bioterrorism (2003-2014)		2326-5094	2326-5108					Current	
High Altitude Medicine & Biology	1527-0297	1557-8682	2000-03-01	1					http://online.liebertpub.com/loi/HAM		HAM		fulltext			serial											1527-0297	1557-8682					Current	
