publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
AI Communications	0921-7126	1875-8452							http://iospress.metapress.com/content/103140		103140				IOS Press									
Asymptotic Analysis	0921-7134	1875-8576							http://iospress.metapress.com/content/103142		103142				IOS Press									
Behavioural Neurology	0953-4180	1875-8584							http://iospress.metapress.com/content/103143		103143				IOS Press									
BioFactors	0951-6433	1872-8081							http://iospress.metapress.com/content/103144		103144				IOS Press									
Bio-Medical Materials and Engineering	0959-2989	1878-3619							http://iospress.metapress.com/content/103145		103145				IOS Press									
Clinical Hemorheology and Microcirculation	1386-0291	1875-8622							http://iospress.metapress.com/content/103148		103148				IOS Press									
Education for Information	0167-8329	1875-8649							http://iospress.metapress.com/content/103150		103150				IOS Press									
Environmental Policy and Law	0378-777X	1878-5395							http://iospress.metapress.com/content/103151		103151				IOS Press									
Human Antibodies	1093-2607	1875-869X							http://iospress.metapress.com/content/103153		103153				IOS Press									
Human Systems Management	0167-2533	1875-8703							http://iospress.metapress.com/content/103154		103154				IOS Press									
Information Infrastructure and Policy	1383-7605	1875-8738							http://iospress.metapress.com/content/103155		103155				IOS Press									
Information Services and Use	0167-5265	1875-8789							http://iospress.metapress.com/content/103157		103157				IOS Press									
Integrated Computer-Aided Engineering	1069-2509	1875-8835							http://iospress.metapress.com/content/103160		103160				IOS Press									
International Journal of Applied Electromagnetics and Mechanics	1383-5416	1875-8800							http://iospress.metapress.com/content/103161		103161				IOS Press									
The International Journal of Risk and Safety in Medicine	0924-6479	1878-6847							http://iospress.metapress.com/content/103162		103162				IOS Press									
Isokinetics and Exercise Science	0959-3020	1878-5913							http://iospress.metapress.com/content/103163		103163				IOS Press									
Journal of Back and Musculoskeletal Rehabilitation	1053-8127	1878-6324							http://iospress.metapress.com/content/103166		103166				IOS Press									
Journal of Computer Security	0926-227X	1875-8924							http://iospress.metapress.com/content/103167		103167				IOS Press									
Journal of Economic and Social Measurement	0747-9662	1875-8932							http://iospress.metapress.com/content/103168		103168				IOS Press									
Journal of High Speed Networks	0926-6801	1875-8940							http://iospress.metapress.com/content/103170		103170				IOS Press									
Journal of Vestibular Research	0957-4271	1878-6464							http://iospress.metapress.com/content/103172		103172				IOS Press									
