publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
American Catholic Studies	2161-8542	2161-8534	2011	122	1				https://muse.jhu.edu/journal/544		544		fulltext		American Catholic Historical Society	serial								P
American Journal of Theology & Philosophy	0194-3448	2156-4795	2010	31	1				https://muse.jhu.edu/journal/496		496		fulltext		University of Illinois Press	serial								P
Buddhist-Christian Studies	0882-0945	1527-9472	1999	19	1				https://muse.jhu.edu/journal/22		22		fulltext		University of Hawai'i Press	serial								P
Bulletin of Medieval Canon Law	0146-2989	2372-2509	2013	30	1				https://muse.jhu.edu/journal/626		626		fulltext		The Catholic University of America Press	serial								P
Contagion: Journal of Violence, Mimesis, and Culture	1075-7201	1930-1200	1994	1	1				https://muse.jhu.edu/journal/385		385		fulltext		Michigan State University Press	serial								P
Critical Philosophy of Race	2165-8684	2165-8692	2013	1	1				https://muse.jhu.edu/journal/595		595		fulltext		Penn State University Press	serial								P
Education and Culture	1085-4908	1559-1786	1994	11	2				https://muse.jhu.edu/journal/323		323		fulltext		Purdue University Press	serial							1192	P
Ethics & the Environment	1085-6633	1535-5306	1999	4	1				https://muse.jhu.edu/journal/57		57		fulltext		Indiana University Press	serial								P
Franciscan Studies	0080-5459	1945-9718	1943	3	2				https://muse.jhu.edu/journal/457		457		fulltext		Franciscan Institute Publications	serial								P
Hume Studies	0319-7336	1947-9921	1975	1	1				https://muse.jhu.edu/journal/432		432		fulltext		Hume Society	serial								P
Jewish Quarterly Review	0021-6682	1553-0604	2001	92	1				https://muse.jhu.edu/journal/292		292		fulltext		University of Pennsylvania Press	serial								P
Journal of Animal Ethics	2156-5414	2160-1267	2016	6	1				https://muse.jhu.edu/journal/678		678		fulltext		University of Illinois Press	serial								P
Journal of Biblical Literature	0021-9231	1934-3876	2011	130	1				https://muse.jhu.edu/journal/513		513		fulltext		Society of Biblical Literature	serial								P
Journal of Buddhist Philosophy	2374-247X	2374-2488	2015	1	1				https://muse.jhu.edu/journal/702		702		fulltext		State University of New York Press	serial								P
