publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Journal of Southeast Asian Economies (JSEAE)	2339-5095	2339-5206	2013-04-01	30	1				https://muse.jhu.edu/journal/347		1227		fulltext		ISEAS–Yusof Ishak Institute	serial							924	P	178974447
Women in French Studies	1077-825X	2166-5486	1993	1	1				https://muse.jhu.edu/journal/591		1191		fulltext		Women in French Association	serial								P	175147221
Canadian Bulletin of Medical History	0823-2105	2371-0179	2016	33	1	2021	38	2	https://muse.jhu.edu/journal/699		1314		fulltext		University of Toronto Press	serial								P	19225717X
Urban History Review	0703-0428	1918-5138	2018-09-01	47	1				https://muse.jhu.edu/journal/790		1417		fulltext		University of Toronto Press	serial								P	136161782
Philosophy & Rhetoric	0031-8213	1527-2079	1999	32	2				https://muse.jhu.edu/journal/151		703		fulltext		Penn State University Press	serial								P	058352457
Nashim: A Journal of Jewish Women's Studies & Gender Issues	0793-8934	1565-5288	2000-03-01	3	1				https://muse.jhu.edu/journal/243		808		fulltext		Indiana University Press	serial								P	156302713
Canadian Journal of Law and Society	0829-3201	1911-0227	2005	20	1	2024	39	3	https://muse.jhu.edu/journal/356		936		fulltext		Cambridge University Press	serial								P	153733632
Southeast Asian Affairs	0377-5437	1793-9135	2003	2003	1				https://muse.jhu.edu/journal/462		1058		fulltext		ISEAS–Yusof Ishak Institute	serial								P	134556925
Leviathan	1525-6995	1750-1849	1999-03-01	1	1				https://muse.jhu.edu/journal/601		1204		fulltext		Johns Hopkins University Press	serial								P	109999754
Antiphon: A Journal for Liturgical Renewal	1543-9925	1543-9933	1996-03-01	1	1				https://muse.jhu.edu/journal/708		1325		fulltext		The Catholic University of America Press	serial								P	07687558X
North Dakota Quarterly	0029-277X	2836-175X	2023-03-01	90	1				https://muse.jhu.edu/journal/862		1493		fulltext		University of Nebraska Press	serial								P	268036101
Oceanic Linguistics	0029-8115	1527-9421	1999-12-01	38	2				https://muse.jhu.edu/journal/147		697		fulltext		University of Hawai'i Press	serial								P	048904325
Children's Literature	0092-8208	1543-3374	1972	1	1				https://muse.jhu.edu/journal/214		773		fulltext		Johns Hopkins University Press	serial								P	154002925
Black Women, Gender & Families	1935-2743	1944-6462	2009	3	1	2012	6	2	https://muse.jhu.edu/journal/437		1026		fulltext		University of Illinois Press	serial								P	162245602
Forum Modernes Theater	0930-5874	2196-3517	2010	25	1				https://muse.jhu.edu/journal/574		1170		fulltext		Forum Modernes Theater	serial								P	169428591
Georgetown Journal of International Affairs	1526-0054	2471-8831	2016-03-01	17	1				https://muse.jhu.edu/journal/681		1294		fulltext		Johns Hopkins University Press	serial								P	200452967
Book History	1098-7371	1529-1499	1998	1	1				https://muse.jhu.edu/journal/23		559		fulltext		Johns Hopkins University Press	serial								P	048905887
AJS Review: The Journal of the Association for Jewish Studies	0364-0094	1475-4541	2018-04-01	42	1				https://muse.jhu.edu/journal/844		1473		fulltext		University of Pennsylvania Press	serial								P	069603006
Latin American Research Review	0023-8791	1542-4278	2003	38	1	2016	51	4	https://muse.jhu.edu/journal/226		787		fulltext		Latin American Studies Association	serial								P	120123908
Yearbook of Comparative and General Literature	0084-3695	1947-2978	2008	54	1	2008	54	1	https://muse.jhu.edu/journal/447		1043		fulltext		University of Toronto Press	serial								P	151740291
Innovations: Technology, Governance, Globalization	1558-2477	1558-2485	2012	7	1	2013	8	3	https://muse.jhu.edu/journal/554		1152		fulltext		The MIT Press	serial								P	113868677
Fontes Artis Musicae	0015-6191	2471-156X	2016	63	1				https://muse.jhu.edu/journal/688		1301		fulltext		International Association of Music Libraries, Archives and Documentation Centres	serial								P	192263064
Rhetorica	0734-8584	1533-8541	1997	15	1				https://muse.jhu.edu/journal/854		1484		fulltext		Johns Hopkins University Press	serial								P	083135421
Dance Research Journal	0149-7677	1940-509X	2008-06-01	40	1				https://muse.jhu.edu/journal/380		967		fulltext		Cambridge University Press	serial								P	155356437
U.S. Catholic Historian	0735-8318	1947-8224	2007-12-01	25	1				https://muse.jhu.edu/journal/446		1042		fulltext		The Catholic University of America Press	serial								P	140142207
Reception: Texts, Readers, Audiences, History	2168-0604	2155-7888	2013	5	1	2023	15	1	https://muse.jhu.edu/journal/602		1206		fulltext		Penn State University Press	serial								P	147873339
