publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Too Much is Not Enough	9781941269008	9781941269022							https://muse.jhu.edu/book/66984	Bernhardt	66984		fulltext		Purdue University Press	monograph	2014	2020						F	
Rousseau and the Problem of Human Relations	9780271071008	9780271074641							https://muse.jhu.edu/book/66986	Warner	66986		fulltext		Penn State University Press	monograph	2016	2022						F	
Composing the Party Line	9781612492896	9781612492902							https://muse.jhu.edu/book/66987	Tompkins	66987		fulltext		Purdue University Press	monograph	2013	2019						F	178038229
Understanding the Global Energy Crisis	9781612493091	9781612493107							https://muse.jhu.edu/book/66988	Coyle	66988		fulltext		Purdue University Press	monograph	2014	2019						F	177994037
Neighbors in Conflict	9781421431024	9781421429908							https://muse.jhu.edu/book/67077	Bayor	67077		fulltext		Johns Hopkins University Press	monograph	2019	2019						F	
The Barristers of Toulouse in the Eighteenth Century (1740-1793)	9781421430775	9781421429953							https://muse.jhu.edu/book/67087	Berlanstein	67087		fulltext		Johns Hopkins University Press	monograph	1975	2019						F	
Gerard Manley Hopkins	9781421430768	9781421429946							https://muse.jhu.edu/book/67088	Bender	67088		fulltext		Johns Hopkins University Press	monograph	1967	2019						F	
The Revolution Will Not Be Theorized		9781438475448							https://muse.jhu.edu/book/67098	Henderson	67098		fulltext		State University of New York Press	monograph	2019	2019						F	
The State of Open Data	9781928331957	9781552506127							https://muse.jhu.edu/book/67112	Walker	67112		fulltext		African Minds	monograph	2019	2019						F	238417867
Molecular Feminisms	0295744111	9780295744117							https://muse.jhu.edu/book/67146	Roy	67146		fulltext		University of Washington Press	monograph	2018	2019						F	
Blood Ties	0801469805	9780801469800							https://muse.jhu.edu/book/67161	Yosmaoğlu	67161		fulltext		Cornell University Press	monograph	2013	2019						F	
Hemispheric Imaginations	9781611689914	9781512600766							https://muse.jhu.edu/book/67162	Breinig	67162		fulltext		Dartmouth College Press	monograph	2016	2019						F	
