publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Texas National Security Review	2576-1021	2576-1153	2025	8	2	2025	8	3	https://muse.jhu.edu/journal/900		1542		fulltext	Open Access	University of Texas Press	serial								F	223594733
International Perspectives on Military Education	2998-372X	2998-3738	2024	1	1				https://muse.jhu.edu/journal/895		1537		fulltext	Open Access	Marine Corps University Press	serial								F	282048863
Rapa Nui Journal	1040-1385	2576-5469	2015-05-01	29	1				https://muse.jhu.edu/journal/732		1349		fulltext	Open Access	University of Hawai'i Press	serial								F	224061941
Sungkyun Journal of East Asian Studies	1598-2661	2586-0380	2017-04-01	17	1				https://muse.jhu.edu/journal/717		1334		fulltext	Open Access	Duke University Press	serial								F	204160944
Partial Answers: Journal of Literature and the History of Ideas	1565-3668	1936-9247	2025	23	1				https://muse.jhu.edu/journal/376		962		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	145456439
Marine Corps History	2381-375X	2381-3768	2019-12-01	5	2				https://muse.jhu.edu/journal/798		1426		fulltext	Open Access	Marine Corps University Press	serial								F	199150915
Journal of Indian Ocean World Studies		2561-3111	2024	8	1				https://muse.jhu.edu/journal/880		1521		fulltext	Open Access	Johns Hopkins University Press	serial								F	219528616
Reviews in American History	0048-7511	1080-6628	1995	23	1	2024	52	3	https://muse.jhu.edu/journal/168		724		fulltext		Johns Hopkins University Press	serial								P	040629104
Expeditions with MCUP		2688-5395	2019	2019	1				https://muse.jhu.edu/journal/796		1427		fulltext	Open Access	Marine Corps University Press	serial								F	243400632
Visual Arts Research	0736-0770	2151-8009	2025-06-01	51	1				https://muse.jhu.edu/journal/481		1076		fulltext	Hybrid, limited open access	University of Illinois Press	serial								F	140597174
Getty Research Journal	1944-8740	2329-1249	2025	20	1				https://muse.jhu.edu/journal/871		1505		fulltext	Open Access	Getty Publications	serial								F	170356566
Early American Studies: An Interdisciplinary Journal	1543-4273	1559-0895	2003	1	1	2024	22	4	https://muse.jhu.edu/journal/322		892		fulltext		University of Pennsylvania Press	serial								P	161243436
Cross-Currents: East Asian History and Culture Review	2158-9666	2158-9674	2012	1	1	2020	9	1	https://muse.jhu.edu/journal/514		1102		fulltext	Open Access	University of Hawai'i Press	serial								F	166352497
CrossCurrents	0011-1953	1939-3881	2008	58	1	2024	74	3	https://muse.jhu.edu/journal/784		1411		fulltext		The University of North Carolina Press	serial								P	11835390X
Diacritics	0300-7162	1080-6539	2023	51	4				https://muse.jhu.edu/journal/46		580		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	058046429
The Medieval Globe	2377-3561	2377-3553	2015	1	1	2018	4	2	https://muse.jhu.edu/journal/749		1372		fulltext	Hybrid, limited open access	Arc Humanities Press	serial								F	198124228
Journal of Advanced Military Studies	2770-2596	2770-260X	2020	11	1				https://muse.jhu.edu/journal/797		1425		fulltext	Open Access	Marine Corps University Press	serial								F	263426963
Victorian Poetry	0042-5206	1530-7190	2000	38	1	2023	61	4	https://muse.jhu.edu/journal/204		766		fulltext		Johns Hopkins University Press	serial								P	058400605
American Religion	2643-9255	2643-9247	2019-09-01	1	1				https://muse.jhu.edu/journal/825		1455		fulltext	Open Access	Indiana University Press	serial								F	244188696
Advertising & Society Review		1534-7311	2000	1	1	2017	17	3	https://muse.jhu.edu/journal/18		554		fulltext		Advertising Educational Foundation	serial								P	058847774
Women in German Yearbook: Feminist Studies in German Literature & Culture	1058-7446	1940-512X	1985	1	1	2017	33		https://muse.jhu.edu/journal/403		994		fulltext		University of Nebraska Press	serial								P	131780603
Western American Literature	0043-3462	1948-7142	1966	1	1	2024	59	3	https://muse.jhu.edu/journal/418		1011		fulltext		University of Nebraska Press	serial								P	140142223
Ch'ing-shih wen-t'i	0577-9235	1086-3257	1965	1	1	1984	5	2	https://muse.jhu.edu/journal/114		1132		fulltext		Johns Hopkins University Press	serial								P	040629511
Southeast of Now: Directions in Contemporary and Modern Art in Asia	2424-9947	2425-0147	2017-03-01	1	1				https://muse.jhu.edu/journal/716		1333		fulltext	Open Access	NUS Press Pte Ltd	serial								F	204062942
Manuscript Studies: A Journal of the Schoenberg Institute for Manuscript Studies	2381-5329	2381-5329	2016-03-01	1	1				https://muse.jhu.edu/journal/698		1312		fulltext	Open Access	University of Pennsylvania Press	serial								F	197212743
Journal of Appalachian Health		2641-7804	2019	1	1	2021	3	4	https://muse.jhu.edu/journal/748		1371		fulltext	Open Access	The University Press of Kentucky	serial								F	237358980
Information & Culture	2164-8034	2166-3033	2012	47	1	2024	59	3	https://muse.jhu.edu/journal/111		1393		fulltext		University of Texas Press	serial							645	P	162247451
NWSA Journal	1040-0656	1527-1889	1999	11	2	2009	21	3	https://muse.jhu.edu/journal/146		696		fulltext		Johns Hopkins University Press	serial								P	045015236
Canadian Journal of Information and Library Science	1195-096X	1920-7239	2010	34	1	2021	43	3	https://muse.jhu.edu/journal/497		1083		fulltext	Open Access	University of Toronto Press	serial								F	171502191
New Hibernia Review	1092-3977	1534-5815	2024-09-01	28	3				https://muse.jhu.edu/journal/141		685		fulltext	Subscribe to Open	Center for Irish Studies at the University of St. Thomas	serial								F	058847472
Nouvelles Études Francophones	1552-3152	2156-9428	2024	39	2				https://muse.jhu.edu/journal/502		1090		fulltext	Subscribe to Open	University of Nebraska Press	serial								F	166195731
Gendered Perspectives on International Development	1947-4768	1947-4776	2021	1	1				https://muse.jhu.edu/journal/782		1409		fulltext	Open Access	Michigan State University Press	serial								F	143742647
Journal of the History of Philosophy	0022-5053	1538-4586	1963	1	1	2024	62	4	https://muse.jhu.edu/journal/76		612		fulltext		Johns Hopkins University Press	serial								P	076867986
Libraries & the Cultural Record	1932-4855	1932-9555	2006	41	3	2011	46	4	https://muse.jhu.edu/journal/111		645		fulltext		University of Texas Press	serial							646	P	133821285
Intertexts	1092-0625	2156-5465	1997	1	1	2023	27	2	https://muse.jhu.edu/journal/428		1020		fulltext		University of Nebraska Press	serial								P	176273298
Feminist Formations	2151-7363	2151-7371	2024-12-01	36	3				https://muse.jhu.edu/journal/146		695		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	148311083
SAIS Review	0036-0775	1088-3142	1981	1	1	2003	23	2	https://muse.jhu.edu/journal/174		730		fulltext		Johns Hopkins University Press	serial								P	040629732
Studies in Romanticism	0039-3762	2330-118X	2024-12-01	63	4				https://muse.jhu.edu/journal/754		1377		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	17106240X
RSF: The Russell Sage Foundation Journal of the Social Sciences	2377-8253	2377-8261	2016-04-01	2	1				https://muse.jhu.edu/journal/693		1306		fulltext	Open Access	Russell Sage Foundation	serial								F	197212735
The Dial: A Journal of the Ralph Waldo Emerson Society		3065-5447	2024-09-01	1	1				https://muse.jhu.edu/journal/881		1522		fulltext	Open Access	Ralph Waldo Emerson Society	serial								F	282623051
ELT: English Fiction in Transition	0364-3549	1559-2715	1957	1	1	1962	5	5	https://muse.jhu.edu/journal/361		1503		fulltext	Open Access	ELT Press	serial								F	112783864
Arizona Quarterly: A Journal of American Literature, Culture, and Theory	0004-1610	1558-9595	1988	44	3	2024	80	4	https://muse.jhu.edu/journal/311		877		fulltext		Johns Hopkins University Press	serial								P	12773709X
Historical Geography	1091-6458	2331-7523	2021	49	1				https://muse.jhu.edu/journal/738		1357		fulltext		University of Nebraska Press	serial								P	174860358
ASAP/Journal	2381-4705	2381-4721	2024-09-01	9	3				https://muse.jhu.edu/journal/684		1296		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	199309434
Journal of Colonialism and Colonial History		1532-5768	2025-03-01	26	1				https://muse.jhu.edu/journal/29		565		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	058363262
Legacy: A Journal of American Women Writers	0748-4321	1534-0643	2024	41	2				https://muse.jhu.edu/journal/115		652		fulltext	Subscribe to Open	University of Nebraska Press	serial								F	076863832
Theory & Event		1092-311X	1997	1	1	2025	28	1	https://muse.jhu.edu/journal/191		750		fulltext		Johns Hopkins University Press	serial								P	040404498
Great Plains Quarterly	0275-7664	2333-5092	2014	34	1	2024	44	1	https://muse.jhu.edu/journal/627		1233		fulltext		University of Nebraska Press	serial								P	176278974
Journal of Human Resources	0022-166X	1548-8004	2008	43	1	2024	59	6	https://muse.jhu.edu/journal/556		1153		fulltext		University of Wisconsin Press	serial								P	083137084
Luso-Brazilian Review	0024-7413	1548-9957	2024	61	2				https://muse.jhu.edu/journal/273		839		fulltext	Subscribe to Open	University of Wisconsin Press	serial								F	083137289
German Yearbook of Contemporary History	2509-744X	2509-7458	2016	1	1	2019	4	1	https://muse.jhu.edu/journal/840		1470		fulltext	Hybrid, limited open access	University of Nebraska Press	serial								F	253697069
L'Esprit Créateur	0014-0767	1931-0234	2024-12-01	64	4				https://muse.jhu.edu/journal/333		907		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	143742256
Advertising & Society Quarterly		2475-1790	2017	18	1	2024	25	3	https://muse.jhu.edu/journal/18		1331		fulltext		Advertising Educational Foundation	serial							554	P	225499010
ELH	0013-8304	1080-6547	1993	60	4	2024	91	4	https://muse.jhu.edu/journal/58		593		fulltext		Johns Hopkins University Press	serial								P	040629023
MLN	0026-7910	1080-6598	1993	108	4	2024	139	3	https://muse.jhu.edu/journal/128		667		fulltext		Johns Hopkins University Press	serial								P	040629074
Mechademia	1934-2489	2152-6648	2006	1	1	2024	17	1	https://muse.jhu.edu/journal/461		1057		fulltext		University of Minnesota Press	serial								P	147873002
Southern California Quarterly	0038-3929	2162-8637	2019	101	1	2023	105	4	https://muse.jhu.edu/journal/849		1478		fulltext		Historical Society of Southern California	serial								P	163330603
Acta Koreana	1520-7412	2733-5348	1998	1	1	2016	19	2	https://muse.jhu.edu/journal/772		1398		fulltext		Keimyung University, Academia Koreana	serial								P	245117903
The Review of Higher Education	0162-5748	1090-7009	1977	1	1	2025	48	2	https://muse.jhu.edu/journal/172		728		fulltext		Johns Hopkins University Press	serial								P	058047344
Journal of Austrian Studies	2165-669X	2327-1809	2024-09-01	57	3				https://muse.jhu.edu/journal/599		1202		fulltext	Subscribe to Open	University of Nebraska Press	serial								F	169702324
Foucault Studies		1832-5203	2021-12-01	31	1				https://muse.jhu.edu/journal/891		1533		fulltext	Open Access	University of Pennsylvania Press	serial								F	090151062
Contemporary Southeast Asia: A Journal of International and Strategic Affairs	0129-797X	1793-284X	2024-08-01	46	2				https://muse.jhu.edu/journal/348		925		fulltext		ISEAS–Yusof Ishak Institute	serial								P	121318044
Shofar: An Interdisciplinary Journal of Jewish Studies	0882-8539	1534-5165	2024	42	3				https://muse.jhu.edu/journal/181		738		fulltext	Subscribe to Open	Purdue University Press	serial								F	204030439
China Review	1680-2012	1015-6607	2013	13	1	2024	24	4	https://muse.jhu.edu/journal/621		1224		fulltext		The Chinese University of Hong Kong Press	serial								P	
Late Imperial China	0884-3236	1086-3257	1985	6	1	2024	45	2	https://muse.jhu.edu/journal/114		651		fulltext		Johns Hopkins University Press	serial							1132	P	040629511
Feminist German Studies	2578-5206	2578-5192	2018	34		2024	40	1	https://muse.jhu.edu/journal/403		1366		fulltext		University of Nebraska Press	serial							994	P	238562484
Wallace Stevens Journal	0148-7132	2160-0570	2025-03-01	49	1				https://muse.jhu.edu/journal/528		1119		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	157203433
Studies in Latin American Popular Culture	0730-9139	2157-2941	2025	43	1				https://muse.jhu.edu/journal/506		1094		fulltext	Subscribe to Open	University of Texas Press	serial								F	147876060
Nuevos Horizontes		3065-4777	2024-09-01	1	1				https://muse.jhu.edu/journal/877		1518		fulltext	Open Access	Universidad de Puerto Rico-Mayagüez, Departamento de Humanidades	serial								F	282623043
American Journal of Philology	0002-9475	1086-3168	1996	117	1	2024	145	3	https://muse.jhu.edu/journal/6		542		fulltext		Johns Hopkins University Press	serial								P	058046526
Storyworlds: A Journal of Narrative Studies	1946-2204	2156-7204	2009	1	1	2021	13	2	https://muse.jhu.edu/journal/505		1092		fulltext		University of Nebraska Press	serial								P	161413706
Levinas Studies	1554-7000	2153-8433	2011	6	1	2022	16	1	https://muse.jhu.edu/journal/535		1126		fulltext		Philosophy Documentation Center	serial								P	143850008
Cinema Journal	0009-7101	1527-2087	1999	39	1	2018	57	4	https://muse.jhu.edu/journal/31		566		fulltext		Michigan Publishing	serial								P	045015422
Tulsa Studies in Women's Literature	0732-7730	1936-1645	2024-09-01	43	2				https://muse.jhu.edu/journal/373		957		fulltext	Subscribe to Open	The University of Tulsa	serial								F	121860523
The Latin Americanist	1557-2021	1557-203X	2025-03-01	69	1				https://muse.jhu.edu/journal/737		1356		fulltext	Subscribe to Open	The University of North Carolina Press	serial								F	121551938
Postmodern Culture		1053-1920	2023-09-01	34	1				https://muse.jhu.edu/journal/160		713		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	058045880
China Review International	1069-5834	1527-9367	1994	1	1	2020	27	3	https://muse.jhu.edu/journal/39		574		fulltext		University of Hawai'i Press	serial								P	048904287
The Lion and the Unicorn	0147-2593	1080-6563	2024	48	1				https://muse.jhu.edu/journal/201		763		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	04062904X
Great Plains Research	1052-5165	2334-2463	2014	24	1	2024	34	1	https://muse.jhu.edu/journal/628		1234		fulltext		University of Nebraska Press	serial								P	182013316
MFS Modern Fiction Studies	0026-7724	1080-658X	2024-12-01	70	4				https://muse.jhu.edu/journal/125		664		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	040629066
American Studies	0026-3079	2153-6856	2024-09-01	63	3				https://muse.jhu.edu/journal/460		1056		fulltext	Subscribe to Open	Mid-American Studies Association	serial								F	165470208
Journal of Disaster Studies		2834-457X	2024	1	1				https://muse.jhu.edu/journal/886		1528		fulltext	Open Access	University of Pennsylvania Press	serial								F	281553106
Current Issues in Education	2472-5935	2473-4993	1976	1	1	1994	11	1	https://muse.jhu.edu/journal/323		1192		fulltext		Purdue University Press	serial								P	195208900
Mashriq & Mahjar: Journal of Middle East and North African Migration Studies		2169-4435	2013	1	1				https://muse.jhu.edu/journal/785		1412		fulltext	Open Access	Moise A. Khayrallah Center for Lebanese Diaspora Studies	serial								F	171058429
Spiritus: A Journal of Christian Spirituality	1533-1709	1535-3117	2025-03-01	25	1				https://muse.jhu.edu/journal/176		732		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	154002895
portal: Libraries and the Academy	1531-2542	1530-7131	2001	1	1	2024	24	4	https://muse.jhu.edu/journal/159		711		fulltext		Johns Hopkins University Press	serial								P	076862550
Narrative Inquiry in Bioethics	2157-1732	2157-1740	2011	1	1	2024	14	3	https://muse.jhu.edu/journal/521		1111		fulltext		Johns Hopkins University Press	serial								P	167085727
The Hopkins Review	1939-6589	1939-9774	2025	18	1				https://muse.jhu.edu/journal/398		989		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	128400773
The Missouri Review	0191-1961	1548-9930	1980	4	1	2024	47	4	https://muse.jhu.edu/journal/241		805		fulltext		University of Missouri	serial								P	223232971
Music and the Moving Image	2167-8464	1940-7610	2015	8	1	2024	17	3	https://muse.jhu.edu/journal/657		1267		fulltext		University of Illinois Press	serial								P	147870607
Modernism/modernity	1071-6068	1080-6601	2013	20	3	2013	20	3	https://muse.jhu.edu/journal/131		673		fulltext	Hybrid, limited open access	Johns Hopkins University Press	serial								F	040629082
Digital Philology: A Journal of Medieval Cultures	2162-9544	2162-9552	2012	1	1	2024	13	2	https://muse.jhu.edu/journal/550		1148		fulltext		Johns Hopkins University Press	serial								P	167979833
Frontiers: A Journal of Women Studies	0160-9009	1536-0334	2024	45	3				https://muse.jhu.edu/journal/64		599		fulltext	Subscribe to Open	University of Nebraska Press	serial								F	104868139
Lutheran Quarterly	0024-7499	2470-5616	2025-03-01	39	1				https://muse.jhu.edu/journal/691		1305		fulltext	Subscribe to Open	Johns Hopkins University Press	serial								F	191530735
