publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status		coverage_notes
Twentieth-Century China	1521-5385	1940-5065	2007-01-01	33	1	2010-04-30	35	2	http://muse.jhu.edu/journal/390		1053		fulltext	No longer contributing to Project MUSE		serial										1521-5385	1940-5065					Current		
American Literary Scholarship	0065-9142	1527-2125	1998-01-01						http://muse.jhu.edu/journal/9		1087		fulltext			serial										0065-9142	1527-2125					Current		
American Literature	0002-9831	1527-2117	1999-01-01	71	3	2004-12-31	76	4	http://muse.jhu.edu/journal/7		1088		fulltext	No longer contributing to Project MUSE		serial										0002-9831	1527-2117					Current		
American Speech	0003-1283	1527-2133	2000-01-01	75	1	2004-12-31	79	4	http://muse.jhu.edu/journal/16		1089		fulltext	No longer contributing to Project MUSE		serial										0003-1283	1527-2133					Current		
boundary 2	0190-3659	1527-2141	1999-01-01	26	3	2004-12-31	31	3	http://muse.jhu.edu/journal/21		1090		fulltext	No longer contributing to Project MUSE		serial										0190-3659	1527-2141					Current		
Camera Obscura	0270-5346	1529-1510	2000-01-01	15	1	2004-12-31	19	3	http://muse.jhu.edu/journal/35		1091		fulltext	No longer contributing to Project MUSE		serial										0270-5346	1529-1510					Current		
Common Knowledge	0961-754X	1538-4578	2002-01-01	8	1				http://muse.jhu.edu/journal/32		1092		fulltext			serial										0961-754X	1538-4578					Current		
Comparative Studies of South Asia, Africa and the Middle East	1089-201X	1548-226X	2000-01-01	20	01-Feb				http://muse.jhu.edu/journal/256		1094		fulltext			serial										1089-201X	1548-226X					Current		
Cultural Politics	1743-2197	1751-7435	2012-01-01	8	1				http://muse.jhu.edu/journal/548		1095		fulltext			serial										1743-2197	1751-7435					Current		
differences: A Journal of Feminist Cultural Studies	1040-7391	1527-1986	1998-01-01	10	3	2004-12-31	15	3	http://muse.jhu.edu/journal/47		1096		fulltext	No longer contributing to Project MUSE		serial										1040-7391	1527-1986					Current		
EASTS: East Asian Science, Technology and Society: An International Journal	1875-2160	1875-2152	2007-01-01	1	1				http://muse.jhu.edu/journal/543		1097		fulltext			serial										1875-2160	1875-2152					Current		
Eighteenth-Century Life	0098-2601	1086-3192	1996-01-01	20	1				http://muse.jhu.edu/journal/53		1098		fulltext			serial										0098-2601	1086-3192					Current		
Ethnohistory	0014-1801	1527-5477	1999-01-01	46	4	2004-12-31	51	4	http://muse.jhu.edu/journal/61		1099		fulltext	No longer contributing to Project MUSE		serial										0014-1801	1527-5477					Current		
French Historical Studies	0016-1071	1527-5493	1999-01-01	22	4	2004-12-31	27	4	http://muse.jhu.edu/journal/62		1100		fulltext	No longer contributing to Project MUSE		serial										0016-1071	1527-5493					Current		
GLQ: A Journal of Lesbian and Gay Studies	1064-2684	1527-9375	1999-01-01	5	3				http://muse.jhu.edu/journal/67		1102		fulltext			serial										1064-2684	1527-9375					Current		
Hispanic American Historical Review	0018-2168	1527-1900	1999-08-01	79	3	2004-11-30	84	4	http://muse.jhu.edu/journal/70		1103		fulltext	No longer contributing to Project MUSE		serial										0018-2168	1527-1900					Current		
History of Political Economy	0018-2702	1527-1919	2000-01-01	32	1	2004-12-31	36	4	http://muse.jhu.edu/journal/75		1104		fulltext	No longer contributing to Project MUSE		serial										0018-2702	1527-1919					Current		
Journal of Health Politics, Policy and Law	0361-6878	1527-1927	2000-01-01	25	1	2004-12-31	29	6	http://muse.jhu.edu/journal/93		1105		fulltext	No longer contributing to Project MUSE		serial										0361-6878	1527-1927					Current		
