publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Environmental Evasion	9781438432830										9781438432830				
Reading Fiction in Antebellum America	9780801899331										9780801899331				
The Exceptionalist State and the State of Exception	9780801899348										9780801899348				
A Familiar Strangeness	9780820337418										9780820337418				
American Gothic	9781587293023										9781587293023				
Behind the Lines	9781587297380										9781587297380				
Hawthorne in His Own Time	9781587297113										9781587297113				
Lost in the Customhouse	9781587291357										9781587291357				
Rooted	9781587296734										9781587296734				
The Novel and the American Left	9781587294754										9781587294754				
Walt Whitman and the World	9781587290046										9781587290046				
Bad Land Pastoralism in Great Plains Fiction	9781587299391										9781587299391				
Kin of Another Kind	9780472027910										9780472027910				
Herman Melville’s Whaling Years	9780826591449										9780826591449				
Peabody College	9780826591685										9780826591685				
The Anxiety of Obsolescence	9780826592101										9780826592101				
Representing Segregation	9781438430348										9781438430348				
Writing the Black Revolutionary Diva	9780253004703										9780253004703				
The Ethics and Poetics of Alterity in Asian American Poetry	9781587296796										9781587296796				
Brown Gumshoes	9780292796782										9780292796782				
Your Brain on Latino Comics	9780292795211										9780292795211				
With Her Machete in Her Hand	9780292796256										9780292796256				
New Francophone African and Caribbean Theatres	9780253004581										9780253004581				
Poetry's Afterlife	9780472026708										9780472026708				
Gertrude Stein and the Essence of What Happens	9780826591845										9780826591845				
The House That Jack Built	9780819569622										9780819569622				
Secret Histories	9780801899232										9780801899232				
Margaret Fuller, Wandering Pilgrim	9780820336596										9780820336596				
The Inverted Conquest	9780826516794										9780826516794				
Red, Black, and Jew	9780292799264										9780292799264				
The End of the Holocaust	9780253000927										9780253000927				
Can Literature Promote Justice?	9780826592125										9780826592125				
Sacred Fictions	9780812201673										9780812201673				
Native Authenticity	9781438431697										9781438431697				
Soft Canons	9781587292873										9781587292873				
Women, Celebrity, and Literary Culture between the Wars	9780292794870										9780292794870				
Whitewashing Uncle Tom’s Cabin	9780826591890										9780826591890				
Intimate with Walt	9781587293382										9781587293382				
Poe in His Own Time	9781587299322										9781587299322				
The Evolution of Walt Whitman	9781609380335										9781609380335				
Chasing the White Whale	9781587299407										9781587299407				
From Trickster to Badman	9780812203110										9780812203110				
Rhythms of the Afro-Atlantic World	9780472027477										9780472027477				
Some Liked It Hot	9780819569677										9780819569677				
Ogimaag	9780803234512										9780803234512				
The Allen Site	9780826342973										9780826342973				
The Poor Indians	9780812203080										9780812203080				
Red Matters	9780812200683										9780812200683				
Poison Arrows	9780292795389										9780292795389				
Education beyond the Mesas	9780803234444										9780803234444				
Journeys West	9780803228276										9780803228276				
Visualizing the Sacred	9780292784659										9780292784659				
Dance of Person and Place, The	9781438431345										9781438431345				
Liberalism without Illusions	9781602584969										9781602584969				
China in 2020	9780815704799										9780815704799				
Counsel for the Situation	9780815704942										9780815704942				
Detention and Denial	9780815704928										9780815704928				
The 2009 Brown Center Report on American Education	9780815722359										9780815722359				
Is This Any Way to Run a Democratic Government?	9781589013490										9781589013490				
Ten Thousand Democracies	9781589014206										9781589014206				
Branching Out, Digging In	9781589012806										9781589012806				
The Greening of the U.S. Military	9781589014466										9781589014466				
Custodians of Place	9781589015906										9781589015906				
Implementing Innovation	9781589016705										9781589016705				
Out and Running	9781589016149										9781589016149				
Nassau Plantation	9781574413434										9781574413434				
Invasion and Transformation	9781607320012										9781607320012				
Territories of History	9780271022093										9780271022093				
Other Side of Gridlock, The	9781438430522										9781438430522				
Globalizing Justice	9781438430713										9781438430713				
Interest Groups and Campaign Finance Reform in the United States and Canada	9780472026753										9780472026753				
Three's A Crowd	9780472026159										9780472026159				
Legislative Entrepreneurship in the U.S. House of Representatives	9780472022489										9780472022489				
Everyday Politics	9780812204216										9780812204216				
A Voice for Human Rights	9780812203332										9780812203332				
Ethnic Cues	9780472021857										9780472021857				
Engaging Young People in Civic Life	9780826516527										9780826516527				
The Games of July	9780472023707										9780472023707				
The Way We Vote	9780826516558										9780826516558				
Do Good Fences Make Good Neighbors?	9781589017276										9781589017276				
Understanding Torture	9780472021789										9780472021789				
Politics and the Intellectual	9781612490151										9781612490151				
The Political Centrist	9780826516701										9780826516701				
When Protest Makes Policy	9780472026371										9780472026371				
Plato's Political Philosophy	9780801899188										9780801899188				
Crafting State-Nations	9780801899423										9780801899423				
Religious Politics and Secular States	9780801899201										9780801899201				
The Limits of U.S. Military Capability	9780801897504										9780801897504				
You, the People	9781603444873										9781603444873				
Stepping Forth into the World	9789888053445										9789888053445				
Population and Society in Contemporary Tibet	9789888053766										9789888053766				
Cantonese Society in Hong Kong and Singapore	9789888053650										9789888053650				
Religious Expression and the American Constitution	9780870139239										9780870139239				
From Black Power to Black Studies	9780801899713										9780801899713				
Tribe, Race, History	9780801899683										9780801899683				
Redeeming Mulatto	9781602584822										9781602584822				
Latina/o Social Ethics	9781602584846										9781602584846				
Aldersgate and Athens	9781602584938										9781602584938				
Politics in the Parish	9781589013896										9781589013896				
Justice and Rights	9781589017221										9781589017221				
