publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
a/b: Auto/Biography Studies	0898-9575	2151-7290									ab_autobiography_studies				
Ab Imperio	2166-4072	2164-9731									ab_imperio				
Advertising & Society Review		1534-7311									advertising_and_society_review				
Africa: The Journal of the International African Institute	0001-9720	1750-0184									africa_the_journal_of_the_international_african_institute				
Africa Today	0001-9887	1527-1978									africa_today				
African American Review	1062-4783	1945-6182									african_american_review				
African Conflict & Peacebuilding Review	2156-695X	2156-7263									african_conflict_and_peacebuilding_review				
African Economic History	0145-2258	2163-9108									african_economic_history				
African Studies Review	0002-0206	1555-2462									african_studies_review				
Alabama Review	0002-4341	2166-9961									alabama_review				
Aleph: Historical Studies in Science and Judaism	1565-1525	1565-5423									aleph_historical_studies_in_science_and_judaism				
American Annals of the Deaf	0002-726X	1543-0375									american_annals_of_the_deaf				
American Book Review	0149-9408	2153-4578									american_book_review				
American Catholic Studies	2161-8542	2161-8534									american_catholic_studies				
American Imago	0065-860X	1085-7931									american_imago				
The American Indian Quarterly	0095-182X	1534-1828									american_indian_quarterly				
American Jewish History	0164-0178	1086-3141									american_jewish_history				
The American Journal of Bioethics	1526-5161	1536-0075									american_journal_of_bioethics				
American Journal of Mathematics	0002-9327	1080-6377									american_journal_of_mathematics				
American Journal of Philology	0002-9475	1086-3168									american_journal_of_philology				
American Journal of Theology & Philosophy	0194-3448	2156-4795									american_journal_of_theology_and_philosophy				
American Literary History	0896-7148	1468-4365									american_literary_history				
American Literary Realism	1540-3084	1940-5103									american_literary_realism				
American Literary Scholarship	0065-9142	1527-2125									american_literary_scholarship				
American Literature	0002-9831	1527-2117									american_literature				
American Music	0734-4392	1945-2349									american_music				
American Periodicals: A Journal of History, Criticism, and Bibliography	1054-7479	1548-4238									american_periodicals				
American Quarterly	0003-0678	1080-6490									american_quarterly				
American Speech	0003-1283	1527-2133									american_speech				
American Studies	0026-3079	2153-6856									american_studies				
The Americas	0003-1615	1533-6247									the_americas				
An Sionnach: A Journal of Literature, Culture, and the Arts	1554-8953	1944-6535									an_sionnach				
Anales Galdosianos	0569-9924	2161-301X									anales_galdosianos				
Anthropological Linguistics	0003-5483	1944-6527									anthropological_linguistics				
Anthropological Quarterly	0003-5491	1534-1518									anthropological_quarterly				
Appalachian Heritage	0363-2318	1940-5081									appalachian_heritage				
Archives of Asian Art	0066-6637	1944-6497									archives_of_asian_art				
Arctic Anthropology	0066-6939	1933-8139									arctic_anthropology				
Arethusa	0004-0975	1080-6504									arethusa				
Arizona Journal of Hispanic Cultural Studies	1096-2492	1934-9009									arizona_journal_of_hispanic_cultural_studies				
Arizona Quarterly: A Journal of American Literature, Culture, and Theory	0004-1610	1558-9595									arizona_quarterly_a_journal_of_american_literature_culture_and_theory				
Arthuriana	1078-6279	1934-1539									arthuriana				
Asia Policy	1559-0968	1559-2960									asia_policy				
Asian Bioethics Review	1793-8759	1793-9453									asian_bioethics_review				
Asian Music	0044-9202	1553-5630									asian_music				
Asian Perspectives	0066-8435	1535-8283									asian_perspectives				
Asian Theatre Journal	0742-5457	1527-2109									asian_theatre_journal				
AUDEM: The International Journal of Higher Education and Democracy	2157-8583	2157-8591									audem				
Azalea: Journal of Korean Literature & Culture	1939-6120	1944-6500									azalea				
Biography	0162-4962	1529-1456									biography				
Black Camera	1536-3155	1947-4237									black_camera				
Black Music Research Journal	0276-3605	1946-1615									black_music_research_journal				
Black Women, Gender & Families	1935-2743	1944-6462									black_women_gender_and_families				
Book History	1098-7371	1529-1499									book_history				
Bookbird: A Journal of International Children's Literature	0006-7377	1918-6983									bookbird				
boundary 2	0190-3659	1527-2141									boundary				
Bridges: A Jewish Feminist Journal	1046-8358	1558-9552									bridges_a_jewish_feminists_journal				
Brookings Papers on Economic Activity	0007-2303	1533-4465									brookings_papers_on_economic_activity				
Brookings Papers on Education Policy	1096-2719	1533-4457									brookings_papers_on_education_policy				
Brookings Trade Forum	1520-5479	1534-0635									brookings_trade_forum				
