publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Courrier Laval			2004			2015			http://nouveau.europresse.com		AA		fulltext			serial								P
Ambiance (QC)			2016						http://nouveau.europresse.com		AAM		fulltext			serial								P
Annual Review Social Development in Pakistan			2010			2013			http://nouveau.europresse.com		AANR		fulltext			serial								P
RendezVous (QC)			2015						http://nouveau.europresse.com		AAR		fulltext			serial								P
Azer News			2009						http://nouveau.europresse.com		AAZE		fulltext			serial								P
Azeri-Press News Agency (APA)			2009						http://nouveau.europresse.com		AAZI		fulltext			serial								P
Courrier Laval édition bilingue			2004			2009			http://nouveau.europresse.com		AB		fulltext			serial								P
The Balochistan Times			2009						http://nouveau.europresse.com		ABAL		fulltext			serial								P
BASA-Press			2011			2013			http://nouveau.europresse.com		ABAS		fulltext			serial								P
The 40-Mile County Commentator (blogs)			2012			2016			http://nouveau.europresse.com		ABB		fulltext			serial								P
The Edson Leader (AB)			2008						http://nouveau.europresse.com		ABE		fulltext			serial								P
The Hinton Parklander (AB)			2012						http://nouveau.europresse.com		ABH		fulltext			serial								P
The 40-Mile County Commentator (web site)			2011			2016			http://nouveau.europresse.com		ABI		fulltext			serial								P
Biomedica Research Journal			2011						http://nouveau.europresse.com		ABIO		fulltext			serial								P
Business Review			2011						http://nouveau.europresse.com		ABUS		fulltext			serial								P
Corriere Italiano (Montreal)			2014						http://nouveau.europresse.com		AC		fulltext			serial								P
Cambodian Business Review			2012						http://nouveau.europresse.com		ACAM		fulltext			serial								P
CANA News			2011						http://nouveau.europresse.com		ACAN		fulltext			serial								P
Central Asia			2009			2011			http://nouveau.europresse.com		ACEN		fulltext			serial								P
Amherst News (NS)			2004						http://nouveau.europresse.com		AD		fulltext			serial								P
Daily Balochistan Express			2009						http://nouveau.europresse.com		ADAB		fulltext			serial								P
Daily Messenger (Karachi, Pakistan)			2009						http://nouveau.europresse.com		ADAM		fulltext			serial								P
Dawn (Karachi, Pakistan)			2009						http://nouveau.europresse.com		ADAW		fulltext			serial								P
Defence Journal			2012						http://nouveau.europresse.com		ADEF		fulltext			serial								P
Democratic Voice of Burma			2009						http://nouveau.europresse.com		ADEM		fulltext			serial								P
The Dialogue			2010						http://nouveau.europresse.com		ADIA		fulltext			serial								P
The Diplomatic Insight			2012						http://nouveau.europresse.com		ADIP		fulltext			serial								P
La Nouvelle (Embrun)			2008			2012			http://nouveau.europresse.com		AE		fulltext			serial								P
Eastern Worker			2011						http://nouveau.europresse.com		AEAS		fulltext			serial								P
Energy Update			2012						http://nouveau.europresse.com		AENE		fulltext			serial								P
Engineering Review			2012						http://nouveau.europresse.com		AENG		fulltext			serial								P
Enterprise (Pakistan)			2011						http://nouveau.europresse.com		AENT		fulltext			serial								P
The Express Tribune (Pakistan)			2012						http://nouveau.europresse.com		AEXP		fulltext			serial								P
AFP Infos Françaises			2001						http://nouveau.europresse.com		AF		fulltext			serial								P
AFP doc			2008						http://nouveau.europresse.com		AFD		fulltext			serial								P
Flare			2012						http://nouveau.europresse.com		AFLA		fulltext			serial								P
The Frontier Post (Pakistan)			2012						http://nouveau.europresse.com		AFRP		fulltext			serial								P
The Frontier Star (Peshawar, Pakistan)			2009						http://nouveau.europresse.com		AFRS		fulltext			serial								P
L'Aurore boréale (Whitehorse, YK) (site web)			2011						http://nouveau.europresse.com		AFX		fulltext			serial								P
Le Courrier de la Nouvelle-Écosse (site web)			2011						http://nouveau.europresse.com		AFY		fulltext			serial								P
The Citizen-Record (NS)	1194-1022		2010						http://nouveau.europresse.com		AG		fulltext			serial								P
L'Avantage gaspésien			2012						http://nouveau.europresse.com		AGA		fulltext			serial								P
Geological Bulletin of the Punjab University			2009			2009			http://nouveau.europresse.com		AGEO		fulltext			serial								P
L'Avantage Votre journal			2012						http://nouveau.europresse.com		AGJ		fulltext			serial								P
Global Media Journal			2011						http://nouveau.europresse.com		AGLO		fulltext			serial								P
Gomal Journal of Medical Sciences			2011						http://nouveau.europresse.com		AGOJ		fulltext			serial								P
Gomal University Journal of Research			2011						http://nouveau.europresse.com		AGOM		fulltext			serial								P
Le Régional (Gaspésie)			2012			2014			http://nouveau.europresse.com		AGR		fulltext			serial								P
Courrier Laval du mercredi			2004						http://nouveau.europresse.com		AH		fulltext			serial								P
Hiba			2012						http://nouveau.europresse.com		AHIB		fulltext			serial								P
Hilal			2012						http://nouveau.europresse.com		AHIL		fulltext			serial								P
Hungarian Official News Digest			2009						http://nouveau.europresse.com		AHUN		fulltext			serial								P
AFP Infos Mondiales			2001						http://nouveau.europresse.com		AI		fulltext			serial								P
IJAR Accounting, Finance and Management Sciences			2011						http://nouveau.europresse.com		AIJA		fulltext			serial								P
IJAR Economics and Management Sciences			2012						http://nouveau.europresse.com		AIJE		fulltext			serial								P
IJAR Progressive Education and Development			2012						http://nouveau.europresse.com		AIJP		fulltext			serial								P
International Journal of Human Resource Studies			2012						http://nouveau.europresse.com		AINH		fulltext			serial								P
Insights			2009			2011			http://nouveau.europresse.com		AINI		fulltext			serial								P
Insurance Journal			2011						http://nouveau.europresse.com		AINJ		fulltext			serial								P
International Journal of Agriculture and Biology			2012						http://nouveau.europresse.com		AINK		fulltext			serial								P
International Journal of Learning and Development			2012						http://nouveau.europresse.com		AINL		fulltext			serial								P
Intl J. of Academic Research in Business			2011						http://nouveau.europresse.com		AINR		fulltext			serial								P
Intl Research Journal of Arts and Humanities			2010						http://nouveau.europresse.com		AINS		fulltext			serial								P
Iqbal Review			2009			2009			http://nouveau.europresse.com		AIQB		fulltext			serial								P
Islamic Studies			2010			2011			http://nouveau.europresse.com		AISL		fulltext			serial								P
Connexions affaires Lanaudière			2006			2006			http://nouveau.europresse.com		AJ		fulltext			serial								P
Journal of Agriculture and Social Sciences			2011			2013			http://nouveau.europresse.com		AJAG		fulltext			serial								P
The Journal of Animal and Plant Sciences			2011						http://nouveau.europresse.com		AJAN		fulltext			serial								P
Journal of Asian Civilizations			2010			2015			http://nouveau.europresse.com		AJAS		fulltext			serial								P
Journal of Basic and Applied Sciences			2011						http://nouveau.europresse.com		AJBA		fulltext			serial								P
Journal of Behavioral Sciences			2011						http://nouveau.europresse.com		AJBE		fulltext			serial								P
Journal of Business Strategies			2011						http://nouveau.europresse.com		AJBU		fulltext			serial								P
Journal of Educational Research			2011			2015			http://nouveau.europresse.com		AJED		fulltext			serial								P
Journal of European Studies			2012						http://nouveau.europresse.com		AJEU		fulltext			serial								P
Journal of Gender and Social Issues			2011						http://nouveau.europresse.com		AJGE		fulltext			serial								P
Journal of Himalayan Earth Sciences			2010						http://nouveau.europresse.com		AJHI		fulltext			serial								P
Journal of Humanities and Social Sciences			2010						http://nouveau.europresse.com		AJHU		fulltext			serial								P
Journal of Pakistan Association of Dermatologists			2011						http://nouveau.europresse.com		AJPA		fulltext			serial								P
Journal of Pakistan Medical Association			2011						http://nouveau.europresse.com		AJPM		fulltext			serial								P
Journal of Pakistan Vision			2011						http://nouveau.europresse.com		AJPN		fulltext			serial								P
Journal of Political Studies			2011						http://nouveau.europresse.com		AJPS		fulltext			serial								P
Journal of Postgraduate Medical Institute			2012						http://nouveau.europresse.com		AJPT		fulltext			serial								P
Journal of Research in Architecture and Planning			2011			2012			http://nouveau.europresse.com		AJRA		fulltext			serial								P
Journal of Science and Technology			2010			2010			http://nouveau.europresse.com		AJSC		fulltext			serial								P
Journal of Statistics			2010						http://nouveau.europresse.com		AJST		fulltext			serial								P
Journal of the Chemical Society of Pakistan			2012						http://nouveau.europresse.com		AJTC		fulltext			serial								P
Journal of the Pakistan Materials Society			2010			2010			http://nouveau.europresse.com		AJTP		fulltext			serial								P
Journal of the Research Society of Pakistan			2010			2016			http://nouveau.europresse.com		AJTR		fulltext			serial								P
Journal Le Courrier (Ste-Thérèse)			2004			2015			http://nouveau.europresse.com		AK		fulltext			serial								P
KASBIT Business Research Journal			2011						http://nouveau.europresse.com		AKAB		fulltext			serial								P
Kashmir Journal of Language Research			2010			2013			http://nouveau.europresse.com		AKAS		fulltext			serial								P
Khyber Medical University Journal			2011						http://nouveau.europresse.com		AKUS		fulltext			serial								P
Flambeau (Hochelaga)			2007			2008			http://nouveau.europresse.com		AL		fulltext			serial								P
LETA			2011						http://nouveau.europresse.com		ALET		fulltext			serial								P
The Lethbridge Herald (web site)			2011			2016			http://nouveau.europresse.com		ALH		fulltext			serial								P
Lithuanian News Agency ELTA			2011			2013			http://nouveau.europresse.com		ALIT		fulltext			serial								P
Le Matin DZ (site web)			2008						http://nouveau.europresse.com		ALM		fulltext			serial								P
CTV - Canada AM			2000			2016			http://nouveau.europresse.com		AM		fulltext			serial								P
Medical Channel			2011			2012			http://nouveau.europresse.com		AMED		fulltext			serial								P
Medicine Hat News (web site)			2011			2016			http://nouveau.europresse.com		AMH		fulltext			serial								P
Miadhu (Maldives)			2009						http://nouveau.europresse.com		AMIA		fulltext			serial								P
Mindanao Times			2011			2013			http://nouveau.europresse.com		AMIN		fulltext			serial								P
Mizzima News			2009						http://nouveau.europresse.com		AMIZ		fulltext			serial								P
Muscat Daily			2009						http://nouveau.europresse.com		AMUS		fulltext			serial								P
Acadie Nouvelle	0829-1667		1999						http://nouveau.europresse.com		AN		fulltext			serial								P
The Nation (Nigeria)			2013						http://nouveau.europresse.com		ANAG		fulltext			serial								P
The Nation (Pakistan)			2009						http://nouveau.europresse.com		ANAI		fulltext			serial								P
