publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Acta Pharmacologica Sinica	1671-4083	1745-7254	2005	26	1				http://www.nature.com/aps		aps		fulltext			serial								P
American Journal of Gastroenterology Supplements	1948-9498	1948-9501	2012	1	1				http://www.nature.com/ajgsup		ajgsup		fulltext			serial								P
Bone Marrow Transplantation	0268-3369	1476-5365	1997	19	1				http://www.nature.com/bmt		bmt		fulltext			serial								P
BoneKEy Reports		2047-6396	2012			2016	5		http://www.nature.com/bonekey/bonekeyreports/index.html		bonekeyreports		fulltext	Ceased:2016		serial								P
British Dental Journal	0007-0610	1476-5373	1970	128	1				http://www.nature.com/bdj		bdj		fulltext			serial								P
British Journal of Cancer	0007-0920	1532-1827	1947	1	1				http://www.nature.com/bjc		bjc		fulltext			serial								P
Cancer Gene Therapy	0929-1903	1476-5500	1999	6	1				http://www.nature.com/cgt		cgt		fulltext			serial								P
Cell Death and Differentiation	1350-9047	1476-5403	1997	4	1				http://www.nature.com/cdd		cdd		fulltext			serial								P
Cell Research	1001-0602	1748-7838	1990	1	1				http://www.nature.com/cr		cr		fulltext			serial								P
Cellular and Molecular Immunology	1672-7681	2042-0226	2008	5	1				http://www.nature.com/cmi		cmi		fulltext			serial								P
Clinical & Translational Immunology		2050-0068	2012	1					http://www.nature.com/cti		cti		fulltext	Open Access		serial								F
European Journal of Clinical Nutrition	0954-3007	1476-5640	1997	51	1				http://www.nature.com/ejcn		ejcn		fulltext			serial								P
European Journal of Human Genetics	1018-4813	1476-5438	1998	6	1				http://www.nature.com/ejhg		ejhg		fulltext			serial								P
Evidence-Based Dentistry	1462-0049	1476-5446	1998	1	1				http://www.nature.com/ebd		ebd		fulltext			serial								P
Eye	0950-222X	1476-5454	1987	1	1				http://www.nature.com/eye		eye		fulltext			serial								P
Gene Therapy	0969-7128	1476-5462	1997	4	1				http://www.nature.com/gt		gt		fulltext			serial								P
Genes and Immunity	1466-4879	1476-5470	1999	1	1				http://www.nature.com/gene		gene		fulltext			serial								P
Genetics in Medicine	1098-3600	1530-0366	1998	1	1				http://www.nature.com/gim		gim		fulltext			serial								P
Heredity	0018-067X	1365-2540	1947	1	1				http://www.nature.com/hdy		hdy		fulltext			serial								P
Hypertension Research	0916-9636	1348-4214	2005	28	1				http://www.nature.com/hr		hr		fulltext			serial								P
IBMS BoneKEy		1940-8692	2008			2016			http://www.nature.com/bonekey		bonekey		fulltext	Ceased: 2017		serial								P
Immunology & Cell Biology	0818-9641	1440-1711	1987	65	1	2017	95	10	http://www.nature.com/icb/index.html		icb		fulltext	Previously: The Australian journal of experimental biology and medical science. Transfer out (2018):Wiley		serial								P
International Journal of Impotence Research	0955-9930	1476-5489	1997	9	1				http://www.nature.com/ijir		ijir		fulltext			serial								P
International Journal of Obesity	0307-0565	1476-5497	1997	21	1				http://www.nature.com/ijo		ijo		fulltext			serial								P
International Journal of Obesity Supplements	2046-2166	2046-2174	2011	2011	1				http://www.nature.com/ijosup		ijosup		fulltext			serial								P
Journal of Exposure Science and Environmental Epidemiology	1559-0631	1559-064X	2006	16	1				http://www.nature.com/jes		jes		fulltext	Continues: Journal of Exposure Analysis and Environmental Epidemiology		serial								P
Journal of Human Genetics	1434-5161	1435-232X	1977	22	1				http://www.nature.com/jhg		jhg		fulltext			serial								P
Journal of Human Hypertension	0950-9240	1476-5527	1997	11	1				http://www.nature.com/jhh		jhh		fulltext			serial								P
Journal of Investigative Dermatology	0022-202X	1523-1747	1938	1	1	2015			http://www.nature.com/jid		jid		fulltext	transfer our (2016): Elsevier		serial								P
Journal of Investigative Dermatology Symposium Proceedings	1087-0024	1529-1774	1997	2	1	2015			http://www.nature.com/jidsp		jidsp		fulltext	transfer our (2016): Elsevier		serial								P
Journal of Perinatology	0743-8346	1476-5543	1999	19	1				http://www.nature.com/jp		jp		fulltext			serial								P
Kidney International	0085-2538	1523-1755	1972	1	1	2015			http://www.nature.com/ki		ki		fulltext	Transfer out (2016): Elsevier		serial								P
Kidney International Supplements	2157-1724	2157-1716	2011	1	1	2015			http://www.nature.com/kisup		kisup		fulltext	Transfer out (2016): Elsevier		serial								P
Laboratory Investigation	0023-6837	1530-0307	2000	80	1				http://www.nature.com/labinvest/index.html		labinvest		fulltext			serial								P
Leukemia	0887-6924	1476-5551	1997	11	1				http://www.nature.com/leu		leu		fulltext			serial								P
Leukemia Supplements	2044-5210	2044-5229	2012	1					http://www.nature.com/leusup		leusup		fulltext			serial								P
Modern Pathology	0893-3952	1530-0285	2000	13	1				http://www.nature.com/modpathol		modpathol		fulltext			serial								P
