publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Modern Pathology	0893-3952	1530-0285	2000-01-01	13	1	2022-12-01	35	12	https://www.nature.com/modpathol/		41379		fulltext	hybrid	Nature Publishing Group US	serial								P\r	15988697X
Journal of Human Hypertension	0950-9240	1476-5527	1997	11	1				https://www.nature.com/jhh/		41371		fulltext	hybrid	Nature Publishing Group UK	serial								P\r	068852797
Molecular Psychiatry	1359-4184	1476-5578	1997	2	1				https://www.nature.com/mp/		41380		fulltext	hybrid	Nature Publishing Group UK	serial								P\r	067781454
Heritage Science		2050-7445	2013-12-01	1	1	2024-12-01	12	1	https://heritagesciencejournal.springeropen.com/		2050-7445		fulltext	fully open access	Springer International Publishing	serial								F\r	174284896
Japanese journal of human genetics	0021-5074	1435-232X	1977-06-01	22	1	1997-12-01	42	4	https://www.nature.com/jhg/		0021-5074		fulltext	hybrid	Springer Nature Singapore	serial								P\r	044895518
Leukemia Supplements	2044-5210	2044-5229	2019-10-01	4	1	2019-10-01	4	1	https://www.nature.com/leusup/		41376		fulltext	hybrid	Nature Publishing Group UK	serial								P\r	163389772
Laboratory Investigation	0023-6837	1530-0307	2000-01-01	80	1	2022-12-01	102	12	https://www.nature.com/labinvest/		41374		fulltext	hybrid	Nature Publishing Group US	serial								P\r	115431829
International Journal of Obesity Supplements	2046-2166	2046-2174	2018-09-01	8	1	2020-07-01	10	1	https://www.nature.com/ijosup/		41367		fulltext	hybrid	Nature Publishing Group UK	serial								P\r	223274615
Journal of Perinatology	0743-8346	1476-5543	1999-02-01	19	1				https://www.nature.com/jp/		41372		fulltext	hybrid	Nature Publishing Group US	serial								P\r	068852819
Journal of Human Genetics	1434-5161	1435-232X	1998-02-01	43	1				https://www.nature.com/jhg/		10038		fulltext	hybrid	Springer Nature Singapore	serial							0021-5074	P\r	044895518
Spinal Cord	1362-4393	1476-5624	1963-05-01	1	1				https://www.nature.com/sc/		41393		fulltext	hybrid	Nature Publishing Group UK	serial							2058-1084	P\r	068852894
Oncogene	0950-9232	1476-5594	1997	14	1				https://www.nature.com/onc/		41388		fulltext	hybrid	Nature Publishing Group UK	serial								P\r	06885286X
Nature Reviews Immunology	1474-1733	1474-1741	2001-10-01	1	1				https://www.nature.com/nri/		41577		fulltext	subscription	Nature Publishing Group UK	serial								P\r	068852126
