publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Cell Death & Disease		2041-4889	2010	1	1				https://www.nature.com/cddis/		cddis		fulltext	Fully Open Access	Nature Publishing Group	serial								F	151981647
Eye Open		3059-3891	2025-12-01	1	1				https://www.nature.com/eyeopen/		eyeopen		fulltext	Fully Open Access	Nature Publishing Group	serial								F	286180790
npj Soft Matter		3059-3263	2025-12-01	1	1				https://www.nature.com/npjsoftmat/		npjsoftmat		fulltext	Fully Open Access	Nature Publishing Group	serial								F	291934609
npj Regenerative Medicine		2057-3995	2016-12-01	1	1				https://www.nature.com/npjregenmed		npjregenmed		fulltext	Fully Open Access	Nature Publishing Group	serial								F	197426735
npj Climate Action		2731-9814	2022-12-01	1	1				https://www.nature.com/npjclimataction/		npjclimataction		fulltext	Fully Open Access	Nature Publishing Group	serial								F	269306609
Nature Communications		2041-1723	2010-12-01	1	1				https://www.nature.com/naturecommunications		naturecommunications		fulltext	Fully Open Access	Nature Publishing Group	serial								F	145457443
npj Materials Sustainability		2948-1775	2023-12-01	1	1				https://www.nature.com/npjmatsustain		npjmatsustain		fulltext	Fully Open Access	Nature Publishing Group	serial								F	27967385X
npj Viruses		2948-1767	2023-12-01	1	1				https://www.nature.com/npjviruses		npjviruses		fulltext	Fully Open Access	Nature Publishing Group	serial								F	273389734
Communications Earth & Environment		2662-4435	2020-12-01	1	1				https://www.nature.com/commsenv/		commsenv		fulltext	Fully Open Access	Nature Publishing Group	serial								F	250471922
npj Nanophotonics		2948-216X	2024-12-01	1	1				https://www.nature.com/npjnanophoton		npjnanophoton		fulltext	Fully Open Access	Nature Publishing Group	serial								F	279673922
Light: Science & Applications		2047-7538	2012-03-01	1	3				https://www.nature.com/lsa		lsa		fulltext	Fully Open Access	Nature Publishing Group	serial								F	16539482X
npj Drug Discovery		3005-1452	2024-12-01	1	1				https://www.nature.com/npjdrugdiscov/		npjdrugdiscov		fulltext	Fully Open Access	Nature Publishing Group	serial								F	282439579
Nutrition & Diabetes		2044-4052	2011	1	1				https://www.nature.com/nutd		nutd		fulltext	Fully Open Access	Nature Publishing Group	serial								F	187671281
Communications Biology		2399-3642	2018-12-01	1	1				https://www.nature.com/commsbio/		commsbio		fulltext	Fully Open Access	Nature Publishing Group	serial								F	224182595
Cell Death Discovery		2058-7716	2015-12-01	1	1				https://www.nature.com/cddiscovery		cddiscovery		fulltext	Fully Open Access	Nature Publishing Group	serial								F	18933553X
Emerging Microbes & Infections		2222-1751	2012-07-01	1	7	2018-12-01	7	1	https://www.nature.com/emi/		emi		fulltext	Fully Open Access	Nature Publishing Group	serial								F	166195413
BJC Reports		2731-9377	2023-12-01	1	1				https://www.nature.com/bjcreports/		bjcreports		fulltext	Fully Open Access	Nature Publishing Group	serial								F	271822406
Communications Psychology		2731-9121	2023-12-01	1	1				https://www.nature.com/commspsychol/		commspsychol		fulltext	Fully Open Access	Nature Publishing Group	serial								F	272376035
