publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
#info	9782735123988	9782735124053							http://books.openedition.org/editionsmsh/11077	Mercier	editionsmsh/11077		fulltext		Éditions de la Maison des sciences de l’homme	monograph	2018	2017			Mercier			P
(Bé)vues du futur	9782757408872	9782757417812							http://books.openedition.org/septentrion/16811	Dessy	septentrion/16811		fulltext		Presses universitaires du Septentrion	monograph	2015	2017			Dessy			P
(In)disciplines partisanes	9782757413838	9782757417928							http://books.openedition.org/septentrion/21188	Allal	septentrion/21188		fulltext		Presses universitaires du Septentrion	monograph	2016	2018			Allal			P
(R)apports textuels	9782869062306	9782869064843							http://books.openedition.org/pufr/4987	Athenot	pufr/4987		fulltext		Presses universitaires François-Rabelais	monograph	2007	2017			Athenot			F
(Re)Mapping the centres Membership and State		9782869064737							http://books.openedition.org/pufr/4314	Harris	pufr/4314		fulltext		Presses universitaires François-Rabelais	monograph	2000	2017			Harris			F
(Se) construire dans l’interlangue	9782757408797	9782757418352							http://books.openedition.org/septentrion/18608	Bonnet-Falandry	septentrion/18608		fulltext		Presses universitaires du Septentrion	monograph	2015	2018			Bonnet-Falandry			P
1. Seminario Nazionale di Biblioteconomia	9788867051267	9788867055234							http://books.openedition.org/ledizioni/1080	Crupi	ledizioni/1080		fulltext		Ledizioni	monograph	2013	2018			Crupi			F
1795, pour une République sans Révolution		9782753525962							http://books.openedition.org/pur/19730	Dupuy	pur/19730		fulltext		Presses universitaires de Rennes	monograph	1996	2015			Dupuy			F
1933 - Die Gleichschaltung des politischen Katholizismus in Baden	9783731500131	9782821874282							http://books.openedition.org/ksp/1954	Schmiesing	ksp/1954		fulltext		KIT Scientific Publishing	monograph	2013	2017						F
1939 : l'alliance de la dernière chance	9782760617636	9791036504259							http://books.openedition.org/pum/17689	Carley	pum/17689		fulltext		Presses de l’Université de Montréal	monograph	2001	2018						F
1969 en Europe. Année des relèves ou des ruptures?	9782905637635	9782490296194							http://books.openedition.org/irhis/2326	Guislin	irhis/2326		fulltext		Publications de l’Institut de recherches historiques du Septentrion	monograph	2010	2018			Guislin			F
1970-2010: les sciences de l’Homme en débat	9782840161349	9782821851191							http://books.openedition.org/pupo/2784	Inglebert	pupo/2784		fulltext		Presses universitaires de Paris Nanterre	monograph	2013	2016			Inglebert			F
40 ans des sciences de l’éducation	9782841333486	9782841338214							http://books.openedition.org/puc/8131	Vergnioux	puc/8131		fulltext		Presses universitaires de Caen	monograph	2009	2016			Vergnioux			F
4000 bourgeois de Lille au XIVesiècle	9782905637376	9782905637741							http://books.openedition.org/irhis/429	Aubry	irhis/429		fulltext		Publications de l’Institut de recherches historiques du Septentrion	monograph	1999	2012						F
83 mots pour penser l’intervention en travail social	9782882240873	9782882241863							http://books.openedition.org/ies/1914	Jonckheere	ies/1914		fulltext		Éditions ies	monograph	2010	2017						P
A Dangerous Awakening	9789782015341	9791092312034							http://books.openedition.org/ifra/400	Enwerem	ifra/400		fulltext		Institut français de recherche en Afrique	monograph	1995	2013						F
A Historiografia Medieval Portuguesa na viragem do Milénio	9789899924208	9782821874183							http://books.openedition.org/cidehus/1223	Medeiros	cidehus/1223		fulltext		Publicações do Cidehus	monograph	2015	2016						F
A Life Under Russian Serfdom	9789637326158	9786155053955							http://books.openedition.org/ceup/488	Gorshkov	ceup/488		fulltext		Central European University Press	monograph	2005	2013						F
