"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"
"1895. Mille huit cent quatre-vingt-quinze"	"0769-0959"	"1960-6176"	"2000"	"31"	""	"2014"	"74"	""	"http://journals.openedition.org/1895"	""	"1895"	""	"fulltext"	""	"Association française de recherche sur l’histoire du cinéma (AFRHC)"	"serial"	""	""	""	""	""	""	""	"F"
"ABE Journal"	""	"2275-6639"	"2012"	"1"	""	""	""	""	"http://journals.openedition.org/abe"	""	"abe"	""	"fulltext"	""	"InVisu"	"serial"	""	""	""	""	""	""	""	"F"
"Abstracta Iranica"	"0240-8910"	"1961-960X"	"2001"	"22"	""	""	""	""	"http://journals.openedition.org/abstractairanica"	""	"abstractairanica"	""	"fulltext"	"Nota bene : Numéros ouverts à partir de 2016"	"Éditions de l’IFRI, CNRS (UMR 7528 Mondes iraniens et indiens)"	"serial"	""	""	""	""	""	""	""	"F"
"Acquisition et interaction en langue étrangère"	"1243-969X"	"1778-7432"	"1992"	"1"	""	"2009"	"2"	""	"http://journals.openedition.org/aile"	""	"aile"	""	"fulltext"	"vol.1, 1992 - vol.28, 2008; nouvelle numérotation vol.1, 2009 - vol.2, 2009"	"Association Encrages"	"serial"	""	""	""	""	""	""	""	"F"
"Actes des congrès de la Société française Shakespeare"	""	"2271-6424"	"1980"	"1"	""	""	""	""	"http://journals.openedition.org/shakespeare"	""	"shakespeare"	""	"fulltext"	""	"Société Française Shakespeare"	"serial"	""	""	""	""	""	""	""	"F"
"Activités"	""	"1765-2723"	"2004"	"1"	"1"	""	""	""	"http://journals.openedition.org/activites"	""	"activites"	""	"fulltext"	""	"ARPACT - Association Recherches et Pratiques sur les ACTivités"	"serial"	""	""	""	""	""	""	""	"F"
"ADLFI. Archéologie de la France - Informations"	""	"2114-0502"	"2001"	"2001"	""	""	""	""	"http://journals.openedition.org/adlfi"	""	"adlfi"	""	"fulltext"	"Autres n° : 1997. Manquent : 2003, 2011, 2012, 2013"	"Ministère de la culture"	"serial"	""	""	""	""	""	""	""	"F"
"Afrique : Archéologie et Arts"	"1634-3123"	"2431-2045"	"2006"	"4"	""	""	""	""	"http://journals.openedition.org/aaa"	""	"aaa"	""	"fulltext"	""	"CNRS - UMR 7041 (Archéologie et Sciences de l'Antiquité - ArScAn)"	"serial"	""	""	""	""	""	""	""	"F"
"Afriques"	""	"2108-6796"	"2010"	"1"	""	""	""	""	"http://journals.openedition.org/afriques"	""	"afriques"	""	"fulltext"	""	"Institut des mondes africains (IMAF)"	"serial"	""	""	""	""	""	""	""	"F"
"Agôn"	""	"1961-8581"	"2012"	"5"	""	""	""	""	"http://journals.openedition.org/agon"	""	"agon"	""	"fulltext"	"Publication mixte + HS 2 2014"	"Association Agôn"	"serial"	""	""	""	""	""	""	""	"F"
