publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	pkb-doi
Ancient Israel in Sinai	9780195155464								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/0195155467.001.000/acprof-9780195155464		acprof:oso/0195155467														10.1093/acprof:oso/0195155467.001.000
International Humanitarian Law and International Human Rights Law	9780191001604								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780191001604.001.0001/acprof-9780191001604		acprof:oso/9780191001604														10.1093/acprof:oso/9780191001604.001.0001
Analytical Mechanics for Relativity and Quantum Mechanics	9780191001628								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780191001628.001.0001/acprof-9780191001628		acprof:oso/9780191001628														10.1093/acprof:oso/9780191001628.001.0001
The History of Broadcasting in the United Kingdom, Volume I	9780192129260								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192129260.001.0001/acprof-9780192129260		acprof:oso/9780192129260														10.1093/acprof:oso/9780192129260.001.0001
The History of Broadcasting in the United Kingdom: Volume II: The Golden Age of Wireless	9780192129307								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192129307.001.0001/acprof-9780192129307		acprof:oso/9780192129307														10.1093/acprof:oso/9780192129307.001.0001
The War of Words	9780192129567								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192129567.001.0001/acprof-9780192129567		acprof:oso/9780192129567														10.1093/acprof:oso/9780192129567.001.0001
Thomas Chalmers and the Godly Commonwealth in Scotland	9780192131140								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192131140.001.0001/acprof-9780192131140		acprof:oso/9780192131140														10.1093/acprof:oso/9780192131140.001.0001
Perfect Fools	9780192132307								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192132307.001.0001/acprof-9780192132307		acprof:oso/9780192132307														10.1093/acprof:oso/9780192132307.001.0001
Introducing the Old Testament	9780192132543								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192132543.001.0001/acprof-9780192132543		acprof:oso/9780192132543														10.1093/acprof:oso/9780192132543.001.0001
Biblical Interpretation	9780192132567								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192132567.001.0001/acprof-9780192132567		acprof:oso/9780192132567														10.1093/acprof:oso/9780192132567.001.0001
God and Rationality	9780192139481								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192139481.001.0001/acprof-9780192139481		acprof:oso/9780192139481														10.1093/acprof:oso/9780192139481.001.0001
The Origins of the Cultural Revolution	9780192149978								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192149978.001.0001/acprof-9780192149978		acprof:oso/9780192149978														10.1093/acprof:oso/9780192149978.001.0001
Spinal Cord Dysfunction: Volume II: Intervention and Treatment	9780192617873								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192617873.001.0001/acprof-9780192617873		acprof:oso/9780192617873														10.1093/acprof:oso/9780192617873.001.0001
Migraine: A Spectrum of Ideas	9780192618108								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192618108.001.0001/acprof-9780192618108		acprof:oso/9780192618108														10.1093/acprof:oso/9780192618108.001.0001
5-Hydroxytryptamine in Psychiatry	9780192620118								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192620118.001.0001/acprof-9780192620118		acprof:oso/9780192620118														10.1093/acprof:oso/9780192620118.001.0001
Nutrition for Developing Countries	9780192622334								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192622334.001.0001/acprof-9780192622334		acprof:oso/9780192622334														10.1093/acprof:oso/9780192622334.001.0001
Geographical and Environmental Epidemiology	9780192622358								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192622358.001.0001/acprof-9780192622358		acprof:oso/9780192622358														10.1093/acprof:oso/9780192622358.001.0001
Brain Function and Psychotropic Drugs	9780192622426								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192622426.001.0001/acprof-9780192622426		acprof:oso/9780192622426														10.1093/acprof:oso/9780192622426.001.0001
The Pharmacology of Vascular Smooth Muscle	9780192623874								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192623874.001.0001/acprof-9780192623874		acprof:oso/9780192623874														10.1093/acprof:oso/9780192623874.001.0001
Healthy Respect	9780192624086								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192624086.001.0001/acprof-9780192624086		acprof:oso/9780192624086														10.1093/acprof:oso/9780192624086.001.0001
Mechanisms of Cortical Development	9780192624277								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192624277.001.0001/acprof-9780192624277		acprof:oso/9780192624277														10.1093/acprof:oso/9780192624277.001.0001
The NMDA Receptor	9780192625021								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192625021.001.0001/acprof-9780192625021		acprof:oso/9780192625021														10.1093/acprof:oso/9780192625021.001.0001
Living with Dying	9780192625144								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192625144.001.0001/acprof-9780192625144		acprof:oso/9780192625144														10.1093/acprof:oso/9780192625144.001.0001
Evaluating Palliative Care	9780192626219								http://www.oxfordscholarship.com/view/10.1093/acprof:oso/9780192626219.001.0001/acprof-9780192626219		acprof:oso/9780192626219														10.1093/acprof:oso/9780192626219.001.0001
