publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
20 century British history	0955-2359	1477-4674	1990	1	1	2010			https://academic.oup.com/tcbh				fulltext		Oxford University Press	serial								P
African affairs	0001-9909	1468-2621	1944	43	172	2010			https://academic.oup.com/afraf				fulltext		Oxford University Press	serial								P
Age and ageing	0002-0729	1468-2834	1972	1	1	2010			https://academic.oup.com/ageing				fulltext		Oxford University Press	serial								P
Alcohol and alcoholism	0735-0414	1464-3502	1983	18	1	2010			https://academic.oup.com/alcalc				fulltext		Oxford University Press	serial								P
American journal of agricultural economics	0002-9092	1467-8276	1968	50	1	2010			https://academic.oup.com/ajae				fulltext		Oxford University Press	serial								P
American journal of epidemiology	0002-9262	1476-6256	1965	81		2010			https://academic.oup.com/aje				fulltext		Oxford University Press	serial								P
American journal of hygiene	0096-5294		1921	1	1	1964	80	3	https://academic.oup.com/aje				fulltext		Oxford University Press	serial								P
American journal of hypertension	0895-7061	1941-7225	1988	1	1	2010			https://academic.oup.com/ajh/				fulltext		Oxford University Press	serial								P
American literary history	0896-7148	1468-4365	1989	1	1	2010			https://academic.oup.com/alh				fulltext		Oxford University Press	serial								P
American zoologist	0003-1569	2162-4445	1961	1	1	2001	41	6	https://academic.oup.com/icb				fulltext		Oxford University Press	serial								P
Analysis	0003-2638	1467-8284	1933	1	1	2010			https://academic.oup.com/analysis				fulltext		Oxford University Press	serial								P
Annals of Physical Medicine	0365-5547		1952	1	1	1970	10	6	https://academic.oup.com/rheumatology				fulltext		Oxford University Press	serial								P
Annals of botany	0305-7364	1095-8290	1887	1	1	2010			https://academic.oup.com/aob				fulltext		Oxford University Press	serial								P
Annals of occupational hygiene	0003-4878	1475-3162	1958	1	1	2010			https://academic.oup.com/annhyg				fulltext		Oxford University Press	serial								P
Annals of oncology	0923-7534	1569-8041	1990	1	1	2010			https://academic.oup.com/annonc				fulltext		Oxford University Press	serial								P
Applied economic perspectives and policy	2040-5790	2040-5804	2010	32	1	2010			https://academic.oup.com/aepp				fulltext		Oxford University Press	serial								P
Applied linguistics	0142-6001	1477-450X	1980	1		2010			https://academic.oup.com/applij				fulltext		Oxford University Press	serial								P
Archives of clinical neuropsychology	0887-6177	1873-5843	1986	1	1	2010			https://academic.oup.com/acn				fulltext		Oxford University Press	serial								P
Astronomy and geophysics	1366-8781	1468-4004	1997	38	1	2010			https://academic.oup.com/www/our_journals/astrogeo//				fulltext		Oxford University Press	serial								P
Behavioral ecology	1045-2249	1465-7279	1990	1	1	2010			https://academic.oup.com/beheco				fulltext		Oxford University Press	serial								P
Bioinformatics	1367-4803	1367-4811	1998	14	1	2010			https://academic.oup.com/bioinformatics				fulltext		Oxford University Press	serial								P
Biometrika	0006-3444	1464-3510	1901	1	1	2010			https://academic.oup.com/biomet				fulltext		Oxford University Press	serial								P
Brain	0006-8950	1460-2156	1878	1	1	2010			https://academic.oup.com/brain				fulltext		Oxford University Press	serial								P
British Medical Bulletin	0007-1420	1471-8391	1943	1	1	2010			https://academic.oup.com/bmb				fulltext		Oxford University Press	serial								P
British journal for the philosophy of science	0007-0882	1464-3537	1950	1	1	2010			https://academic.oup.com/bjps				fulltext		Oxford University Press	serial								P
British journal of aesthetics	0007-0904	1468-2842	1960	1	1	2010			https://academic.oup.com/bjaesthetics				fulltext		Oxford University Press	serial								P
British journal of anaesthesia	0007-0912	1471-6771	1923	1	1	2010			https://academic.oup.com/bja				fulltext		Oxford University Press	serial								P
British journal of criminology	0007-0955	1464-3529	1960	1	1	2010			https://academic.oup.com/bjc				fulltext		Oxford University Press	serial								P
British journal of rheumatology	0263-7103	1460-2172	1983			2010			https://academic.oup.com/rheumatology				fulltext		Oxford University Press	serial								P
British journal of social work	0045-3102	1468-263X	1971	1	1	2010			https://academic.oup.com/bjsw				fulltext		Oxford University Press	serial								P
British journal on alcohol and alcoholism	0309-1635		1977	12	1	1982	17	3	https://academic.oup.com/alcalc				fulltext		Oxford University Press	serial								P
Bulletin of the IGPL			1993	1	1	1995	3	4	https://academic.oup.com/jigpal				fulltext		Oxford University Press	serial								P
Bulletin of the London Mathematical Society	0024-6093	1469-2120	1996	28	1	2010			https://academic.oup.com/blms				fulltext		Oxford University Press	serial								P
Cambridge journal of economics	0309-166X	1464-3545	1977	1	1	2010			https://academic.oup.com/cje				fulltext		Oxford University Press	serial								P
Cambridge quarterly	0008-199X	1471-6836	1965	1	1	2010			https://academic.oup.com/camqtly				fulltext		Oxford University Press	serial								P
Carcinogenesis	0143-3334	1460-2180	1980	1	1	2010			https://academic.oup.com/carcin				fulltext		Oxford University Press	serial								P
Cardiovascular research	0008-6363	1755-3245	1967	1	1	2010			https://academic.oup.com/cardiovascres				fulltext		Oxford University Press	serial								P
Cerebral cortex	1047-3211	1460-2199	1991	1	1	2010			https://academic.oup.com/cercor				fulltext		Oxford University Press	serial								P
Chemical senses	0379-864X	1464-3553	1980			2010			https://academic.oup.com/chemse				fulltext		Oxford University Press	serial								P
Chemical senses and flavor	0302-2471		1974	1	1	1979	4		https://academic.oup.com/chemse				fulltext		Oxford University Press	serial								P
Children & schools	1532-8759		2000	1	1	2010			https://academic.oup.com/cs/				fulltext		Oxford University Press	serial								P
Christian bioethics	1380-3603	1744-4195	1995	1	1	2010			https://academic.oup.com/cb				fulltext		Oxford University Press	serial								P
Clinical infectious diseases	1058-4838	1537-6591	1992	14	1	2010			https://academic.oup.com/cid				fulltext		Oxford University Press	serial								P
Community development journal	0010-3802	1468-2656	1966	1	1	2010			https://academic.oup.com/cdj				fulltext		Oxford University Press	serial								P
Community medicine	0142-2456		1979	1	1	1989	11		https://academic.oup.com/jpubhealth				fulltext		Oxford University Press	serial								P
Computer applications in the biosciences	0266-7061	1460-2059	1985	1	1	1997	13	6	https://academic.oup.com/bioinformatics				fulltext		Oxford University Press	serial								P
Contributions to political economy	0277-5921	1464-3588	1982	1	1	2010			https://academic.oup.com/cpe				fulltext		Oxford University Press	serial								P
Current legal problems	0070-1998	2044-8422	1948	1	1	2010			https://academic.oup.com/clp/				fulltext		Oxford University Press	serial								P
Diplomatic history	0145-2096	1467-7709	1977	1	1	2010			https://academic.oup.com/dh/				fulltext		Oxford University Press	serial								P
ELT journal	0951-0893	1477-4526	1981	36	1	2010			https://academic.oup.com/eltj				fulltext		Oxford University Press	serial								P
Early music	0306-1078	1741-7260	1973	1	1	2010			https://academic.oup.com/em				fulltext		Oxford University Press	serial								P
English	0013-8215	1756-1124	1936	1	1	2010			https://academic.oup.com/english				fulltext		Oxford University Press	serial								P
English historical review	0013-8266	1477-4534	1886	1	1	2010			https://academic.oup.com/ehr				fulltext		Oxford University Press	serial								P
English language teaching	0013-8290		1946	1	1	1973	27	3	https://academic.oup.com/eltj				fulltext		Oxford University Press	serial								P
English language teaching journal	0307-8337		1973	28	1	1981	35	4	https://academic.oup.com/eltj				fulltext		Oxford University Press	serial								P
Environmental history	1084-5453	1930-8892	1996	1	1	2010			https://academic.oup.com/envhis				fulltext		Oxford University Press	serial								P
Environmental history review	1053-4180	2325-5811	1990			2010			https://academic.oup.com/envihistrevi/				fulltext		Oxford University Press	serial								P
Environmental review	0147-2496	2325-582X	1976	1		1989	13		https://academic.oup.com/envihistrevi/				fulltext		Oxford University Press	serial								P
Epidemiologic reviews	0193-936X	1478-6729	1979	1	1	2010			https://academic.oup.com/epirev/				fulltext		Oxford University Press	serial								P
Essays in criticism	0014-0856	1471-6852	1951	1	1	2010			https://academic.oup.com/eic				fulltext		Oxford University Press	serial								P
European heart journal	0195-668X	1522-9645	1980	1	1	2010			https://academic.oup.com/eurheartj				fulltext		Oxford University Press	serial								P
European journal of cardio-thoracic surgery	1010-7940	1873-734X	1987	1	1	2010			https://academic.oup.com/ejcts/				fulltext		Oxford University Press	serial								P
European journal of orthodontics	0141-5387	1460-2210	1979	1	1	2010			https://academic.oup.com/ejo				fulltext		Oxford University Press	serial								P
European journal of public health	1101-1262	1464-360X	1991	1	1	2010			https://academic.oup.com/eurpub				fulltext		Oxford University Press	serial								P
