publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
A New Work by Apuleius: The Lost Third Book of the De Platone	9780198735748	9780191844614							http://oxfordscholarlyeditions.com/view/10.1093/actrade/9780198735748.book.1/actrade-9780198735748-book-1		actrade/9780198735748.book.1		fulltext		Oxford University Press	monograph	2016	2017			Justin A. Stover			P
A Practical Approach to Civil Procedure	9780198735717	9780191799761							http://www.oxfordlawtrove.com/view/10.1093/he/9780198735717.001.0001/he-9780198735717	Sime	he-9780198735717		fulltext		Oxford University Press	monograph	2015	2015		18				P
A Practical Approach to Conveyancing	9780198735724	9780191801297							http://www.oxfordlawtrove.com/view/10.1093/he/9780198735724.001.0001/he-9780198735724	Abbey	he-9780198735724		fulltext		Oxford University Press	monograph	2015	2015		17				P
Afghanistan's Islam	9780520294134	9780520967373							http://california.universitypressscholarship.com/view/10.1525/california/9780520294134.001.0001/upso-9780520294134	Green	upso-9780520294134		fulltext		Oxford University Press	monograph	2016	2017						P
American Philological Association Texts and Commentaries Series: Cicero's Pro L. Murena Oratio	9780199974535	9780191844751							http://oxfordscholarlyeditions.com/view/10.1093/actrade/9780199974535.book.1/actrade-9780199974535-book-1		actrade/9780199974535.book.1		fulltext		Oxford University Press	monograph	2013	2017			Elaine Fantham			P
American Political Parties and elections	9780195301229	9780199365517							http://www.veryshortintroductions.com/view/10.1093/actrade/9780195301229.001.0001/actrade-9780195301229	L. Sandy	actrade/9780195301229		fulltext		Oxford University Press	monograph	2007	2013		1				P
American Presidency	9780195307016	9780199365548							http://www.veryshortintroductions.com/view/10.1093/actrade/9780195307016.001.0001/actrade-9780195307016	Charles O.	actrade/9780195307016		fulltext		Oxford University Press	monograph	2007	2013		1				P
An Introduction to Political Philosophy	9780199658015	9780191850929							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780199658015.001.0001/he-9780199658015	Wolff	he-9780199658015		fulltext		Oxford University Press	monograph	2015			3				P
Anson's Law of Contract	9780199282470	9780191763601							http://www.oxfordlawtrove.com/view/10.1093/he/9780199282470.001.0001/he-9780199282470	Beatson	he-9780199282470		fulltext		Oxford University Press	monograph	2010	2013		29				P
Antisemitism	9780192892775	9780191776830							http://www.veryshortintroductions.com/view/10.1093/actrade/9780192892775.001.0001/actrade-9780192892775	Steven	actrade/9780192892775		fulltext		Oxford University Press	monograph	2007	2013		1				P
Arthur Penn	9780813129761	9780813135502							http://kentucky.universitypressscholarship.com/view/10.5810/kentucky/9780813129761.001.0001/upso-9780813129761	Segaloff	upso-9780813129761		fulltext		Oxford University Press	monograph	2011	2011						P
