publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Animal Frontiers	2160-6056	2160-6064	2011	1	1				https://academic.oup.com/af		https://academic.oup.com/af		fulltext	Transfer in (2018): American Society of Animal Science. Open Access		serial								F
AoB Plants		2041-2851	2009	2009					https://academic.oup.com/aobpla		https://academic.oup.com/aobpla		fulltext			serial								F
Arthropod Management Tests	2155-9848	2155-9856	1999	24	1				https://academic.oup.com/amt		https://academic.oup.com/amt		fulltext	Open Access. transfer in (2015): Entomological Society of America		serial								F
Biology Methods and Protocols		2396-8923	2016	1	1				https://academic.oup.com/biomethods		https://academic.oup.com/biomethods		fulltext	Open Access		serial								F
Bioscience Horizons		1754-7431	2008	1	1				https://academic.oup.com/biohorizons		https://academic.oup.com/biohorizons		fulltext			serial								F
Conservation Physiology		2051-1434	2013	1	1				https://academic.oup.com/conphys		https://academic.oup.com/conphys		fulltext			serial								F
Current Developments in Nutrition		2475-2991	2017	1	1				https://academic.oup.com/cdn		https://academic.oup.com/cdn		fulltext	Transfer in (2018): American Society for Clinical Nutrition. Open Access		serial								F
Current Zoology	1674-5507	2396-9814	2011	57	1				https://academic.oup.com/cz		https://academic.oup.com/cz		fulltext	Previously: Acta Zoologica Sinica (1950-2008). Open Access		serial								F
DNA Research	1340-2838	1756-1663	1994	1	1				https://academic.oup.com/dnaresearch		https://academic.oup.com/dnaresearch		fulltext			serial								F
Database: The Journal of Biological Databases & Curation		1758-0463	2010	2010					https://academic.oup.com/database		https://academic.oup.com/database		fulltext			serial								F
Dynamics and Statistics of the Climate System		2059-6987	2016	1	1				https://academic.oup.com/climatesystem		https://academic.oup.com/climatesystem		fulltext	new 2016. open access		serial								F
Environmental Epigenetics		2058-5888	2015	1	1				https://academic.oup.com/eep		https://academic.oup.com/eep		fulltext	Open Access		serial								F
Evolution, Medicine, and Public Health		2050-6201	2013	2013	1				https://academic.oup.com/emph		https://academic.oup.com/emph		fulltext			serial								F
Gastroenterology Report		2052-0034	2013	1	1				https://academic.oup.com/gastro		https://academic.oup.com/gastro		fulltext			serial								F
