publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Aesthetic Surgery Journal. Open Forum		2631-4797	2019	1	1				https://academic.oup.com/asjopenforum/issue		asjopenforum		fulltext	Open Access		serial								F	235215465
Animal Frontiers	2160-6056	2160-6064	2011-07-01	1	1				https://academic.oup.com/af		af		fulltext	Open Access; transfer in (2018): American Society of Animal Science		serial								F	159889111
Antibody Therapeutics		2516-4236	2018-06-01	1	1				https://academic.oup.com/abt		abt		fulltext	New for 2019. Open Access		serial								F	23085205X
AoB Plants		2041-2851	2009	2009					https://academic.oup.com/aobpla		aobpla		fulltext	Open Access		serial								F	149005652
BJS Open		2474-9842	2017-02-01	1	1				https://academic.oup.com/bjsope/issue		bjsope		fulltext	Open Access		serial								F	220267561
Bioinformatics	1367-4803	1367-4811	1998	14	1				https://academic.oup.com/bioinformatics		bioinformatics		fulltext	Open Access from 2023		serial								F	040646130
Bioinformatics Advances		2635-0041	2021	1	1				https://academic.oup.com/bioinformaticsadvances		bioinformaticsadvances		fulltext	Open Access		serial								F	257217347
Biology Methods and Protocols		2396-8923	2016	1	1				https://academic.oup.com/biomethods		biomethods		fulltext	Open Access		serial								F	198530331
Biology of Reproduction	0006-3363	1529-7268	1969-04-01	1	1	1995-12-31	53	6	https://academic.oup.com/biolreprod/issue		biolreprod		fulltext	No longer open access		serial								F	059183136
Bioscience Horizons		1754-7431	2008	1	1	2018	11		https://academic.oup.com/biohorizons		biohorizons		fulltext	Ceased publication (2018)		serial									128395826
Brain Communications		2632-1297	2019-07-27	1	1				https://academic.oup.com/braincomms/issue		braincomms		fulltext	Open Access		serial								F	238218384
Burns & Trauma	2321-3868	2321-3876	2013	1	1				https://academic.oup.com/burnstrauma		burnstrauma		fulltext	Open Access		serial								F	170355470
