publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
American Journal of Cultural Sociology	2049-7113	2049-7121							http://www.palgrave-journals.com/ajcs/		ajcs													
The American Journal of Psychoanalysis	0002-9548	1573-6741							http://www.palgrave-journals.com/ajp/		ajp													
Acta Politica	0001-6810	1741-1416							http://www.palgrave-journals.com/ap/		ap													
Business Economics	0007-666X	1554-432X							http://www.palgrave-journals.com/be/		be													
BioSocieties	1745-8552	1745-8560							http://www.palgrave-journals.com/biosoc/		biosoc													
Journal of Brand Management	1350-231X	1479-1803							http://www.palgrave-journals.com/bm/		bm													
British Politics	1746-918X	1746-9198							http://www.palgrave-journals.com/bp/		bp													
Comparative European Politics	1472-4790	1740-388X							http://www.palgrave-journals.com/cep/		cep													
Comparative Economic Studies	0888-7233	1478-3320							http://www.palgrave-journals.com/ces/		ces													
Crime Prevention & Community Safety	1460-3780	1743-4629							http://www.palgrave-journals.com/cpcs/		cpcs													
Contemporary Political Theory	1470-8914	1476-9336							http://www.palgrave-journals.com/cpt/		cpt													
Corporate Reputation Review	1363-3589	1479-1889							http://www.palgrave-journals.com/crr/		crr													
Journal of Direct, Data and Digital Marketing Practice	1746-0166	1746-0174							http://www.palgrave-journals.com/dddmp/		dddmp													
Development	1011-6370	1461-7072							http://www.palgrave-journals.com/development/		development													
Eastern Economic Journal	0094-5056	1939-4632							http://www.palgrave-journals.com/eej/		eej													
The European Journal of Development Research	0957-8811	1743-9728							http://www.palgrave-journals.com/ejdr/		ejdr													
European Journal of Information Systems	0960-085X	1476-9344							http://www.palgrave-journals.com/ejis/		ejis													
Economic & Labour Market Review	1751-8326								http://www.palgrave-journals.com/elmr/		elmr													
European Political Science	1680-4333	1682-0983							http://www.palgrave-journals.com/eps/		eps													
French Politics	1476-3419	1476-3427							http://www.palgrave-journals.com/fp/		fp													
Feminist Review	0141-7789	1466-4380							http://www.palgrave-journals.com/fr/		fr													
Journal of Financial Services Marketing	1363-0539	1479-1846							http://www.palgrave-journals.com/fsm/		fsm													
The Geneva Papers on Risk and Insurance - Issues and Practice	1018-5895	1468-0440							http://www.palgrave-journals.com/gpp/		gpp													
The Geneva Risk and Insurance Review	1554-964X	1554-9658							http://www.palgrave-journals.com/grir/		grir													
Higher Education Policy	0952-8733	1740-3863							http://www.palgrave-journals.com/hep/		hep													
Health Systems	2047-6965	2047-6973							http://www.palgrave-journals.com/hs/		hs													
International Abstracts in Operations Research	0020-580X	1476-9352							http://www.palgrave-journals.com/iaor/		iaor													
