publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id_	access_type
Advances in Differential Equations	1079-9389		1996	1.0	1				https://projecteuclid.org/journals/advances-in-differential-equations		advances-in-differential-equations		fulltext	Articles older than 10 years are open.	Khayyam Publishing, Inc.	Serial								P
Annales de l'Institut Henri Poincaré, Probabilités et Statistiques	0246-0203		2008-02	44.0	1				https://projecteuclid.org/journals/annales-de-linstitut-henri-poincare-probabilites-et-statistiques		annales-de-linstitut-henri-poincare-probabilites-et-statistiques		fulltext	Articles older than 3 years are open.	Institut Henri Poincaré	Serial								P
Annals of Applied Probability	1050-5164	2168-8737	1991-02	1.0	1				https://projecteuclid.org/journals/annals-of-applied-probability		annals-of-applied-probability		fulltext	Articles older than 3 years are open.	Institute of Mathematical Statistics	Serial								P
Annals of Applied Statistics	1932-6157	1941-7330	2007-06	1.0	1				https://projecteuclid.org/journals/annals-of-applied-statistics		annals-of-applied-statistics		fulltext	Articles older than 3 years are open.	Institute of Mathematical Statistics	Serial								P
Annals of Probability	0091-1798	2168-894X	1973-02	1.0	1				https://projecteuclid.org/journals/annals-of-probability		annals-of-probability		fulltext	Articles older than 3 years are open.	Institute of Mathematical Statistics	Serial								P
Annals of Statistics	0090-5364	2168-8966	1973-01	1.0	1				https://projecteuclid.org/journals/annals-of-statistics		annals-of-statistics		fulltext	Articles older than 3 years are open.	Institute of Mathematical Statistics	Serial								P
Bernoulli	1350-7265		1995-03	1.0	1-2				https://projecteuclid.org/journals/bernoulli		bernoulli		fulltext	Articles older than 3 years are open.	Bernoulli Society for Mathematical Statistics and Probability	Serial								P
Brazilian Journal of Probability and Statistics	0103-0752		2009-06	23.0	1				https://projecteuclid.org/journals/brazilian-journal-of-probability-and-statistics		brazilian-journal-of-probability-and-statistics		fulltext	Articles older than 3 years are open.	Brazilian Statistical Association	Serial								P
Differential and Integral Equations	0893-4983		1988	1.0	1				https://projecteuclid.org/journals/differential-and-integral-equations		differential-and-integral-equations		fulltext	Articles older than 10 years are open.	Khayyam Publishing, Inc.	Serial								P
Duke Mathematical Journal	0012-7094	1547-7398	1935-03	1.0	1				https://projecteuclid.org/journals/duke-mathematical-journal		duke-mathematical-journal		fulltext	Available by subscription only.	Duke University Press	Serial								P
Journal of Differential Geometry	0022-040X		1967	1.0	1-2				https://projecteuclid.org/journals/journal-of-differential-geometry		journal-of-differential-geometry		fulltext	Articles older than 4 years are open.	Lehigh University	Serial								P
Journal of the Mathematical Society of Japan	0025-5645	1881-1167	1948-09	1.0	1				https://projecteuclid.org/journals/journal-of-the-mathematical-society-of-japan		journal-of-the-mathematical-society-of-japan		fulltext	Articles older than 3 years are open.	Mathematical Society of Japan	Serial								P
Michigan Mathematical Journal	0026-2285	1945-2365	1952-01	1.0	1				https://projecteuclid.org/journals/michigan-mathematical-journal		michigan-mathematical-journal		fulltext	Articles older than 5 years are open.	University of Michigan, Department of Mathematics	Serial								P
Statistical Science	0883-4237	2168-8745	1986-02	1.0	1				https://projecteuclid.org/journals/statistical-science		statistical-science		fulltext	Articles older than 3 years are open.	Institute of Mathematical Statistics	Serial								P
Advances in Applied Probability	0001-8678	1475-6064	2011-03	43.0	1	2016-12-01	48.0	4.0	https://projecteuclid.org/journals/advances-in-applied-probability		advances-in-applied-probability		fulltext	Available by subscription only.	Applied Probability Trust	Serial								P
Bulletin of Symbolic Logic	1079-8986	1943-5894	2002-03	8.0	1	2013-12-01	19.0	4.0	https://projecteuclid.org/journals/bulletin-of-symbolic-logic		bulletin-of-symbolic-logic		fulltext	Available by subscription only.	Association for Symbolic Logic	Serial								P
International Statistical Review	0306-7734		2003-04	71.0	1	2006-12-01	74.0	3.0	https://projecteuclid.org/journals/international-statistical-review		international-statistical-review		fulltext	Available by subscription only.	International Statistical Institute	Serial								P
Journal of Applied Probability	0021-9002	1475-6072	2011-03	48.0	1	2016-12-01	53.0	4.0	https://projecteuclid.org/journals/journal-of-applied-probability		journal-of-applied-probability		fulltext	Available by subscription only.	Applied Probability Trust	Serial								P
Journal of Symbolic Logic	0022-4812	1943-5886	2002-03	67.0	1	2013-12-01	78.0	4.0	https://projecteuclid.org/journals/journal-of-symbolic-logic		journal-of-symbolic-logic		fulltext	Available by subscription only.	Association for Symbolic Logic	Serial								P
Nagoya Mathematical Journal	0027-7630		1950	1.0		2015-12-01	220.0	0.0	https://projecteuclid.org/journals/nagoya-mathematical-journal		nagoya-mathematical-journal		fulltext	Articles older than 4 years are open.	Nagoya Mathematical Journal	Serial								F
																								
																								
