publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id_	access_type
Acta Mathematica	0001-5962	1871-2509	1882	1.0					https://projecteuclid.org/journals/acta-mathematica		acta-mathematica	P365D	fulltext	All content is open. New issues appear on Euclid 1 year(s) after publication.	Institut Mittag-Leffler	Serial								F
Arkiv för Matematik	0004-2080	1871-2487	1949-09-07	1.0	1				https://projecteuclid.org/journals/arkiv-for-matematik		arkiv-for-matematik	P365D	fulltext	All content is open. New issues appear on Euclid 1 year(s) after publication.	Institut Mittag-Leffler	Serial								F
Annals of Mathematical Statistics	0003-4851	2168-8990	1930-02	1.0	1	1976-01-01	0.0		https://projecteuclid.org/journals/annals-of-mathematical-statistics		annals-of-mathematical-statistics		fulltext	All content is open.	Institute of Mathematical Statistics	Serial								F
Bayesian Analysis	1936-0975	1931-6690	2006-03	1.0	1				https://projecteuclid.org/journals/bayesian-analysis		bayesian-analysis		fulltext	All content is open.	International Society for Bayesian Analysis	Serial								F
Bulletin of the American Mathematical Society	0002-9904	1936-881X	1894	1.0	1	28491	84.0	6.0	https://projecteuclid.org/journals/bulletin-of-the-american-mathematical-society-new-series		bulletin-of-the-american-mathematical-society-new-series		fulltext		American Mathematical Society	Serial							euclid.bams/2638-938X	F
Bulletin (New Series) of the American Mathematical Society	0273-0979	1088-9485	1979-01	1.0	1	1991-10-01	25.0	2.0	https://projecteuclid.org/journals/bulletin-of-the-american-mathematical-society-new-series		bulletin-of-the-american-mathematical-society-new-series		fulltext	All content is open.	American Mathematical Society	Serial							euclid.bams/0002-9904	F
Bulletin of the New York Mathematical Society	2638-938X	2638-9398	1891	1.0	1	1/1/1894	3.0	10.0	https://projecteuclid.org/journals/bulletin-of-the-american-mathematical-society-new-series		bulletin-of-the-american-mathematical-society-new-series		fulltext		American Mathematical Society	Serial								F
Books By Independent Authors									https://projecteuclid.org/ebooks/books-by-independent-authors		euclid.bia		fulltext	All content is open.		Serial								F
Differential Geometry: A Geometric Introduction									https://projecteuclid.org/ebooks/books-by-independent-authors/differential-geometry-a-geometric-introduction/toc/10.3792/euclid/9781429799843	Henderson	euclid.bia/1399917369		fulltext			Monograph	2013.0	42313.0				euclid.bia		F
Topoi: The Categorial Analysis of Logic	0-444-86711-2								https://projecteuclid.org/ebooks/books-by-independent-authors/topoi-the-categorial-analysis-of-logic/toc/bia/1403013939	Goldblatt	euclid.bia/1403013939		fulltext			Monograph	1984.0	42313.0				euclid.bia		F
Percolation Theory for Mathematicians	3-7643-3107-0								https://projecteuclid.org/ebooks/books-by-independent-authors/percolation-theory-for-mathematicians/toc/bia/1423514982	Kesten	euclid.bia/1423514982		fulltext			Monograph	1982.0	42313.0				euclid.bia		F
Advanced Real Analysis: Digital Second Edition, Corrected version	978-1-4297-9991-1								https://projecteuclid.org/ebooks/books-by-independent-authors/advanced-real-analysis/toc/10.3792/euclid/9781429799911	Knapp	euclid.bia/1526871313		fulltext			Monograph	2017.0	43241.0				euclid.bia		F
Advanced Algebra: Digital Second Edition	978-1-4297-9992-8								https://projecteuclid.org/ebooks/books-by-independent-authors/advanced-algebra/toc/10.3792/euclid/9781429799928	Knapp	euclid.bia/1529373619		fulltext			Monograph	2016.0	43270.0				euclid.bia		F
Basic Algebra: Digital Second Edition	978-1-4297-9998-0								https://projecteuclid.org/ebooks/books-by-independent-authors/basic-algebra/toc/10.3792/euclid/9781429799980	Knapp	euclid.bia/1531879291		fulltext			Monograph	2016.0	43312.0				euclid.bia		F
Basic Real Analysis: Digital Second Edition	978-1-4297-9999-7								https://projecteuclid.org/ebooks/books-by-independent-authors/basic-real-analysis/toc/10.3792/euclid/9781429799997	Knapp	euclid.bia/1532570509		fulltext			Monograph	2016.0	43312.0				euclid.bia		F
Experiencing Geometry: Euclidean and Non-Euclidean with History	978-1-4297-9985-0								https://projecteuclid.org/ebooks/books-by-independent-authors/Experiencing-Geometry/toc/10.3792/euclid/9781429799850	Henderson	euclid.bia/1598805325		fulltext			Monograph	2020.0			Fourth Edition	Taimi?a	euclid.bia		F
Berkeley Symposium on Mathematical Statistics and Probability	0097-0433		1949	1.0		1972-01-01	6.0	6.0	https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability		euclid.bsmsp/0097-0433		fulltext	All content is open.	University of California Press	Serial								F
Proceedings of the [First] Berkeley Symposium on Mathematical Statistics and Probability									https://projecteuclid.org/proceedings/berkeley-symposium-on-mathematical-statistics-and-probability/proceedings-of-the-first-berkeley-symposium-on-mathematical-statistics-and-probability/toc/bsmsp/1166219193		euclid.bsmsp/1166219193		fulltext		University of California Press	Monograph	1949.0	39066.0			Neyman	euclid.bsmsp/0097-0433		F
