publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	discipline
Abstract and Applied Analysis	1085-3375	1687-0409							http://projecteuclid.org/aaa		aaa				Hindawi	serial									Applied Mathematics, Mathematics
Acta Mathematica	0001-5962	1871-2509							http://projecteuclid.org/acta		acta				Institut Mittag-Leffler	serial								F	Mathematics
Advances in Applied Probability	0001-8678	1475-6064							http://projecteuclid.org/aap		aap				Applied Probability Trust	serial								P	Statistics and Probability
Advances in Differential Equations	1079-9389								http://projecteuclid.org/ade		ade				Khayyam Publishing, Inc.	serial								P	Applied Mathematics, Mathematics
Advances in Theoretical and Mathematical Physics	1095-0761	1095-0753							http://projecteuclid.org/atmp		atmp				International Press of Boston	serial									Applied Mathematics, Mathematical Physics
African Diaspora Journal of Mathematics									http://projecteuclid.org/adjm		adjm				Mathematical Research Publishers	serial									Mathematics
Afrika Statistika									http://projecteuclid.org/as		as				The Statistics and Probability African Society	serial									Statistics and Probability
Annales de l'Institut Henri Poincaré, Probabilités et Statistiques	0246-0203								http://projecteuclid.org/aihp		aihp				Institut Henri Poincaré	serial									Statistics and Probability
The Annals of Applied Probability	1050-5164	2168-8737							http://projecteuclid.org/aoap		aoap				The Institute of Mathematical Statistics	serial									Statistics and Probability
The Annals of Applied Statistics	1932-6157	1941-7330							http://projecteuclid.org/aoas		aoas				The Institute of Mathematical Statistics	serial									Statistics and Probability
Annals of Functional Analysis		2008-8752							http://projecteuclid.org/afa		afa				Duke University Press	serial									Mathematics
The Annals of Mathematical Statistics	0003-4851	2168-8990							http://projecteuclid.org/aoms		aoms				The Institute of Mathematical Statistics	serial								F	Statistics and Probability
The Annals of Probability	0091-1798								http://projecteuclid.org/aop		aop				The Institute of Mathematical Statistics	serial									Statistics and Probability
The Annals of Statistics	0090-5364	2168-8966							http://projecteuclid.org/aos		aos				The Institute of Mathematical Statistics	serial									Statistics and Probability
Arkiv för Matematik	0004-2080	1871-2487							http://projecteuclid.org/afm		afm				Institut Mittag-Leffler	serial								F	Mathematics
Asian Journal of Mathematics	1093-6106	1945-0036							http://projecteuclid.org/ajm		ajm				International Press of Boston	serial									Mathematics
Banach Journal of Mathematical Analysis		1735-8787							http://projecteuclid.org/bjma		bjma				Duke University Press	serial									Mathematics
Bayesian Analysis	1936-0975	1931-6690							http://projecteuclid.org/ba		ba				International Society for Bayesian Analysis	serial								F	Statistics and Probability
Berkeley Symposium on Mathematical Statistics and Probability	0097-0433								http://projecteuclid.org/bsmsp		bsmsp				University of California Press	serial								F	Statistics and Probability
Bernoulli	1350-7265								http://projecteuclid.org/bj		bj				Bernoulli Society for Mathematical Statistics and Probability	serial									Statistics and Probability
Books by Independent Authors									http://projecteuclid.org/bia		bia				Project Euclid (distributor)	monograph								F	Mathematics
