publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Annales de Bretagne et des pays de l'Ouest		2108-6443							http://www.persee.fr/web/revues/home/prescript/revue/abpo		abpo				
Annuaire Français de Droit International		2105-2948							http://www.persee.fr/web/revues/home/prescript/revue/afdi		afdi				
Agora débats/jeunesses		1968-3758							http://www.persee.fr/web/revues/home/prescript/revue/agora		agora				
Annales		1953-8146							http://www.persee.fr/web/revues/home/prescript/revue/ahess		ahess				
Annales historiques de la Révolution française		1952-403X							http://www.persee.fr/web/revues/home/prescript/revue/ahrf		ahrf				
Publications de l'Académie des Inscriptions et Belles-Lettres									http://www.persee.fr/web/revues/home/prescript/revue/aibl		aibl				
Archéologie du Midi Médiéval									http://www.persee.fr/web/revues/home/prescript/revue/amime		amime				
Annales de Normandie									http://www.persee.fr/web/revues/home/prescript/revue/annor		annor				
Antiquités africaines		2117-539X							http://www.persee.fr/web/revues/home/prescript/revue/antaf		antaf				
Arts Asiatiques		2111-4552							http://www.persee.fr/web/revues/home/prescript/revue/arasi		arasi				
Archipel		2104-3655							http://www.persee.fr/web/revues/home/prescript/revue/arch		arch				
Actes de la Recherche en Sciences Sociales		1955-2564							http://www.persee.fr/web/revues/home/prescript/revue/arss		arss				
Aséanie, Sciences humaines en Asie du Sud-Est									http://www.persee.fr/web/revues/home/prescript/revue/asean		asean				
Cahiers d'Extrême-Asie									http://www.persee.fr/web/revues/home/prescript/revue/asie		asie				
Archives de Sciences Sociales des Religions		1777-5825							http://www.persee.fr/web/revues/home/prescript/revue/assr		assr				
Bulletin de Correspondance Hellénique									http://www.persee.fr/web/revues/home/prescript/revue/bch		bch				
Bibliothèque de l'École des chartes		1953-8138							http://www.persee.fr/web/revues/home/prescript/revue/bec		bec				
Bulletin de l'École française d'Extrême-Orient		1760-737X							http://www.persee.fr/web/revues/home/prescript/revue/befeo		befeo				
Bulletins et Mémoires de la Société d'Anthropologie de Paris		1777-5469							http://www.persee.fr/web/revues/home/prescript/revue/bmsap		bmsap				
Bulletin de la Société préhistorique française		1760-7361							http://www.persee.fr/web/revues/home/prescript/revue/bspf		bspf				
Bulletin de l'Association Guillaume Budé									http://www.persee.fr/web/revues/home/prescript/revue/bude		bude				
Bulletin Monumental									http://www.persee.fr/web/revues/home/prescript/revue/bulmo		bulmo				
Politiques sociales et familiales									http://www.persee.fr/web/revues/home/prescript/revue/caf		caf				
Cahiers de l'AIEF		2076-8443							http://www.persee.fr/web/revues/home/prescript/revue/caief		caief				
Caravelle. Cahiers du monde hispanique et luso-brésilien									http://www.persee.fr/web/revues/home/prescript/revue/carav		carav				
Mélanges de la Casa de Velázquez									http://www.persee.fr/web/revues/home/prescript/revue/casa		casa				
Cahiers du Centre Gustave Glotz		2117-5624							http://www.persee.fr/web/revues/home/prescript/revue/ccgg		ccgg				
Cahiers de Civilisation Médiévale									http://www.persee.fr/web/revues/home/prescript/revue/ccmed		ccmed				
Cahiers d'Études africaines		1777-5353							http://www.persee.fr/web/revues/home/prescript/revue/cea		cea				
Cahiers d'Études Hispaniques Médiévales		2108-7083							http://www.persee.fr/web/revues/home/prescript/revue/cehm		cehm				
Autres Temps									http://www.persee.fr/web/revues/home/prescript/revue/chris		chris				
Cahiers de Linguistique - Asie Orientale		1960-6028							http://www.persee.fr/web/revues/home/prescript/revue/clao		clao				
Cahiers du Monde Russe		1777-5388							http://www.persee.fr/web/revues/home/prescript/revue/cmr		cmr				
Communication & Langages		1778-7459							http://www.persee.fr/web/revues/home/prescript/revue/colan		colan				
Annuaire des Collectivités Locales		2102-5940							http://www.persee.fr/web/revues/home/prescript/revue/coloc		coloc				
Communications		2102-5924							http://www.persee.fr/web/revues/home/prescript/revue/comm		comm				
Comptes rendus des séances de l'Académie des Inscriptions et Belles-Lettres		1969-6663							http://www.persee.fr/web/revues/home/prescript/revue/crai		crai				
Critique internationale		1777-554X							http://www.persee.fr/web/revues/home/prescript/revue/criti		criti				
Dialogues d'histoire ancienne		1955-270X							http://www.persee.fr/web/revues/home/prescript/revue/dha		dha				
Déviance et société									http://www.persee.fr/web/revues/home/prescript/revue/ds		ds				
Ebisu - Études Japonaises									http://www.persee.fr/web/revues/home/prescript/revue/ebisu		ebisu				
Revue d'économie financière		1969-6582							http://www.persee.fr/web/revues/home/prescript/revue/ecofi		ecofi				
Économie & prévision		1777-5795							http://www.persee.fr/web/revues/home/prescript/revue/ecop		ecop				
Économie rurale		2105-2581							http://www.persee.fr/web/revues/home/prescript/revue/ecoru		ecoru				
Publications de l'École Française de Rome									http://www.persee.fr/web/revues/home/prescript/revue/efr		efr				
Enfance		1969-6981							http://www.persee.fr/web/revues/home/prescript/revue/enfan		enfan				
Annuaires de l'École pratique des hautes études									http://www.persee.fr/web/revues/home/prescript/revue/ephe		ephe				
Espaces Temps, les Cahiers									http://www.persee.fr/web/revues/home/prescript/revue/espat		espat				
Espace Populations Sociétés		2104-3752							http://www.persee.fr/web/revues/home/prescript/revue/espos		espos				
Économie et Statistique		1777-5574							http://www.persee.fr/web/revues/home/prescript/revue/estat		estat				
Annales d'Éthiopie									http://www.persee.fr/web/revues/home/prescript/revue/ethio		ethio				
Faits de langues		1958-9514							http://www.persee.fr/web/revues/home/prescript/revue/flang		flang				
FLUX Cahiers scientifiques internationaux Réseaux et Territoires		1958-9557							http://www.persee.fr/web/revues/home/prescript/revue/flux		flux				
GAIA. Revue interdisciplinaire sur la Grèce ancienne									http://www.persee.fr/web/revues/home/prescript/revue/gaia		gaia				
Gallia		2109-9588							http://www.persee.fr/web/revues/home/prescript/revue/galia		galia				
Gallia Préhistoire		2109-9642							http://www.persee.fr/web/revues/home/prescript/revue/galip		galip				
Genèses. Sciences sociales et histoire		1776-2944							http://www.persee.fr/web/revues/home/prescript/revue/genes		genes				
Annales de géographie		1777-5884							http://www.persee.fr/web/revues/home/prescript/revue/geo		geo				
Géocarrefour		1960-601X							http://www.persee.fr/web/revues/home/prescript/revue/geoca		geoca				
Les cahiers du GRIF									http://www.persee.fr/web/revues/home/prescript/revue/grif		grif				
Histoire de l'éducation		2102-5452							http://www.persee.fr/web/revues/home/prescript/revue/hedu		hedu				
Histoire Épistémologie Langage		1638-1580							http://www.persee.fr/web/revues/home/prescript/revue/hel		hel				
Histoire, économie & société		1777-5906							http://www.persee.fr/web/revues/home/prescript/revue/hes		hes				
Histoire & Mesure		1957-7745							http://www.persee.fr/web/revues/home/prescript/revue/hism		hism				
Bulletin hispanique		1775-3821							http://www.persee.fr/web/revues/home/prescript/revue/hispa		hispa				
L'Homme		1953-8103							http://www.persee.fr/web/revues/home/prescript/revue/hom		hom				
L'Homme et la société		2101-0226							http://www.persee.fr/web/revues/home/prescript/revue/homso		homso				
L'information grammaticale											igram				
L'Information Géographique		1777-5876							http://www.persee.fr/web/revues/home/prescript/revue/ingeo		ingeo				
Journal des Africanistes		1957-7850							http://www.persee.fr/web/revues/home/prescript/revue/jafr		jafr				
