publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
100 Years of Physical Chemistry : A Collection of Landmark Papers	9780854049875	9781847550002							http://dx.doi.org/10.1039/9781847550002	Smith	9781847550002		fulltext		The Royal Society of Chemistry	monograph	2003	2007						P
A Fragrant Introduction to Terpenoid Chemistry	9780854046812	9781847550019							http://dx.doi.org/10.1039/9781847550019	Sell	9781847550019		fulltext		The Royal Society of Chemistry	monograph	2003	2007						P
A Handbook of Applied Biopolymer Technology : Synthesis	9781849731515	9781849733458							http://dx.doi.org/10.1039/9781849733458	Sharma	9781849733458		fulltext		The Royal Society of Chemistry	monograph	2011	2011				rsc-green-chemistry		P
A History of Beer and Brewing	9780854046300	9781847550026							http://dx.doi.org/10.1039/9781847550026	Hornsey	9781847550026		fulltext		The Royal Society of Chemistry	monograph	2003	2007				rsc-paperbacks		P
A Working Method Approach for Introductory Physical Chemistry Calculations	9780854045532	9781847550033							http://dx.doi.org/10.1039/9781847550033	Hathaway	9781847550033		fulltext		The Royal Society of Chemistry	monograph	1997	2007				rsc-paperbacks		P
Access to Chemistry	9780854045648	9781847550040							http://dx.doi.org/10.1039/9781847550040	Higton	9781847550040		fulltext		The Royal Society of Chemistry	monograph	1999	2007						P
Accounts in Drug Discovery : Case Studies in Medicinal Chemistry	9781849731263	9781849731980							http://dx.doi.org/10.1039/9781849731980	Barrish	9781849731980		fulltext		The Royal Society of Chemistry	monograph	2010	2010				rsc-drug-discovery		P
Additives in Water-Borne Coatings	9780854046133	9781847550057							http://dx.doi.org/10.1039/9781847550057	Davison	9781847550057		fulltext		The Royal Society of Chemistry	monograph	2003	2007				special-publications		P
Adhesion Science	9780854045433	9781847550064							http://dx.doi.org/10.1039/9781847550064	Comyn	9781847550064		fulltext		The Royal Society of Chemistry	monograph	1997	2007				rsc-paperbacks		P
Advanced Concepts in Photovoltaics	9781849735919	9781849739955							http://dx.doi.org/10.1039/9781849739955	Nozik	9781849739955		fulltext		The Royal Society of Chemistry	monograph	2014	2014				rsc-energy-and-environment-series		P
Advanced Oil Crop Biorefineries	9781849731355	9781849732734							http://dx.doi.org/10.1039/9781849732734	Kazmi	9781849732734		fulltext		The Royal Society of Chemistry	monograph	2011	2011				rsc-green-chemistry		P
Advanced Synthetic Materials in Detection Science	9781849735933	9781849737074							http://dx.doi.org/10.1039/9781849737074	Reddy	9781849737074		fulltext		The Royal Society of Chemistry	monograph	2014	2014				rsc-detection-science		P
Advances in Biological Solid-State NMR : Proteins and MembraneActive Peptides	9781849739108	9781782627449							http://dx.doi.org/10.1039/9781782627449	Separovic	9781782627449		fulltext		The Royal Society of Chemistry	monograph	2014	2014				new-developments-in-nmr		P
Advances in Dermatological Sciences	9781849733984	9781849734639							http://dx.doi.org/10.1039/9781849734639	Chilcott	9781849734639		fulltext		The Royal Society of Chemistry	monograph	2013	2013				issues-in-toxicology		P
Advances in Flavours and Fragrances : From the Sensation To the Synthesis	9780854048212	9781847550071							http://dx.doi.org/10.1039/9781847550071	Swift	9781847550071		fulltext		The Royal Society of Chemistry	monograph	2002	2007				special-publications		P
Aging and Vulnerability to Environmental Chemicals : Age-related Disorders and Their Origins in Enviromental Exposures	9781849734189	9781849734660							http://dx.doi.org/10.1039/9781849734660	Weiss	9781849734660		fulltext		The Royal Society of Chemistry	monograph	2012	2012				issues-in-toxicology		P
Agricultural Chemicals and the Environment	9780854042203	9781847550088							http://dx.doi.org/10.1039/9781847550088	Barbour	9781847550088		fulltext		The Royal Society of Chemistry	monograph	1996	2007				issues-in-environmental-science-and-technology		P
Air Pollution and Health	9780854042456	9781847550095							http://dx.doi.org/10.1039/9781847550095	Barbour	9781847550095		fulltext		The Royal Society of Chemistry	monograph	1998	2007	10			issues-in-environmental-science-and-technology		P
Air Quality Management	9780854042357	9781847550101							http://dx.doi.org/10.1039/9781847550101	Barbour	9781847550101		fulltext		The Royal Society of Chemistry	monograph	1997	2007	8			issues-in-environmental-science-and-technology		P
Air Quality in Urban Environments	9781847559074	9781847559654							http://dx.doi.org/10.1039/9781847559654	Hertel	9781847559654		fulltext		The Royal Society of Chemistry	monograph	2009	2009	28			issues-in-environmental-science-and-technology		P
Alicyclic Chemistry	9780851865225	9781847555458							http://dx.doi.org/10.1039/9781847555458	Parker	9781847555458		fulltext		The Royal Society of Chemistry	monograph	1974	2007	2			spr---alicyclic-chemistry		P
Alicyclic Chemistry	9780851866321	9781847555496							http://dx.doi.org/10.1039/9781847555496	McKervey	9781847555496		fulltext		The Royal Society of Chemistry	monograph	1978	2007	6			spr---alicyclic-chemistry		P
Alicyclic Chemistry	9780851866123	9781847555489							http://dx.doi.org/10.1039/9781847555489	Parker	9781847555489		fulltext		The Royal Society of Chemistry	monograph	1977	2007	5			spr---alicyclic-chemistry		P
Alicyclic Chemistry	9780851865829	9781847555472							http://dx.doi.org/10.1039/9781847555472	Parker	9781847555472		fulltext		The Royal Society of Chemistry	monograph	1976	2007	4			spr---alicyclic-chemistry		P
Alicyclic Chemistry	9780851865522	9781847555465							http://dx.doi.org/10.1039/9781847555465	Parker	9781847555465		fulltext		The Royal Society of Chemistry	monograph	1975	2007	3			spr---alicyclic-chemistry		P
Aliphatic Chemistry	9780851865126	9781847555519							http://dx.doi.org/10.1039/9781847555519	Parker	9781847555519		fulltext		The Royal Society of Chemistry	monograph	1974	2007	2			spr---aliphatic-chemistry		P
Aliphatic Chemistry	9780851866024	9781847555540							http://dx.doi.org/10.1039/9781847555540	McKillop	9781847555540		fulltext		The Royal Society of Chemistry	monograph	1977	2007	5			spr---aliphatic-chemistry		P
Aliphatic Chemistry	9780851865720	9781847555533							http://dx.doi.org/10.1039/9781847555533	McKillop	9781847555533		fulltext		The Royal Society of Chemistry	monograph	1976	2007	4			spr---aliphatic-chemistry		P
Aliphatic Chemistry	9780851865423	9781847555526							http://dx.doi.org/10.1039/9781847555526	McKillop	9781847555526		fulltext		The Royal Society of Chemistry	monograph	1975	2007	3			spr---aliphatic-chemistry		P
Aliphatic and Related Natural Product Chemistry	9780851866420	9781847555557							http://dx.doi.org/10.1039/9781847555557	Gunstone	9781847555557		fulltext		The Royal Society of Chemistry	monograph	1979	2007	1			spr---aliphatic-and-related-natural-product-chemistry		P
Aliphatic and Related Natural Product Chemistry	9780851866628	9781847557346							http://dx.doi.org/10.1039/9781847557346	Gunstone	9781847557346		fulltext		The Royal Society of Chemistry	monograph	1983	2007	3			spr---aliphatic-and-related-natural-product-chemistry		P
Aliphatic and Related Natural Product Chemistry	9780851866529	9781847555564							http://dx.doi.org/10.1039/9781847555564	Gunstone	9781847555564		fulltext		The Royal Society of Chemistry	monograph	1981	2007	2			spr---aliphatic-and-related-natural-product-chemistry		P
Aliphatic, Alicyclic and Saturated Heterocyclic Chemistry : Part I	9780851865027	9781847555502							http://dx.doi.org/10.1039/9781847555502	Atkinson	9781847555502		fulltext		The Royal Society of Chemistry	monograph	1973	2007	1			spr---aliphatic,-alicyclic-and-saturated-heterocyclic-chemistry		P
Aliphatic, Alicyclic and Saturated Heterocyclic Chemistry : Part II	9780851867120	9781847557520							http://dx.doi.org/10.1039/9781847557520	Baird	9781847557520		fulltext		The Royal Society of Chemistry	monograph	1973	2007	1			spr---aliphatic,-alicyclic-and-saturated-heterocyclic-chemistry		P
Aliphatic, Alicyclic and Saturated Heterocyclic Chemistry : Part III	9780851867229	9781847557537							http://dx.doi.org/10.1039/9781847557537	Baird	9781847557537		fulltext		The Royal Society of Chemistry	monograph	1973	2007	1			spr---aliphatic,-alicyclic-and-saturated-heterocyclic-chemistry		P
Alkenes and Aromatics	9780854046805	9781847557827							http://dx.doi.org/10.1039/9781847557827	Smart	9781847557827		fulltext		The Royal Society of Chemistry	monograph	2002	2007				the-molecular-world		P
Alternative Solvents for Green Chemistry	9780854041633	9781847559524							http://dx.doi.org/10.1039/9781847559524	Kerton	9781847559524		fulltext		The Royal Society of Chemistry	monograph	2009	2009				rsc-green-chemistry		P
Alternative Solvents for Green Chemistry	9781849735957	9781849736824							http://dx.doi.org/10.1039/9781849736824	Kerton	9781849736824		fulltext		The Royal Society of Chemistry	monograph	2013	2013		2		rsc-green-chemistry		P
Alternatives To Animal Testing	9780854042111	9781847552457							http://dx.doi.org/10.1039/9781847552457	Illing	9781847552457		fulltext		The Royal Society of Chemistry	monograph	2006	2007	23			issues-in-environmental-science-and-technology		P
Alternatives to Conventional Food Processing	9781849730372	9781849730976							http://dx.doi.org/10.1039/9781849730976	Proctor	9781849730976		fulltext		The Royal Society of Chemistry	monograph	2010	2010				rsc-green-chemistry		P
Ambient Ionization Mass Spectrometry	9781849739269	9781782628026							http://dx.doi.org/10.1039/9781782628026	Domin	9781782628026		fulltext		The Royal Society of Chemistry	monograph	2014	2014				new-developments-in-mass-spectrometry		P
Amino Acids and Peptides	9780851861548	9781847557414							http://dx.doi.org/10.1039/9781847557414	Jones	9781847557414		fulltext		The Royal Society of Chemistry	monograph	1986	2007	17			spr---amino-acids-and-peptides		P
Amino Acids and Peptides	9780851862248	9781847552624							http://dx.doi.org/10.1039/9781847552624	Davies	9781847552624		fulltext		The Royal Society of Chemistry	monograph	1993	2007	24			spr---amino-acids-and-peptides		P
Amino Acids and Peptides	9780851862149	9781847555427							http://dx.doi.org/10.1039/9781847555427	Jones	9781847555427		fulltext		The Royal Society of Chemistry	monograph	1992	2007	23			spr---amino-acids-and-peptides		P
Amino Acids and Peptides	9780851862040	9781847557490							http://dx.doi.org/10.1039/9781847557490	Jones	9781847557490		fulltext		The Royal Society of Chemistry	monograph	1991	2007	22			spr---amino-acids-and-peptides		P
Amino Acids and Peptides	9780851861944	9781847557483							http://dx.doi.org/10.1039/9781847557483	Jones	9781847557483		fulltext		The Royal Society of Chemistry	monograph	1990	2007	21			spr---amino-acids-and-peptides		P
Amino Acids and Peptides	9780851861845	9781847557476							http://dx.doi.org/10.1039/9781847557476	Jones	9781847557476		fulltext		The Royal Society of Chemistry	monograph	1989	2007	20			spr---amino-acids-and-peptides		P
Amino Acids and Peptides	9780851861746	9781847557469							http://dx.doi.org/10.1039/9781847557469	Jones	9781847557469		fulltext		The Royal Society of Chemistry	monograph	1987	2007	19			spr---amino-acids-and-peptides		P
Amino Acids and Peptides	9780851861647	9781847557452							http://dx.doi.org/10.1039/9781847557452	Jones	9781847557452		fulltext		The Royal Society of Chemistry	monograph	1987	2007	18			spr---amino-acids-and-peptides		P
Amino Acids, Peptides and Proteins	9780854042524	9781847558459							http://dx.doi.org/10.1039/9781847558459	Elmore	9781847558459		fulltext		The Royal Society of Chemistry	monograph	2007	2007	36			spr---amino-acids,-peptides-and-proteins		P
Amino Acids, Peptides and Proteins	9781849739825	9781849739962							http://dx.doi.org/10.1039/9781849739962	Ryadnov	9781849739962		fulltext		The Royal Society of Chemistry	monograph	2014	2014	39			spr---amino-acids,-peptides-and-proteins		P
