publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Analytical communications	1359-7337	1364-5536	1996	33	1	1999	36	12	http://dx.doi.org/10.1039/1364-5536/1996		ac		fulltext		Royal Society of Chemistry	serial								P	040645428
Analytical methods	1759-9660	1759-9679	2009	1	1	2010	2	12	http://dx.doi.org/10.1039/1759-9679/2009		ay		fulltext		Royal Society of Chemistry	serial								P	145777030
Analytical proceedings	0144-557X	1754-6885	1980	17	1	1993	32	12	http://dx.doi.org/10.1039/0144-557X/1980		ap		fulltext		Royal Society of Chemistry	serial								P	11543304X
Analytical proceedings including Analytical Communications	0144-557X	1754-6885	1994			1995		12	http://dx.doi.org/10.1039/0144-557X/1994		ai		fulltext		Royal Society of Chemistry	serial								P	11543304X
Annual reports on analytical atomic spectroscopy	0306-1353	2050-831X	1971	1		1984	14		http://dx.doi.org/10.1039/0306-1353/1971		aa		fulltext		Royal Society of Chemistry	serial								P	098838423
Annual reports on the progress of chemistry	0365-6217	1754-7512	1904	1		1966	63		http://dx.doi.org/10.1039/0365-6217/1904		ar		fulltext		Royal Society of Chemistry	serial								P	115433104
Annual reports on the progress of chemistry : Part A : Inorganic chemistry	0260-1818	1460-4760	1979	73		2010	106		http://dx.doi.org/10.1039/1460-4760/1979		ic		fulltext		Royal Society of Chemistry	serial								P	040648281
Annual reports on the progress of chemistry : Part B : Organic chemistry	0069-3030	1460-4779	1970	67		2010	106		http://dx.doi.org/10.1039/1460-4779/1967		oc		fulltext		Royal Society of Chemistry	serial								P	04064829X
Annual reports on the progress of chemistry : Part C : Physical chemistry	0260-1826	1460-4787	1982	79		2010	106		http://dx.doi.org/10.1039/1460-4787/1979		pc		fulltext		Royal Society of Chemistry	serial								P	040648303
Annual reports on the progress of chemistry : Section A : General, physical and inorganic chemistry	0069-3022	1754-7520	1967	64		1972	69		http://dx.doi.org/10.1039/0069-3022/1967		gr		fulltext		Royal Society of Chemistry	serial								P	115433120
Annual reports on the progress of chemistry : Section A : Physical and inorganic chemistry	0308-6003	1754-7539	1973	70		1978	75		http://dx.doi.org/10.1039/0308-6003/1973		pr		fulltext		Royal Society of Chemistry	serial								P	115433139
Chemical communications	1359-7345	1364-548X	1996		1	2010		48	http://dx.doi.org/10.1039/1364-548X/1996		cc		fulltext		Royal Society of Chemistry	serial								P	040645371
Chemical communications	0009-241X	2050-5620	1965		1	1968		24	http://dx.doi.org/10.1039/0009-241x/1965		c1		fulltext		Royal Society of Chemistry	serial								P	163679037
Chemical science	2041-6520	2041-6539	2010	1	1	2010	1	6	http://dx.doi.org/10.1039/2041-6539/2010		sc		fulltext		Royal Society of Chemistry	serial								P	146047222
Chemical Society reviews	0306-0012	1460-4744	1972	1	1	2010	39	12	http://dx.doi.org/10.1039/1460-4744/1972		cs		fulltext		Royal Society of Chemistry	serial								P	040648265
Contemporary organic synthesis	1350-4894	2050-8328	1994	4	1	1997	4	6	http://dx.doi.org/10.1039/1350-4894/1994		co		fulltext		Royal Society of Chemistry	serial								P	104909757
CrystEngComm		1466-8033	1999	1	1	2010	12	12	http://dx.doi.org/10.1039/1466-8033/1999		ce		fulltext		Royal Society of Chemistry	serial								P	058286845
Discussions of the Faraday Society	0366-9033	1754-7679	1947	1		1971	52		http://dx.doi.org/10.1039/0366-9033/1947		df		fulltext		Royal Society of Chemistry	serial								P	098800388
Energy & environmental science	1754-5692	1754-5706	2008	1	1	2010	3	12	http://dx.doi.org/10.1039/1754-5706/2008		ee		fulltext		Royal Society of Chemistry	serial								P	13176327X
Faraday discussions	1359-6640	1364-5498	1991	92		2010	147		http://dx.doi.org/10.1039/1364-5498/1991		fd		fulltext		Royal Society of Chemistry	serial								P	04064538X
Faraday special discussions of the Chemical Society	0308-2326	2050-8409	1972	2		1972	2		http://dx.doi.org/10.1039/0370-9302/1972		dc		fulltext		Royal Society of Chemistry	serial								P	164365613
Faraday symposia of the Chemical Society	0301-5696	2050-8441	1972	6		1984	19		http://dx.doi.org/10.1039/0301-5696/1972		fs		fulltext		Royal Society of Chemistry	serial								P	164365648
Food & function	2042-6496	2042-650X	2010	1	1	2010	1	3	http://dx.doi.org/10.1039/2042-650X/2010		fo		fulltext		Royal Society of Chemistry	serial								P	148310176
Geochemical transactions		1467-4866	2000	1	1	2003	4	7	http://xlink.rsc.org?genre=journal&journal_code=GT		gt		fulltext		Royal Society of Chemistry	serial								P	058286934
Green chemistry	1463-9262	1463-9270	1999	1	1	2010	12	12	http://dx.doi.org/10.1039/1463-9270/1999		gc		fulltext		Royal Society of Chemistry	serial								P	048899445
