publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Abstracts of chemical papers : A : Pure chemistry	2050-5558	2050-5566	1925	128		1925	128		https://revue-sommaire.istex.fr/ark:/67375/8Q1-LBKLF6S2-D		ark:/67375/8Q1-LBKLF6S2-D		fulltext		Royal Society of Chemistry	serial								P	163678952
Abstracts of the proceedings of the Chemical Society	0269-3305		1885	1	1	1889	5	75	https://revue-sommaire.istex.fr/ark:/67375/8Q1-CS4H5LZQ-9		ark:/67375/8Q1-CS4H5LZQ-9		fulltext		Royal Society of Chemistry	serial								P	
Analytical communications	1359-7337	1364-5536	1996	33	1	1999	36	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-SH0GXT8J-V		ark:/67375/8Q1-SH0GXT8J-V		fulltext		Royal Society of Chemistry	serial								P	040645428
Analytical methods	1759-9660	1759-9679	2009	1	1	2010	2	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-85VPJ71G-W		ark:/67375/8Q1-85VPJ71G-W		fulltext		Royal Society of Chemistry	serial								P	145777030
Analytical proceedings	0144-557X	1754-6885	1980	17	1	1993	30	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-R7V1B6BS-T		ark:/67375/8Q1-R7V1B6BS-T		fulltext		Royal Society of Chemistry	serial								P	11543304X
Analytical proceedings including Analytical Communications	0144-557X	1754-6885	1994	31	1	1995	32	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-NF560H5V-N		ark:/67375/8Q1-NF560H5V-N		fulltext		Royal Society of Chemistry	serial								P	11543304X
Annual reports on analytical atomic spectroscopy	0306-1353	2050-831X	1971	1		1984	14		https://revue-sommaire.istex.fr/ark:/67375/8Q1-G6LKWQDB-M		ark:/67375/8Q1-G6LKWQDB-M		fulltext		Royal Society of Chemistry	serial								P	098838423
Annual reports on the progress of chemistry	0365-6217	1754-7512	1904	1		1966	63		https://revue-sommaire.istex.fr/ark:/67375/8Q1-SVH028SG-5		ark:/67375/8Q1-SVH028SG-5		fulltext		Royal Society of Chemistry	serial								P	115433104
Annual reports on the progress of chemistry : Part A : Inorganic chemistry	0260-1818	1460-4760	1979	73		2010	106		https://revue-sommaire.istex.fr/ark:/67375/8Q1-QRZNHSF7-K		ark:/67375/8Q1-QRZNHSF7-K		fulltext		Royal Society of Chemistry	serial								P	040648281
Annual reports on the progress of chemistry : Part B : Organic chemistry	0069-3030	1460-4779	1967	64		2010	106		https://revue-sommaire.istex.fr/ark:/67375/8Q1-D6S4W2LC-7		ark:/67375/8Q1-D6S4W2LC-7		fulltext		Royal Society of Chemistry	serial								P	04064829X
Annual reports on the progress of chemistry : Part C : Physical chemistry	0260-1826	1460-4787	1979	76		2010	106		https://revue-sommaire.istex.fr/ark:/67375/8Q1-RQLCD5T5-N		ark:/67375/8Q1-RQLCD5T5-N		fulltext		Royal Society of Chemistry	serial								P	040648303
Annual reports on the progress of chemistry : Section A : General, physical and inorganic chemistry	0069-3022	1754-7520	1967	64		1972	69		https://revue-sommaire.istex.fr/ark:/67375/8Q1-TJ4BZC0B-2		ark:/67375/8Q1-TJ4BZC0B-2		fulltext		Royal Society of Chemistry	serial								P	115433120
Annual reports on the progress of chemistry : Section A : Physical and inorganic chemistry	0308-6003	1754-7539	1973	70		1978	75		https://revue-sommaire.istex.fr/ark:/67375/8Q1-J25BF2TZ-K		ark:/67375/8Q1-J25BF2TZ-K		fulltext		Royal Society of Chemistry	serial								P	115433139
Chemical Society reviews	0306-0012	1460-4744	1972	1	1	2010	39	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-Q541PWQK-M		ark:/67375/8Q1-Q541PWQK-M		fulltext		Royal Society of Chemistry	serial								P	040648265
Chemical communications	1359-7345	1364-548X	1996		1	2010		48	https://revue-sommaire.istex.fr/ark:/67375/8Q1-8GFZ75HT-C		ark:/67375/8Q1-8GFZ75HT-C		fulltext		Royal Society of Chemistry	serial								P	040645371
Chemical communications	0009-241X	2050-5620	1965		1	1968		24	https://revue-sommaire.istex.fr/ark:/67375/8Q1-JH0B0DTB-Z		ark:/67375/8Q1-JH0B0DTB-Z		fulltext		Royal Society of Chemistry	serial								P	163679037
Chemical science	2041-6520	2041-6539	2010	1	1	2010	1	6	https://revue-sommaire.istex.fr/ark:/67375/8Q1-6CHX6RQ6-F		ark:/67375/8Q1-6CHX6RQ6-F		fulltext		Royal Society of Chemistry	serial								P	146047222
Contemporary organic synthesis	1350-4894	2050-8328	1994	4	1	1997	4	6	https://revue-sommaire.istex.fr/ark:/67375/8Q1-0JF4XJ39-B		ark:/67375/8Q1-0JF4XJ39-B		fulltext		Royal Society of Chemistry	serial								P	104909757
CrystEngComm		1466-8033	1999	1	1	2010	12	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-1DK58TVF-B		ark:/67375/8Q1-1DK58TVF-B		fulltext		Royal Society of Chemistry	serial								P	058286845
Dalton	1470-479X	2050-8220	2000		1	2000		24	https://revue-sommaire.istex.fr/ark:/67375/8Q1-NMGHJ7S6-L		ark:/67375/8Q1-NMGHJ7S6-L		fulltext		Royal Society of Chemistry	serial								P	163679274
Dalton transactions	1477-9226	1477-9234	2003		1	2010	39	48	https://revue-sommaire.istex.fr/ark:/67375/8Q1-6LJ20VFH-T		ark:/67375/8Q1-6LJ20VFH-T		fulltext		Royal Society of Chemistry	serial								P	07095982X
Discussions of the Faraday Society	0366-9033	1754-7679	1947	1		1971	52		https://revue-sommaire.istex.fr/ark:/67375/8Q1-BJR094L9-2		ark:/67375/8Q1-BJR094L9-2		fulltext		Royal Society of Chemistry	serial								P	098800388
Energy & environmental science	1754-5692	1754-5706	2008	1	1	2010	3	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-ZMXHQ1B2-3		ark:/67375/8Q1-ZMXHQ1B2-3		fulltext		Royal Society of Chemistry	serial								P	13176327X
Faraday discussions	1359-6640	1364-5498	1991	92		2010	147		https://revue-sommaire.istex.fr/ark:/67375/8Q1-RNCLCNCZ-L		ark:/67375/8Q1-RNCLCNCZ-L		fulltext		Royal Society of Chemistry	serial								P	04064538X
Faraday discussions of the Chemical Society	0301-7249	2050-8417	1972	53		1991	91		https://revue-sommaire.istex.fr/ark:/67375/8Q1-F2N2QN2L-W		ark:/67375/8Q1-F2N2QN2L-W		fulltext		Royal Society of Chemistry	serial								P	164365621
Faraday special discussions of the Chemical Society	0308-2326	2050-8409	1972	2		1972	2		https://revue-sommaire.istex.fr/ark:/67375/8Q1-TZ1WDR35-5		ark:/67375/8Q1-TZ1WDR35-5		fulltext		Royal Society of Chemistry	serial								P	164365613
Faraday symposia of the Chemical Society	0301-5696	2050-8441	1972	6		1984	19		https://revue-sommaire.istex.fr/ark:/67375/8Q1-RX5WNG8X-Q		ark:/67375/8Q1-RX5WNG8X-Q		fulltext		Royal Society of Chemistry	serial								P	164365648
Food & function	2042-6496	2042-650X	2010	1	1	2010	1	3	https://revue-sommaire.istex.fr/ark:/67375/8Q1-1W1WX2CF-P		ark:/67375/8Q1-1W1WX2CF-P		fulltext		Royal Society of Chemistry	serial								P	148310176
Geochemical transactions		1467-4866	2000	1	1	2003	4	7	https://revue-sommaire.istex.fr/ark:/67375/8Q1-9ZVT0VBW-5		ark:/67375/8Q1-9ZVT0VBW-5		fulltext		Royal Society of Chemistry	serial								P	058286934
Green chemistry	1463-9262	1463-9270	1999	1	1	2010	12	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-QVJXWZ8P-H		ark:/67375/8Q1-QVJXWZ8P-H		fulltext		Royal Society of Chemistry	serial								P	048899445
Integrative biology	1757-9694	1757-9708	2009	1	1	2010	2	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-5BW29PMW-V		ark:/67375/8Q1-5BW29PMW-V		fulltext		Royal Society of Chemistry	serial								P	140305955
Journal and proceedings (Royal Institute of Chemistry of Great Britain and Ireland. Online)	2051-1647	2051-1655	1944	68		1948	72		https://revue-sommaire.istex.fr/ark:/67375/8Q1-L7WBDFC5-S		ark:/67375/8Q1-FNT3DM0T-2		fulltext		Royal Society of Chemistry	serial								P	164366423
Journal of analytical atomic spectrometry	0267-9477	1364-5544	1986	1	1	2010	25	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-PSNV4S12-8		ark:/67375/8Q1-PSNV4S12-8		fulltext		Royal Society of Chemistry	serial								P	040645436
Journal of environmental monitoring	1464-0325	1464-0333	1999	1	1	2010	12	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-QKJQL7MB-K		ark:/67375/8Q1-QKJQL7MB-K		fulltext		Royal Society of Chemistry	serial								P	048899453
Journal of materials chemistry	0959-9428	1364-5501	1991	1	1	2010	20	48	https://revue-sommaire.istex.fr/ark:/67375/8Q1-GRL304BC-4		ark:/67375/8Q1-GRL304BC-4		fulltext		Royal Society of Chemistry	serial								P	040645398
Journal of the Chemical Society	2050-5442	2050-5469	1862	15		1877	32		https://revue-sommaire.istex.fr/ark:/67375/8Q1-6XZST9QT-G		ark:/67375/8Q1-6XZST9QT-G		fulltext		Royal Society of Chemistry	serial								P	163390282
Journal of the Chemical Society : A : Inorganic, physical, theoretical	0022-4944	2050-5582	1966			1971			https://revue-sommaire.istex.fr/ark:/67375/8Q1-T6CGS0VL-V		ark:/67375/8Q1-T6CGS0VL-V		fulltext		Royal Society of Chemistry	serial								P	163678995
Journal of the Chemical Society : Abstracts	0590-9791	2050-554X	1878	34		1924	126		https://revue-sommaire.istex.fr/ark:/67375/8Q1-1K7XNF0B-J		ark:/67375/8Q1-1K7XNF0B-J		fulltext		Royal Society of Chemistry	serial								P	163678944
Journal of the Chemical Society : B : Physical organic	0045-6470	2050-5590	1966			1971			https://revue-sommaire.istex.fr/ark:/67375/8Q1-7X0SMN59-M		ark:/67375/8Q1-7X0SMN59-M		fulltext		Royal Society of Chemistry	serial								P	163679002
Journal of the Chemical Society : C : Organic	0022-4952	2050-5604	1966			1971			https://revue-sommaire.istex.fr/ark:/67375/8Q1-KV769HCG-B		ark:/67375/8Q1-KV769HCG-B		fulltext		Royal Society of Chemistry	serial								P	163679010
Journal of the Chemical Society : Chemical communications	0022-4936	2050-5639	1972		1	1995		24	https://revue-sommaire.istex.fr/ark:/67375/8Q1-FXSP2QNS-3		ark:/67375/8Q1-FXSP2QNS-3		fulltext		Royal Society of Chemistry	serial								P	163679045
Journal of the Chemical Society : Dalton transactions (2001)	1472-7773	1364-5447	2001		21	2002		24	https://revue-sommaire.istex.fr/ark:/67375/8Q1-DZMXC371-C		ark:/67375/8Q1-DZMXC371-C		fulltext		Royal Society of Chemistry	serial								P	040645339
Journal of the Chemical Society : Faraday Transactions I	0300-9599	2050-5655	1972	68	1	1989	85	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-MCDLH5N4-N		ark:/67375/8Q1-MCDLH5N4-N		fulltext		Royal Society of Chemistry	serial								P	098254995
Journal of the Chemical Society : Faraday Transactions II	0300-9238	2050-5663	1972	68	1	1989	85	12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-DLB64ZW1-P		ark:/67375/8Q1-DLB64ZW1-P		fulltext		Royal Society of Chemistry	serial								P	098255541
Journal of the Chemical Society : Perkin transactions I	0300-922X	2050-8255	1972		1	1999		24	https://revue-sommaire.istex.fr/ark:/67375/8Q1-NLBM85TN-Z		ark:/67375/8Q1-NLBM85TN-Z		fulltext		Royal Society of Chemistry	serial								P	163679304
Journal of the Chemical Society : Perkin transactions II	0300-9580	2050-8239	1972		1	1999		12	https://revue-sommaire.istex.fr/ark:/67375/8Q1-6CQW2XRS-9		ark:/67375/8Q1-6CQW2XRS-9		fulltext		Royal Society of Chemistry	serial								P	163679282
Journal of the Chemical Society : Transactions	0368-1645	2050-5450	1878	33		1925	127		https://revue-sommaire.istex.fr/ark:/67375/8Q1-PHP9F3CR-4		ark:/67375/8Q1-PHP9F3CR-4		fulltext		Royal Society of Chemistry	serial								P	163390274
