publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Rechargeable Battery Electrolytes - Electrochemical Energy Storage From Liquids To Solids	9781839167379	9781839167577							https://doi.org/10.1039/9781839167577	Ma	10.1039/9781839167577		fulltext		Royal Society of Chemistry	monograph	2024	2024		1				P	
Bioprospecting Of Natural Sources For Cosmeceuticals	9781837670468	9781837672288							https://doi.org/10.1039/9781837672288		10.1039/9781837672288		fulltext		Royal Society of Chemistry	monograph	2024	2024		1	Kathuria			P	
Laser-based Techniques For Nanomaterials - Processing To Characterization	9781837671281	9781837673513							https://doi.org/10.1039/9781837673513		10.1039/9781837673513		fulltext		Royal Society of Chemistry	monograph	2024	2024	2	1	Kalarikkal	2752-745X		P	
Multi-functional Electrocatalysts - Fundamentals And Applications	9781837672431	9781837674497							https://doi.org/10.1039/9781837674497		10.1039/9781837674497		fulltext		Royal Society of Chemistry	monograph	2024	2024	46	1	Saji	1757-6733		P	
Advances In Photocatalysis, Electrocatalysis And Photoelectrocatalysis For Hydrogen Production	9781837672356	9781837674664							https://doi.org/10.1039/9781837674664		10.1039/9781837674664		fulltext		Royal Society of Chemistry	monograph	2024	2024	47	1	Balakrishna	1757-6733		P	
Flexible Metal–organic Frameworks - Structural Design, Synthesis And Properties	9781839164521	9781839166617							https://doi.org/10.1039/9781839166617		10.1039/9781839166617		fulltext		Royal Society of Chemistry	monograph	2024	2024	13	1	Kitagawa	2472-3827		P	
Developments In Biodiesel - Feedstock, Production, And Properties	9781837670604	9781837672530							https://doi.org/10.1039/9781837672530		10.1039/9781837672530		fulltext		Royal Society of Chemistry	monograph	2024	2024	84	1	Balakrishna	1757-7047		P	
Sensing Materials And Devices For Biomarkers	9781837672127	9781837673230							https://doi.org/10.1039/9781837673230		10.1039/9781837673230		fulltext		Royal Society of Chemistry	monograph	2024	2024	28	1	Mutreja	2052-3076		P	
Blue Bioeconomy - Value-added Products From Marine Algae And Microorganisms	9781837674039	9781837675654							https://doi.org/10.1039/9781837675654		10.1039/9781837675654		fulltext		Royal Society of Chemistry	monograph	2024	2024		1	Kapoor			P	
Nmr Of Metal–organic Frameworks And Covalent Organic Frameworks	9781839164385	9781839167287							https://doi.org/10.1039/9781839167287		10.1039/9781839167287		fulltext		Royal Society of Chemistry	monograph	2024	2024	35	1	Wang	2044-2548		P	
Glycoprotein Analysis	9781839163944	9781839166433							https://doi.org/10.1039/9781839166433		10.1039/9781839166433		fulltext		Royal Society of Chemistry	monograph	2024	2024	15	1	Struwe	2045-7553		P	
Characterisation Of Drug Nanocarriers	9781837670994	9781837672981							https://doi.org/10.1039/9781837672981		10.1039/9781837672981		fulltext		Royal Society of Chemistry	monograph	2024	2024	65	1	Vinković Vrček	1757-7144		P	
Epigenetic Drug Discovery	9781837671106	9781837674916							https://doi.org/10.1039/9781837674916		10.1039/9781837674916		fulltext		Royal Society of Chemistry	monograph	2024	2024	83	1	Chan	2041-3211		P	
Coordination Chemistry - Molecular Science Of Organic–inorganic Complexes	9781837670642	9781837673254							https://doi.org/10.1039/9781837673254		10.1039/9781837673254		fulltext		Royal Society of Chemistry	monograph	2024	2024	3	1	Tanase	2635-1501		P	
Active Colloids - From Fundamentals To Frontiers	9781837672073	9781837674589							https://doi.org/10.1039/9781837674589		10.1039/9781837674589		fulltext		Royal Society of Chemistry	monograph	2024	2024	20	1	Simmchen	2048-769X		P	
Lab-on-a-chip Devices For Advanced Biomedicines - Laboratory Scale Engineering To Clinical Ecosystem	9781837672370	9781837673476							https://doi.org/10.1039/9781837673476		10.1039/9781837673476		fulltext		Royal Society of Chemistry	monograph	2024	2024	25	1	Parihar	2052-3076		P	
Novel Materials And Water Purification - Towards A Sustainable Future	9781837670499	9781837671663							https://doi.org/10.1039/9781837671663		10.1039/9781837671663		fulltext		Royal Society of Chemistry	monograph	2024	2024	12	1	Kyriakopoulos	2516-2632		P	
Microbial Bioremediation And Multiomics Technologies For Sustainable Development - Recent Trends	9781837672714	9781837673131							https://doi.org/10.1039/9781837673131		10.1039/9781837673131		fulltext		Royal Society of Chemistry	monograph	2024	2024	13	1	Ameen	2516-2632		P	
Nuclear Magnetic Resonance - Volume 50	9781837675500	9781837675630							https://doi.org/10.1039/9781837675630		10.1039/9781837675630		fulltext		Royal Society of Chemistry	monograph	2024	2024	50	1	Hodgkinson	1465-1882		P	
Instrumental Analysis Of Coordination Compounds - Volume 1	9781837674800	9781837674978							https://doi.org/10.1039/9781837674978		10.1039/9781837674978		fulltext		Royal Society of Chemistry	monograph	2024	2024	4	1	Oshio	2635-1501		P	
Elemental Carbon	9781839164514	9781839169984							https://doi.org/10.1039/9781839169984		10.1039/9781839169984		fulltext		Royal Society of Chemistry	monograph	2024	2024	15	1	Harris	2472-3827		P	
Magnetic Nanoparticles - Materials Engineering, Properties And Applications	9781839167010	9781837672967							https://doi.org/10.1039/9781837672967		10.1039/9781837672967		fulltext		Royal Society of Chemistry	monograph	2024	2024	63	1	López-Ortega	1757-7144		P	
Field-effect Transistor Biosensors For Rapid Pathogen Detection	9781837670819	9781837673421							https://doi.org/10.1039/9781837673421		10.1039/9781837673421		fulltext		Royal Society of Chemistry	monograph	2024	2024	24	1	Al-Hardan	2052-3076		P	
Advanced Materials For Emerging Water Pollutant Removal	9781837671175	9781837675425							https://doi.org/10.1039/9781837675425		10.1039/9781837675425		fulltext		Royal Society of Chemistry	monograph	2024	2024	14	1	Goh	2516-2632		P	
Organometallic Chemistry - Volume 45	9781837674619	9781837676200							https://doi.org/10.1039/9781837676200		10.1039/9781837676200		fulltext		Royal Society of Chemistry	monograph	2024	2024	45	1	Bakewell	1465-1890		P	
Chronobiology And Chronomedicine - From Molecular And Cellular Mechanisms To Whole Body Interdigitating Networks	9781839162008	9781839167553							https://doi.org/10.1039/9781839167553		10.1039/9781839167553		fulltext		Royal Society of Chemistry	monograph	2024	2024	23	1	Cornelissen	2055-1983		P	
Organophosphorus Chemistry - Volume 52	9781837672165	9781837672738							https://doi.org/10.1039/9781837672738		10.1039/9781837672738		fulltext		Royal Society of Chemistry	monograph	2024	2024	52	1	Higham	1465-1904		P	
Sustainability In Tides Chemistry - Green Approaches To Oligonucleotides And Oligopeptides Synthesis	9781837672585	9781837674541							https://doi.org/10.1039/9781837674541		10.1039/9781837674541		fulltext		Royal Society of Chemistry	monograph	2024	2024	85	1	Tolomelli	1757-7047		P	
Functional Macromolecular Complexes	9781837674701	9781837675142							https://doi.org/10.1039/9781837675142		10.1039/9781837675142		fulltext		Royal Society of Chemistry	monograph	2024	2024	1	1	Yamamoto	3029-0619		P	
Biosensing Technology For Human Health - Eco-friendly Materials And Real-world Applications	9781837674213	9781837676323							https://doi.org/10.1039/9781837676323		10.1039/9781837676323		fulltext		Royal Society of Chemistry	monograph	2024	2024	27	1	Manjunatha	2052-3076		P	
Magnetic Resonance And Its Applications In Drug Formulation And Delivery	9781788017404	9781788019996							https://doi.org/10.1039/9781788019996		10.1039/9781788019996		fulltext		Royal Society of Chemistry	monograph	2024	2024	33	1	Mantle	2044-2548		P	
Mixed-anion Compounds	9781839165122	9781839166372							https://doi.org/10.1039/9781839166372		10.1039/9781839166372		fulltext		Royal Society of Chemistry	monograph	2024	2024		1	Kageyama			P	
Amino Acids, Peptides And Proteins - Volume 45	9781839167058	9781839169328							https://doi.org/10.1039/9781839169328		10.1039/9781839169328		fulltext		Royal Society of Chemistry	monograph	2024	2024	45	1	Ryadnov	1465-1912		P	
Residual Dipolar Couplings - Principles And Applications	9781839164293	9781839167898							https://doi.org/10.1039/9781839167898		10.1039/9781839167898		fulltext		Royal Society of Chemistry	monograph	2024	2024	31	1	Yao	2044-2548		P	
Neurotransmitters And Toxicology	9781839162176	9781839165795							https://doi.org/10.1039/9781839165795		10.1039/9781839165795		fulltext		Royal Society of Chemistry	monograph	2024	2024	48	1	Woodward	1757-7187		P	
Chemical Technologies In The Energy Transition	9781839162145	9781839165818							https://doi.org/10.1039/9781839165818		10.1039/9781839165818		fulltext		Royal Society of Chemistry	monograph	2024	2024	33	1	White	2044-0782		P	
Catalysis - Volume 35	9781837671816	9781837672035							https://doi.org/10.1039/9781837672035		10.1039/9781837672035		fulltext		Royal Society of Chemistry	monograph	2024	2024	35	1	Spivey	1465-1920		P	
Carbohydrate Chemistry - Chemical And Biological Approaches, Volume 46	9781837672172	9781837672844							https://doi.org/10.1039/9781837672844		10.1039/9781837672844		fulltext		Royal Society of Chemistry	monograph	2024	2024	46	1	Pilar Rauter	1465-1963		P	
Methodologies In Ether Synthesis	9781837672509	9781837675166							https://doi.org/10.1039/9781837675166	Taherinia	10.1039/9781837675166		fulltext		Royal Society of Chemistry	monograph	2024	2024		1				P	
Redox-based Catalytic Chemistry Of Transition Metal Complexes	9781837674695	9781837676484							https://doi.org/10.1039/9781837676484		10.1039/9781837676484		fulltext		Royal Society of Chemistry	monograph	2024	2024	2	1	Kojima	3029-0619		P	
Computational Catalysis	9781788018814	9781839163296							https://doi.org/10.1039/9781839163296		10.1039/9781839163296		fulltext		Royal Society of Chemistry	monograph	2024	2024	48	2	Asthagiri	1757-6733		P	
Unconventional Green Synthesis Of Inorganic Nanomaterials	9781788017756	9781839165757							https://doi.org/10.1039/9781839165757		10.1039/9781839165757		fulltext		Royal Society of Chemistry	monograph	2024	2024	14	1	Gross	2472-3827		P	
Chemical Modelling - Volume 18	9781837672493	9781837672554							https://doi.org/10.1039/9781837672554		10.1039/9781837672554		fulltext		Royal Society of Chemistry	monograph	2024	2024	18	1	Bahmann	1472-0973		P	
Nanoscience - Volume 10	9781837674084	9781837674138							https://doi.org/10.1039/9781837674138		10.1039/9781837674138		fulltext		Royal Society of Chemistry	monograph	2024	2024	10	1	Revaprasadu	2049-355X		P	
Medical Applications For Biocompatible Surfaces And Coatings	9781837674343	9781837675555							https://doi.org/10.1039/9781837675555		10.1039/9781837675555		fulltext		Royal Society of Chemistry	monograph	2024	2024		1	Kulkarni			P	
Photochemistry - Volume 52	9781837675807	9781837676552							https://doi.org/10.1039/9781837676552		10.1039/9781837676552		fulltext		Royal Society of Chemistry	monograph	2024	2024	52	1	Crespi	1465-1947		P	
Cardiovascular Nanomedicine	9781837670581	9781837671113							https://doi.org/10.1039/9781837671113		10.1039/9781837671113		fulltext		Royal Society of Chemistry	monograph	2024	2024	64	1	Narayan	1757-7144		P	
Critical Materials For A Low-carbon Economy	9781837674954	9781837675067							https://doi.org/10.1039/9781837675067	Segal	10.1039/9781837675067		fulltext		Royal Society of Chemistry	monograph	2024	2024		1				P	
S-heterocycles - Retrospect, Prospects, And Biological Applications	9781837674015	9781837674855							https://doi.org/10.1039/9781837674015		10.1039/9781837674015		fulltext		Royal Society of Chemistry	monograph	2024	2024		1	Kulkarni			P	
Click Chemistry In Polymer Science - Designs To Applications	9781839167072	9781839169885							https://doi.org/10.1039/9781839169885		10.1039/9781839169885		fulltext		Royal Society of Chemistry	monograph	2024	2024	39	1	Singha	2044-0804		P	
Male-mediated Developmental Toxicity	9781839167195	9781837670192							https://doi.org/10.1039/9781837670192		10.1039/9781837670192		fulltext		Royal Society of Chemistry	monograph	2024	2024	49	2	Anderson	1757-7187		P	
Exploring Natural Product Chemistry - The World In A Single Leaf	9781837674886	9781837675036							https://doi.org/10.1039/9781837675036	Hanley	10.1039/9781837675036		fulltext		Royal Society of Chemistry	monograph	2024	2024		1				P	
Biogenic Silica - Fundamentals And Applications	9781839165832	9781839169717							https://doi.org/10.1039/9781839169717		10.1039/9781839169717		fulltext		Royal Society of Chemistry	monograph	2024	2024		1	Nadda			P	
Transition Metal-based Nanofoams For Electrochemical Systems - Manufacturing, Characterization And Applications	9781837675081	9781837675111							https://doi.org/10.1039/9781837675111	de Fátima Montemor	10.1039/9781837675111		fulltext		Royal Society of Chemistry	monograph	2024	2024		1				P	
