publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	num_first_vol_onlinel
Analyst 	0003-2654	1364-5528	2008-01-01						http://dx.doi.org/10.1039/1364-5528/1876		an		fulltext	Incorporates: Analytical Communications											
Analytical Methods	1759-9660	1759-9679	2009-01-01						http://dx.doi.org/10.1039/1759-9679/2009		ay		fulltext	Free Access to Vols 1-2 (2009-2010)											
Biomaterials Science	2047-4830	2047-4849	2013-01-01						http://dx.doi.org/10.1039/2047-4849/2013		bm		fulltext												
CrystEngComm		1466-8033	2008-01-01						http://dx.doi.org/10.1039/1466-8033/1999		ce		fulltext												
Physical Chemistry Chemical Physics	1463-9076	1463-9084	2008-01-01						http://dx.doi.org/10.1039/1463-9084/1999		cp		fulltext	Previous: Journal of the Chemical Society, Faraday Transactions											
Catalysis Science & Technology	2044-4753	2044-4761	2011-01-01						http://dx.doi.org/10.1039/2044-4761/2011		cy		fulltext	Free Access to Vols 1-2 (2011-2012)											
Dalton Transactions	1477-9226	1477-9234	2008-01-01						http://dx.doi.org/10.1039/1477-9234/2003		dt		fulltext	Previously: Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1972-1999) Dalton (2000), Journal of the Chemical Society, Dalton Transactions (2001-2002)											
Energy & Environmental Science 	1754-5692	1754-5706	2008-01-01						http://dx.doi.org/10.1039/1754-5706/2008		ee		fulltext	Free Access to Vols 1-2 (2008-2009)											
Environmental Science: Nano	2051-8153	2051-8161	2014-01-01						http://dx.doi.org/10.1039/2051-8161/2014		en		fulltext	Free Access to Vols 1-2 (2014-2015)											
Environmental Science: Water Research & Technology	2053-1400		2015-01-01						http://pubs.rsc.org/en/journals/journalissues/ew		ew		fulltext	Free Access to Vols 1-2 (2015-2016)											
Food & Function	2042-6496	2042-650X	2010-01-01						http://dx.doi.org/10.1039/2042-650X/2010		fo		fulltext	Free Access to vols 1-2 (2010-2011)											
Green Chemistry	1463-9262	1463-9270	2008-01-01						http://dx.doi.org/10.1039/1463-9270/1999		gc		fulltext												
Integrative Biology	1757-9694	1757-9708	2009-01-01						http://dx.doi.org/10.1039/1757-9708/2009		ib		fulltext	Free Access Vols 1-2 (2009-2010)											
Lab on a Chip	1473-0197	1473-0189	2008-01-01						http://dx.doi.org/10.1039/1473-0189/2001		lc		fulltext												
Molecular BioSystems	1742-206X	1742-2051	2008-01-01						http://dx.doi.org/10.1039/1742-2051/2005		mb		fulltext												
MedChemComm	2040-2503	2040-2511	2010-01-01						http://dx.doi.org/10.1039/2040-2511/2010		md		fulltext	Free Access to Vols 1-2 (2010-2011)											
Metallomics	1756-5901	1756-591X	2009-01-01						http://dx.doi.org/10.1039/1756-591X/2009		mt		fulltext	Free Access to Vols 1-2 (2009-2010)											
Nanoscale	2040-3364	2040-3372	2009-01-01						http://dx.doi.org/10.1039/2040-3372/2009		nh		fulltext	Free Access to Vols 1-2 (2009-2010)											
Nanoscale	2040-3364	2040-3372	2009-01-01						http://dx.doi.org/10.1039/2040-3372/2009		nh		fulltext	Free Access to Vols 1-2 (2009-2010)											
New Journal of Chemistry 	1144-0546	1369-9261	2008-01-01						http://dx.doi.org/10.1039/1369-9261/1998		nj		fulltext												
Natural Product Reports 	0265-0568	1460-4752	2008-01-01						http://dx.doi.org/10.1039/1460-4752/1984		np		fulltext												
Organic & Biomolecular Chemistry	1477-0520	1477-0539	2008-01-01						http://dx.doi.org/10.1039/1477-0539/2003		ob		fulltext	Merged: Journal of the Chemical Society Perkin Transactions 1 and Journal of the Chemical Society Perkin Transactions 2											
Photochemical & Photobiological Sciences	1474-905X	1474-9092	2008-01-01						http://dx.doi.org/10.1039/1474-9092/2002		pp		fulltext												
Polymer Chemistry	1759-9954	1759-9954	2010-01-01						http://dx.doi.org/10.1039/1759-9962/2010		py		fulltext	Free Access to Vols 1-2 (2010-2011)											
RSC Advances		2046-2069	2011-01-01						http://dx.doi.org/10.1039/2046-2069/2011		ra		fulltext	Free Access to Vols 1-2 (2011-2012)											
Chemical Science	2041-6520	2041-6539	2010-01-01						http://dx.doi.org/10.1039/2041-6539/2010		sc		fulltext	Free Access Vols 1-2 (2010-2011) Open Access from 2015											
Soft Matter	1744-683X	1744-6848	2005-01-01						http://dx.doi.org/10.1039/1744-6848/2005		sm		fulltext												
Journal of Materials Chemistry A	2050-7488	2050-7496	2013-01-01						http://dx.doi.org/10.1039/2050-7496/2013		ta		fulltext	Also: Journal of Materials Chemistry A: Materials for energy and sustainability											
Journal of Materials Chemistry B	2050-750X	2050-7518	2013-01-01						http://dx.doi.org/10.1039/2050-7518/2013		tb		fulltext	Also: Journal of Materials Chemistry B: Materials for biology and medicine											
Journal of Materials Chemistry C	2050-7526	2050-7534	2013-01-01						http://dx.doi.org/10.1039/2050-7534/2013		tc		fulltext	Also: Journal of Materials Chemistry C: Materials for optical and electronic devices											
Toxicology Research	2045-452X	2045-4538	2012-01-01						http://dx.doi.org/10.1039/2045-4538/2012		tx		fulltext	Free Access to Vols 1-2 (2012-2013)											
