publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
A Practical Logic of Cognitive Systems	1874-5075		2003-01-01	1					http://www.sciencedirect.com/science/bookseries/18745075		18745075		fulltext			serial											1874-5075						Current	
AASRI Procedia	2212-6716		2012-01-01	1		2014-12-31	9		http://www.sciencedirect.com/science/journal/22126716		22126716		fulltext			serial									transfer out (2016)		2212-6716						Current	
ACC Current Journal Review	1062-1458		1995-01-01	4	1	2005-12-31	14	12	http://www.sciencedirect.com/science/journal/10621458		10621458		fulltext			serial									transfer out (2006)		1062-1458						Current	
ACOG Clinical Review	1085-6862		1996-01-01	1	5	2003-12-01	8	10	http://www.sciencedirect.com/science/journal/10856862		10856862		fulltext			serial									Transfer out:The American College of Obstetrics and Gynecology 2004		1085-6862						Current	
AEU - International Journal of Electronics and Communications	1434-8411		2001-01-01	55	1				http://www.sciencedirect.com/science/journal/14348411		14348411		fulltext			serial											1434-8411						Current	
AGARDograph	0365-2467		1964-01-01	68					http://www.sciencedirect.com/science/bookseries/03652467		03652467		fulltext			serial											0365-2467						Current	
AKCE International Journal of Graphs and Combinatorics	0972-8600		2015-07-01	12	1				http://www.sciencedirect.com/science/journal/09728600		09728600		fulltext			serial									Open Access		0972-8600						Current	
ALTER - European Journal of Disability Research / Revue Européenne de Recherche sur le Handicap	1875-0672		2007-11-01	1	1				http://www.sciencedirect.com/science/journal/18750672		18750672		fulltext			serial											1875-0672						Current	
AORN Journal	0001-2092	1878-0369	1963-01-01	1	1	2017-12-31			http://www.sciencedirect.com/science/journal/00012092		00012092		fulltext			Serial									Transfer out (2018): Wiley	10.1002/(ISSN)1878-0369	0001-2092	1878-0369					Current	
APCBEE Procedia	2212-6708		2012-01-01	1		2014-12-31	10		http://www.sciencedirect.com/science/journal/22126708		22126708		fulltext			serial									transfer out (2016)		2212-6708						Current	
APS Journal	1058-9139		1992-03-01	1	1	1994-12-31	3	4	http://www.sciencedirect.com/science/journal/10589139		10589139		fulltext			serial									now: The Journal of Pain (ISSN: 1526-5900; 2000- ); continued as: Pain Forum (ISSN: 1082-3174; 1995-2000)		1058-9139						Current	
AWHONN Lifelines	1091-5923	1552-6356	1997-02-01	1	1	2006-12-31	10	6	http://www.sciencedirect.com/science/journal/10915923		10915923		fulltext			serial									Now: Nursing for Women's Health	10.1111/(ISSN)1552-6356	1091-5923	1552-6356			2016-05-01		Current	
AZimuth	1387-6783		1998-01-01	1					http://www.sciencedirect.com/science/bookseries/13876783		13876783		fulltext			serial											1387-6783						Current	
Academic Pediatrics	1876-2859		2009-01-01	9	1				http://www.sciencedirect.com/science/journal/18762859		18762859		fulltext			serial									previously: Ambulatory Pediatrics (ISSN: 1530-1567; 2001-2008)		1876-2859						Current	
Academic Press Library in Signal Processing	2351-9819		2014-01-01	1					http://www.sciencedirect.com/science/bookseries/23519819		23519819		fulltext			serial											2351-9819						Current	
Academic Radiology	1076-6332		1994-09-01	1	1				http://www.sciencedirect.com/science/journal/10766332		10766332		fulltext			serial											1076-6332						Current	
Accident Analysis & Prevention	0001-4575		1969-07-01	1	1				http://www.sciencedirect.com/science/journal/00014575		00014575		fulltext			serial											0001-4575						Current	
Accident and Emergency Nursing	0965-2302		1993-01-01	1	1	2007-10-01	15	4	http://www.sciencedirect.com/science/journal/09652302		09652302		fulltext			serial									now: International Emergency Nursing (ISSN: 1755-599X; 2008- )		0965-2302						Current	
Accounting Forum	0155-9982	1467-6303	2004-03-01	28	1	2018-12-31	42	4	http://www.sciencedirect.com/science/journal/01559982		01559982		fulltext			serial									Transfer out (2019): T&F		0155-9982	1467-6303					Current	
Accounting, Management and Information Technologies	0959-8022		1991-01-01	1	1	2000-10-01	10	4	http://www.sciencedirect.com/science/journal/09598022		09598022		fulltext			serial									now: Information and Organization (ISSN: 1471-7727; 2001- )		0959-8022						Current	
Accounting, Organizations and Society	0361-3682		1976-01-01	1	1				http://www.sciencedirect.com/science/journal/03613682		03613682		fulltext			serial											0361-3682						Current	
Achievements in the Life Sciences	2078-1520		2014-06-01	8	1	2016-12-31	10	2	http://www.sciencedirect.com/science/journal/20781520		20781520		fulltext			serial									Transfer out (2017)		2078-1520						Current	
Acta Agronomica Sinica	1875-2780		2008-01-01	34	1	2012-02-28	38	2	http://www.sciencedirect.com/science/journal/18752780		18752780		fulltext			serial									Transferred: Crop Science Society		1875-2780						Current	
Acta Anaesthesiologica Taiwanica	1875-4597		2008-03-01	46	1	2016-12-31	54	4	http://www.sciencedirect.com/science/journal/18754597		18754597		fulltext			serial									Open Access from 2016. Now: Asian Journal of Anesthesiology		1875-4597						Current	
Acta Astronautica	0094-5765		1974-01-01	1	1				http://www.sciencedirect.com/science/journal/00945765		00945765		fulltext			serial											0094-5765						Current	
Acta Automatica Sinica	1874-1029		2007-01-01	33	1	2015-10-31	41	10	http://www.sciencedirect.com/science/journal/18741029		18741029		fulltext			serial									Ceased:2017		1874-1029						Current	
Acta Biomaterialia	1742-7061		2005-01-01	1	1				http://www.sciencedirect.com/science/journal/17427061		17427061		fulltext			serial											1742-7061						Current	
Acta Colombiana de Cuidado Intensivo	0122-7262		2015-01-01	15	1				http://www.sciencedirect.com/science/journal/01227262		01227262		fulltext			serial											0122-7262						Current	
Acta Ecologica Sinica	1872-2032		2006-01-01	26	1				http://www.sciencedirect.com/science/journal/18722032		18722032		fulltext			serial											1872-2032						Current	
Acta Genetica Sinica	1674-2958		2006-01-01	33	1	2006-12-01	33	12	http://www.sciencedirect.com/science/journal/03794172		03794172		fulltext			serial									now: Journal of Genetics and Genomics (ISSN: 1673-8527; 2007- ); previously: Yichuan xuebao (ISSN: 0379-4172; 1974-2005)		1674-2958						Current	
Acta Haematologica Polonica	0001-5814		2012-01-01	43	1	2017-12-31	48	4	http://www.sciencedirect.com/science/journal/00015814		00015814		fulltext			serial									Transfer out (2018)		0001-5814						Current	
Acta Histochemica	0065-1281		1976-01-01	55	1				http://www.sciencedirect.com/science/journal/00651281		00651281		fulltext			serial											0065-1281						Current	
Acta Materialia	1359-6454		1996-01-01	44	1				http://www.sciencedirect.com/science/journal/13596454		13596454		fulltext			serial									previously: Acta Metallurgica et Materialia (ISSN: 0956-7151; 1990-1995); absorbed in part (1999): Nanostructured Materials (ISSN: 0965-9773)		1359-6454						Current	
Acta Mathematica Scientia	0252-9602		2006-01-01	26	1	2018-11-30	38	6	http://www.sciencedirect.com/science/journal/02529602		02529602		fulltext			serial									Transfer out (2019): Springer		0252-9602						Current	
Acta Mechanica Solida Sinica	0894-9166	1860-2134	2006-03-01	19	1	2017-12-31	30	6	http://www.sciencedirect.com/science/journal/08949166		08949166		fulltext			serial									Transfer out (2018): Springer		0894-9166	1860-2134					Current	
Acta Metallurgica	0001-6160		1953-01-01	1	1	1989-12-01	37	12	http://www.sciencedirect.com/science/journal/00016160		00016160		fulltext			serial									Now:Acta Metallurgica et Materialia		0001-6160						Current	
Acta Metallurgica Sinica (English Letters)	1006-7191	2194-1289	2006-02-01	19	1	2009-12-01	22	6	http://www.sciencedirect.com/science/journal/10067191		10067191		fulltext			serial									Transfer out:the Chinese Society for Metals 2010		1006-7191	2194-1289					Current	
Acta Metallurgica et Materialia	0956-7151		1990-01-01	38	1	1995-12-01	43	12	http://www.sciencedirect.com/science/journal/09567151		09567151		fulltext			serial									now: Acta Materialia (ISSN: 1359-6454; 1996- ); previously: Acta Metallurgica		0956-7151						Current	
Acta Oecologica	1146-609X		1997-01-01	18	1				http://www.sciencedirect.com/science/journal/1146609X		1146609X		fulltext			serial											1146-609X						Current	
Acta Orthopaedica Traumatologica Turcica	1017-995X		2016-06-01	50					http://www.sciencedirect.com/science/journal/1017995X		1017995X		fulltext			serial									Open Access		1017-995X				2016-06-01		Current	
Acta Otorrinolaringologica (English Edition)	2173-5735		2007-01-01	58	1				http://www.sciencedirect.com/science/journal/21735735		21735735		fulltext			serial											2173-5735						Current	
Acta Otorrinolaringológica Española	0001-6519		2001-01-01	52	1				http://www.sciencedirect.com/science/journal/00016519		00016519		fulltext			serial											0001-6519						Current	
Acta Pharmaceutica Sinica B	2211-3835		2011-06-01	1	1				http://www.sciencedirect.com/science/journal/22113835		22113835		fulltext			serial									open access		2211-3835						Current	
Acta Physico-Chimica Sinica	1872-1508		2006-03-01	22	3	2008-12-01	24	12	http://www.sciencedirect.com/science/journal/18721508		18721508		fulltext			serial									Transfer out:the Chinese Chemical Society 2009		1872-1508						Current	
Acta Poética	0185-3082		2013-01-01	34	1	2015-12-31	36	2	http://www.sciencedirect.com/science/journal/01853082		01853082		fulltext			serial									Transfer out (2016)		0185-3082						Current	
Acta Psychologica	0001-6918		1936-01-01	1					http://www.sciencedirect.com/science/journal/00016918		00016918		fulltext			serial											0001-6918						Current	
Acta Sociológica (México)	0186-6028		2013-01-01	60		2017-12-31	74		http://www.sciencedirect.com/science/journal/01866028		01866028		fulltext			serial									Transfer out (2018)		0186-6028						Current	
Acta Tropica	0001-706X		1989-01-01	46	1				http://www.sciencedirect.com/science/journal/0001706X		0001706X		fulltext			serial											0001-706X						Current	
Acta Urológica Portuguesa	2341-4022		2014-09-01	31	1	2016-12-31	33	3	http://www.sciencedirect.com/science/journal/23414022		23414022		fulltext			serial									Transfer out (2017)		2341-4022						Current	
Acta de Investigación Psicológica	2007-4719		2013-04-01	3	1	2018-12-31	7	3	http://www.sciencedirect.com/science/journal/20074719		20074719		fulltext			serial									Transfer out (2018)		2007-4719						Current	
Actas Dermo-Sifiliográficas	0001-7310		2001-10-01	92	1				http://www.sciencedirect.com/science/journal/00017310		00017310		fulltext			serial											0001-7310						Current	
Actas Dermo-Sifiliográficas (English Edition)	1578-2190		2007-01-01	98	1				http://www.sciencedirect.com/science/journal/15782190		15782190		fulltext			serial											1578-2190						Current	
Actas Urológicas Españolas	0210-4806		1999-01-01	23	10				http://www.sciencedirect.com/science/journal/02104806		02104806		fulltext			serial											0210-4806						Current	
Actas Urológicas Españolas (English Edition)	2173-5786		2010-01-01	34	1				http://www.sciencedirect.com/science/journal/21735786		21735786		fulltext			serial											2173-5786						Current	
Actividad Dietética	1138-0322		2008-01-01	12	1	2010-10-31	14	4	http://www.sciencedirect.com/science/journal/11380322		11380322		fulltext			serial									Now:Revista Española de Nutrición Humana y Dietética		1138-0322						Current	
Actualités Pharmaceutiques	0515-3700		2008-01-01	47	470				http://www.sciencedirect.com/science/journal/05153700		05153700		fulltext			serial											0515-3700						Current	
Actualités Pharmaceutiques Hospitalières	1769-7344		2005-03-01	1	1	2012-02-01	8	29	http://www.sciencedirect.com/science/journal/17697344		17697344		fulltext			serial									ceased (2013)		1769-7344						Current	
Acupuncture and Related Therapies	2211-7660		2012-01-01	1	1	2016-12-31	4	4	http://www.sciencedirect.com/science/journal/22117660		22117660		fulltext			serial									Ceased: 2017		2211-7660						Current	
Acute Pain	1366-0071		1997-12-01	1	1	2009-12-31	11	3	http://www.sciencedirect.com/science/journal/13660071		13660071		fulltext			serial									ceased (2010)		1366-0071						Current	
Ad Hoc Networks	1570-8705		2003-07-01	1	1				http://www.sciencedirect.com/science/journal/15708705		15708705		fulltext			serial											1570-8705						Current	
Addictive Behaviors	0306-4603		1975-01-01	1	1				http://www.sciencedirect.com/science/journal/03064603		03064603		fulltext			serial											0306-4603						Current	
Addictive Behaviors Reports	2352-8532		2015-06-01	1					http://www.sciencedirect.com/science/journal/23528532		23528532		fulltext			serial									open access		2352-8532						Current	
Additive Manufacturing	2214-8604		2014-06-10	1	1				http://www.sciencedirect.com/science/journal/22148604		22148604		fulltext			serial											2214-8604						Current	
Additives for Polymers	0306-3747		1987-01-01	17	1				http://www.sciencedirect.com/science/journal/03063747		03063747		fulltext			serial											0306-3747						Current	
Adolescent and Pediatric Gynecology	0932-8610		1988-01-01	1	1	1995-12-31	8	4	http://www.sciencedirect.com/science/journal/09328610		09328610		fulltext			serial									now: Journal of Pediatric and Adolescent Gynecology (ISSN: 1083-3188; 1996- )		0932-8610						Current	
Advanced Cement Based Materials	1065-7355		1993-10-01	1	1	1998-10-31	8	4	http://www.sciencedirect.com/science/journal/10657355		10657355		fulltext			serial									absorbed by (1998): Cement and Concrete Research (ISSN: 0008-8846)		1065-7355						Current	
Advanced Drug Delivery Reviews	0169-409X		1987-05-01	1	1				http://www.sciencedirect.com/science/journal/0169409X		0169409X		fulltext			serial											0169-409X						Current	
Advanced Energy Conversion	0365-1789		1961-01-01	1		1968-02-01	7	4	http://www.sciencedirect.com/science/journal/03651789		03651789		fulltext			serial									Now:Energy Conversion		0365-1789						Current	
Advanced Engineering Informatics	1474-0346		2002-01-01	16	1				http://www.sciencedirect.com/science/journal/14740346		14740346		fulltext			serial									previously: Artificial Intelligence in Engineering (ISSN: 0954-1810; 1989-2001)		1474-0346						Current	
Advanced Industrial and Engineering Polymer Research		2542-5048	2018-10-18	1	1				https://www.sciencedirect.com/journal/advanced-industrial-and-engineering-polymer-research		55812		fulltext			serial									New for 2018. Open Access			2542-5048			2018-10-01		Current	
Advanced Powder Technology	0921-8831	1568-5527	1990-01-01	1	1				http://www.sciencedirect.com/science/journal/09218831		09218831		fulltext			serial									transfer in (2009): Brill		0921-8831	1568-5527					Current	
Advances In Atomic, Molecular, and Optical Physics	1049-250X		1989-01-01	26					http://www.sciencedirect.com/science/bookseries/1049250X		1049250X		fulltext			serial									previously: Advances in Atomic and Molecular Physics;		1049-250X						Current	
Advances in Accounting	0882-6110		2000-01-01	17					http://www.sciencedirect.com/science/journal/08826110		08826110		fulltext			serial									absorbed (2007): Advances in International Accounting (ISSN: 0897-3660)		0882-6110						Current	
Advances in Agronomy	0065-2113		1949-01-01	1					http://www.sciencedirect.com/science/bookseries/00652113		00652113		fulltext			serial											0065-2113						Current	
Advances in Alicyclic Chemistry	0065-2121		1966-01-01	1					http://www.sciencedirect.com/science/bookseries/00652121		00652121		fulltext			serial											0065-2121						Current	
Advances in Anesthesia	0737-6146		2005-01-01	23					http://www.sciencedirect.com/science/journal/07376146		07376146		fulltext			serial											0737-6146						Current	
Advances in Antiviral Drug Design	1075-8593		1996-01-01	2					http://www.sciencedirect.com/science/bookseries/10758593		10758593		fulltext			serial											1075-8593						Current	
Advances in Applied Mathematics	0196-8858		1980-03-01	1	1				http://www.sciencedirect.com/science/journal/01968858		01968858		fulltext			serial											0196-8858						Current	
Advances in Applied Mechanics	0065-2156		1948-01-01	1					http://www.sciencedirect.com/science/bookseries/00652156		00652156		fulltext			serial											0065-2156						Current	
Advances in Applied Microbiology	0065-2164		1959-01-01	1					http://www.sciencedirect.com/science/bookseries/00652164		00652164		fulltext			serial											0065-2164						Current	
Advances in Astronomy and Astrophysics	0065-2180		1962-01-01	1					http://www.sciencedirect.com/science/bookseries/00652180		00652180		fulltext			serial											0065-2180						Current	
Advances in Atomic and Molecular Physics	0065-2199		1965-01-01	1		1989-12-31	25		http://www.sciencedirect.com/science/bookseries/00652199		00652199		fulltext			serial									now: Advances In Atomic, Molecular, and Optical Physics;		0065-2199						Current	
Advances in Behavioral Pharmacology	0147-071X		1977-01-01	1					http://www.sciencedirect.com/science/bookseries/0147071X		0147071X		fulltext			serial											0147-071X						Current	
Advances in Behaviour Research and Therapy	0146-6402		1977-01-01	1	1	1994-12-31	16	4	http://www.sciencedirect.com/science/journal/01466402		01466402		fulltext			serial									Ceased:1995		0146-6402						Current	
Advances in Biological Regulation	2212-4926		2012-01-01	52	1				http://www.sciencedirect.com/science/journal/22124926		22124926		fulltext			serial									previously: Advances in Enzyme Regulation (ISSN: 0065-2571; 1963-2011)		2212-4926						Current	
Advances in Biological and Medical Physics	0065-2245		1948-01-01	1					http://www.sciencedirect.com/science/bookseries/00652245		00652245		fulltext			serial											0065-2245						Current	
Advances in Biomarker Sciences and Technology		2543-1064	2019-06-01	1	1				https://www.sciencedirect.com/journal/advances-in-biomarker-sciences-and-technology		57125		fulltext			serial									New for 2019. Open Access			2543-1064			2019-06-01		Current	
Advances in Biophysics	0065-227X		1982-01-01	15		2004-12-31	38		http://www.sciencedirect.com/science/journal/0065227X		0065227X		fulltext			serial									Transfer out:Japan Scientific Society Press 2005		0065-227X						Current	
Advances in Botanical Research	0065-2296		1963-01-01	1					http://www.sciencedirect.com/science/bookseries/00652296		00652296		fulltext			serial											0065-2296						Current	
Advances in Cancer Research	0065-230X	2162-5557	1953-01-01	1					http://www.sciencedirect.com/science/bookseries/0065230X		0065230X		fulltext			serial									Book Series		0065-230X	2162-5557					Current	
