publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Seminars in Nuclear Medicine	0001-2998								http://www.sciencedirect.com/science/journal/00012998		00012998													
Accident Analysis & Prevention	0001-4575								http://www.sciencedirect.com/science/journal/00014575		00014575													
Acta Psychologica	0001-6918								http://www.sciencedirect.com/science/journal/00016918		00016918													
Acta Tropica	0001-706X								http://www.sciencedirect.com/science/journal/0001706X		0001706X													
Advances in Colloid and Interface Science	0001-8686								http://www.sciencedirect.com/science/journal/00018686		00018686													
Advances in Mathematics	0001-8708								http://www.sciencedirect.com/science/journal/00018708		00018708													
Journal of Vocational Behavior	0001-8791								http://www.sciencedirect.com/science/journal/00018791		00018791													
Journal of the American Dietetic Association	0002-8223								http://www.sciencedirect.com/science/journal/00028223		00028223													
American Heart Journal	0002-8703								http://www.sciencedirect.com/science/journal/00028703		00028703													
The American Journal of Cardiology	0002-9149								http://www.sciencedirect.com/science/journal/00029149		00029149													
American Journal of Obstetrics and Gynecology	0002-9378								http://www.sciencedirect.com/science/journal/00029378		00029378													
American Journal of Ophthalmology	0002-9394								http://www.sciencedirect.com/science/journal/00029394		00029394													
The American Journal of Surgery	0002-9610								http://www.sciencedirect.com/science/journal/00029610		00029610													
Analytica Chimica Acta	0003-2670								http://www.sciencedirect.com/science/journal/00032670		00032670													
Analytical Biochemistry	0003-2697								http://www.sciencedirect.com/science/journal/00032697		00032697													
Animal Behaviour	0003-3472								http://www.sciencedirect.com/science/journal/00033472		00033472													
Annales de Cardiologie et d'Angéiologie	0003-3928								http://www.sciencedirect.com/science/journal/00033928		00033928													
Annales de Génétique	0003-3995								http://www.sciencedirect.com/science/journal/00033995		00033995													
Annales d'Endocrinologie	0003-4266								http://www.sciencedirect.com/science/journal/00034266		00034266													
Annales des Sciences Naturelles - Zoologie et Biologie Animale	0003-4339								http://www.sciencedirect.com/science/journal/00034339		00034339													
Annales d'Urologie	0003-4401								http://www.sciencedirect.com/science/journal/00034401		00034401													
Annales Médico-psychologiques, revue psychiatrique	0003-4487								http://www.sciencedirect.com/science/journal/00034487		00034487													
Annals of Physics	0003-4916								http://www.sciencedirect.com/science/journal/00034916		00034916													
L'Année Biologique	0003-5017								http://www.sciencedirect.com/science/journal/00035017		00035017													
L'Anthropologie	0003-5521								http://www.sciencedirect.com/science/journal/00035521		00035521													
Applied Acoustics	0003-682X								http://www.sciencedirect.com/science/journal/0003682X		0003682X													
Applied Ergonomics	0003-6870								http://www.sciencedirect.com/science/journal/00036870		00036870													
Archiv für Protistenkunde	0003-9365								http://www.sciencedirect.com/science/journal/00039365		00039365													
Archives of Biochemistry and Biophysics	0003-9861								http://www.sciencedirect.com/science/journal/00039861		00039861													
Archives of Oral Biology	0003-9969								http://www.sciencedirect.com/science/journal/00039969		00039969													
Artificial Intelligence	0004-3702								http://www.sciencedirect.com/science/journal/00043702		00043702													
Automatica	0005-1098								http://www.sciencedirect.com/science/journal/00051098		00051098													
Biochimica et Biophysica Acta (BBA) - Bioenergetics	0005-2728								http://www.sciencedirect.com/science/journal/00052728		00052728													
Biochimica et Biophysica Acta (BBA) - Biomembranes	0005-2736								http://www.sciencedirect.com/science/journal/00052736		00052736													
Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism	0005-2760								http://www.sciencedirect.com/science/journal/00052760		00052760													
Behavior Therapy	0005-7894								http://www.sciencedirect.com/science/journal/00057894		00057894													
Journal of Behavior Therapy and Experimental Psychiatry	0005-7916								http://www.sciencedirect.com/science/journal/00057916		00057916													
Behaviour Research and Therapy	0005-7967								http://www.sciencedirect.com/science/journal/00057967		00057967													
Biochemical and Biophysical Research Communications	0006-291X								http://www.sciencedirect.com/science/journal/0006291X		0006291X													
Biochemical Pharmacology	0006-2952								http://www.sciencedirect.com/science/journal/00062952		00062952													
Biological Conservation	0006-3207								http://www.sciencedirect.com/science/journal/00063207		00063207													
Biological Psychiatry	0006-3223								http://www.sciencedirect.com/science/journal/00063223		00063223													
Brain Research	0006-8993								http://www.sciencedirect.com/science/journal/00068993		00068993													
British Homoeopathic Journal	0007-0785								http://www.sciencedirect.com/science/journal/00070785		00070785													
British Journal of Plastic Surgery	0007-1226								http://www.sciencedirect.com/science/journal/00071226		00071226													
British Veterinary Journal	0007-1935								http://www.sciencedirect.com/science/journal/00071935		00071935													
Bulletin des Sciences Mathématiques	0007-4497								http://www.sciencedirect.com/science/journal/00074497		00074497													
Business Horizons	0007-6813								http://www.sciencedirect.com/science/journal/00076813		00076813													
CIRP Annals - Manufacturing Technology	0007-8506								http://www.sciencedirect.com/science/journal/00078506		00078506													
Canadian Institute Food Technology Journal	0008-3860								http://www.sciencedirect.com/science/journal/00083860		00083860													
Canadian Journal of Ophthalmology / Journal Canadien d'Ophtalmologie	0008-4182								http://www.sciencedirect.com/science/journal/00084182		00084182													
Carbohydrate Research	0008-6215								http://www.sciencedirect.com/science/journal/00086215		00086215													
Carbon	0008-6223								http://www.sciencedirect.com/science/journal/00086223		00086223													
Cellular Immunology	0008-8749								http://www.sciencedirect.com/science/journal/00088749		00088749													
Cement and Concrete Research	0008-8846								http://www.sciencedirect.com/science/journal/00088846		00088846													
Chemical Engineering Science	0009-2509								http://www.sciencedirect.com/science/journal/00092509		00092509													
Chemical Geology	0009-2541								http://www.sciencedirect.com/science/journal/00092541		00092541													
Chemical Physics Letters	0009-2614								http://www.sciencedirect.com/science/journal/00092614		00092614													
Chemico-Biological Interactions	0009-2797								http://www.sciencedirect.com/science/journal/00092797		00092797													
Chemie der Erde - Geochemistry	0009-2819								http://www.sciencedirect.com/science/journal/00092819		00092819													
Chemistry and Physics of Lipids	0009-3084								http://www.sciencedirect.com/science/journal/00093084		00093084													
Clinica Chimica Acta	0009-8981								http://www.sciencedirect.com/science/journal/00098981		00098981													
Clinical Biochemistry	0009-9120								http://www.sciencedirect.com/science/journal/00099120		00099120													
Clinical Radiology	0009-9260								http://www.sciencedirect.com/science/journal/00099260		00099260													
Cognition	0010-0277								http://www.sciencedirect.com/science/journal/00100277		00100277													
Cognitive Psychology	0010-0285								http://www.sciencedirect.com/science/journal/00100285		00100285													
Combustion and Flame	0010-2180								http://www.sciencedirect.com/science/journal/00102180		00102180													
Composites	0010-4361								http://www.sciencedirect.com/science/journal/00104361		00104361													
Comprehensive Psychiatry	0010-440X								http://www.sciencedirect.com/science/journal/0010440X		0010440X													
Computer-Aided Design	0010-4485								http://www.sciencedirect.com/science/journal/00104485		00104485													
Computer Physics Communications	0010-4655								http://www.sciencedirect.com/science/journal/00104655		00104655													
Computers and Biomedical Research	0010-4809								http://www.sciencedirect.com/science/journal/00104809		00104809													
Computers in Biology and Medicine	0010-4825								http://www.sciencedirect.com/science/journal/00104825		00104825													
Contraception	0010-7824								http://www.sciencedirect.com/science/journal/00107824		00107824													
Coordination Chemistry Reviews	0010-8545								http://www.sciencedirect.com/science/journal/00108545		00108545													
Cor et Vasa	0010-8650								http://www.sciencedirect.com/science/journal/00108650		00108650													
Corrosion Science	0010-938X								http://www.sciencedirect.com/science/journal/0010938X		0010938X													
Cortex	0010-9452								http://www.sciencedirect.com/science/journal/00109452		00109452													
Cryobiology	0011-2240								http://www.sciencedirect.com/science/journal/00112240		00112240													
Cryogenics	0011-2275								http://www.sciencedirect.com/science/journal/00112275		00112275													
Current Problems in Surgery	0011-3840								http://www.sciencedirect.com/science/journal/00113840		00113840													
Disease-a-Month	0011-5029								http://www.sciencedirect.com/science/journal/00115029		00115029													
Dental Abstracts	0011-8486								http://www.sciencedirect.com/science/journal/00118486		00118486													
Desalination	0011-9164								http://www.sciencedirect.com/science/journal/00119164		00119164													
