publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
AORN Journal	0001-2092								http://www.sciencedirect.com/science/journal/00012092		00012092													
Seminars in Nuclear Medicine	0001-2998								http://www.sciencedirect.com/science/journal/00012998		00012998													
Chirurgie	0001-4001								http://www.sciencedirect.com/science/journal/00014001		00014001													
Accident Analysis & Prevention	0001-4575								http://www.sciencedirect.com/science/journal/00014575		00014575													
Acta Haematologica Polonica	0001-5814								http://www.sciencedirect.com/science/journal/00015814		00015814													
Acta Metallurgica	0001-6160								http://www.sciencedirect.com/science/journal/00016160		00016160													
Acta OtorrinolaringolÃ³gica EspaÃ±ola	0001-6519								http://www.sciencedirect.com/science/journal/00016519		00016519													
Acta Psychologica	0001-6918								http://www.sciencedirect.com/science/journal/00016918		00016918													
Acta Tropica	0001-706X								http://www.sciencedirect.com/science/journal/0001706X		0001706X													
Actas Dermo-SifiliogrÃ¡ficas	0001-7310								http://www.sciencedirect.com/science/journal/00017310		00017310													
Advances in Colloid and Interface Science	0001-8686								http://www.sciencedirect.com/science/journal/00018686		00018686													
Advances in Mathematics	0001-8708								http://www.sciencedirect.com/science/journal/00018708		00018708													
Advances in Molecular Relaxation Processes	0001-8716								http://www.sciencedirect.com/science/journal/00018716		00018716													
Journal of Vocational Behavior	0001-8791								http://www.sciencedirect.com/science/journal/00018791		00018791													
Agricultural Meteorology	0002-1571								http://www.sciencedirect.com/science/journal/00021571		00021571													
Alpha Omegan	0002-6417								http://www.sciencedirect.com/science/journal/00026417		00026417													
Journal of the American Academy of Child Psychiatry	0002-7138								http://www.sciencedirect.com/science/journal/00027138		00027138													
Journal of the American Dietetic Association	0002-8223								http://www.sciencedirect.com/science/journal/00028223		00028223													
American Heart Journal	0002-8703								http://www.sciencedirect.com/science/journal/00028703		00028703													
The American Journal of Cardiology	0002-9149								http://www.sciencedirect.com/science/journal/00029149		00029149													
The American Journal of Gastroenterology	0002-9270								http://www.sciencedirect.com/science/journal/00029270		00029270													
The American Journal of Human Genetics	0002-9297	1537-6605							http://www.sciencedirect.com/science/journal/00029297		00029297													
The American Journal of Medicine	0002-9343								http://www.sciencedirect.com/science/journal/00029343		00029343													
American Journal of Obstetrics and Gynecology	0002-9378								http://www.sciencedirect.com/science/journal/00029378		00029378													
American Journal of Ophthalmology	0002-9394								http://www.sciencedirect.com/science/journal/00029394		00029394													
American Journal of Orthodontics	0002-9416								http://www.sciencedirect.com/science/journal/00029416		00029416													
The American Journal of Pathology	0002-9440								http://www.sciencedirect.com/science/journal/00029440		00029440													
The American Journal of Surgery	0002-9610								http://www.sciencedirect.com/science/journal/00029610		00029610													
Analytica Chimica Acta	0003-2670								http://www.sciencedirect.com/science/journal/00032670		00032670													
Analytical Biochemistry	0003-2697								http://www.sciencedirect.com/science/journal/00032697		00032697													
Journal of the Anatomical Society of India	0003-2778								http://www.sciencedirect.com/science/journal/00032778		00032778													
AngiologÃ­a	0003-3170								http://www.sciencedirect.com/science/journal/00033170		00033170													
Animal Behaviour	0003-3472								http://www.sciencedirect.com/science/journal/00033472		00033472													
Annales de Cardiologie et d'AngÃ©iologie	0003-3928								http://www.sciencedirect.com/science/journal/00033928		00033928													
Annales de Chirurgie	0003-3944								http://www.sciencedirect.com/science/journal/00033944		00033944													
Annales de GÃ©nÃ©tique	0003-3995								http://www.sciencedirect.com/science/journal/00033995		00033995													
Annales d'Endocrinologie	0003-4266								http://www.sciencedirect.com/science/journal/00034266		00034266													
Annales des Sciences Naturelles - Zoologie et Biologie Animale	0003-4339								http://www.sciencedirect.com/science/journal/00034339		00034339													
Annales d'Otolaryngologie et de Chirurgie Cervico-faciale	0003-438X								http://www.sciencedirect.com/science/journal/0003438X		0003438X													
Annales d'Urologie	0003-4401								http://www.sciencedirect.com/science/journal/00034401		00034401													
Annales MÃ©dico-psychologiques, revue psychiatrique	0003-4487								http://www.sciencedirect.com/science/journal/00034487		00034487													
Annales Pharmaceutiques FranÃ§aises	0003-4509								http://www.sciencedirect.com/science/journal/00034509		00034509													
Annals of Mathematical Logic	0003-4843								http://www.sciencedirect.com/science/journal/00034843		00034843													
The Annals of Occupational Hygiene	0003-4878	1475-3162							http://www.sciencedirect.com/science/journal/00034878		00034878				Oxford University Press									
Annals of Physics	0003-4916								http://www.sciencedirect.com/science/journal/00034916		00034916													
The Annals of Thoracic Surgery	0003-4975								http://www.sciencedirect.com/science/journal/00034975		00034975													
L'AnnÃ©e Biologique	0003-5017								http://www.sciencedirect.com/science/journal/00035017		00035017													
L'Anthropologie	0003-5521								http://www.sciencedirect.com/science/journal/00035521		00035521													
Applied Acoustics	0003-682X								http://www.sciencedirect.com/science/journal/0003682X		0003682X													
Applied Ergonomics	0003-6870								http://www.sciencedirect.com/science/journal/00036870		00036870													
Archiv fÃ¼r Protistenkunde	0003-9365								http://www.sciencedirect.com/science/journal/00039365		00039365													
Archives of Biochemistry and Biophysics	0003-9861								http://www.sciencedirect.com/science/journal/00039861		00039861													
Archives of Oral Biology	0003-9969								http://www.sciencedirect.com/science/journal/00039969		00039969													
Archives of Physical Medicine and Rehabilitation	0003-9993								http://www.sciencedirect.com/science/journal/00039993		00039993													
Artificial Intelligence	0004-3702								http://www.sciencedirect.com/science/journal/00043702		00043702													
Atmospheric Environment (1967)	0004-6981								http://www.sciencedirect.com/science/journal/00046981		00046981													
Australian Journal of Physiotherapy	0004-9514								http://www.sciencedirect.com/science/journal/00049514		00049514													
Automatica	0005-1098								http://www.sciencedirect.com/science/journal/00051098		00051098													
Biochimica et Biophysica Acta (BBA) - Bioenergetics	0005-2728								http://www.sciencedirect.com/science/journal/00052728		00052728													
Biochimica et Biophysica Acta (BBA) - Biomembranes	0005-2736								http://www.sciencedirect.com/science/journal/00052736		00052736													
Biochimica et Biophysica Acta (BBA) - Enzymology	0005-2744								http://www.sciencedirect.com/science/journal/00052744		00052744													
Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism	0005-2760								http://www.sciencedirect.com/science/journal/00052760		00052760													
Biochimica et Biophysica Acta (BBA) - Nucleic Acids and Protein Synthesis	0005-2787								http://www.sciencedirect.com/science/journal/00052787		00052787													
Biochimica et Biophysica Acta (BBA) - Protein Structure	0005-2795								http://www.sciencedirect.com/science/journal/00052795		00052795													
Behavior Therapy	0005-7894								http://www.sciencedirect.com/science/journal/00057894		00057894													
Journal of Behavior Therapy and Experimental Psychiatry	0005-7916								http://www.sciencedirect.com/science/journal/00057916		00057916													
Behaviour Research and Therapy	0005-7967								http://www.sciencedirect.com/science/journal/00057967		00057967													
BeitrÃ¤ge zur Pathologie	0005-8165								http://www.sciencedirect.com/science/journal/00058165		00058165													
Biochemical and Biophysical Research Communications	0006-291X								http://www.sciencedirect.com/science/journal/0006291X		0006291X													
Biochemical Medicine	0006-2944								http://www.sciencedirect.com/science/journal/00062944		00062944													
Biochemical Pharmacology	0006-2952								http://www.sciencedirect.com/science/journal/00062952		00062952													
Biochimica et Biophysica Acta	0006-3002								http://www.sciencedirect.com/science/journal/00063002		00063002													
