publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs
Pathology	0031-3025	1465-3931	1969-01-01	1	1				http://www.sciencedirect.com/science/journal/aip/00313025		00313025		fulltext			serial										0031-3025	1465-3931	
The Year Book of Neurology, Psychiatry and Endocrinology	0887-3941		1934-01-01			1945-12-31			http://www.elsevier.com/journals/year-book-of-endocrinology/0084-3741		0084-3741			Print only; now: Yearbook of Endocrinology 1950- ; previously: split The Year Book of Endocrinology, Metabolism and Nutrition 1946-1949; The Year Book of Neurology, Psychiatry and Neurosurgery 1946-1949		serial										0887-3941		
Yearbook of Cancer (book series)	0084-3679		1957-01-01			1988-12-31			http://www.elsevier.com/journals/year-book-of-oncology/1040-1741		1040-1741			Print only; now: Yearbook of Oncology		serial										0084-3679		
Atmospheric Pollution Research	1309-1042		2010-01-01	1	1				http://www.sciencedirect.com/science/journal/aip/13091042		13091042		fulltext			serial										1309-1042		
Intellectual Economics	1822-8011		2015-08-01						http://www.sciencedirect.com/science/journal/1822801		1822801		fulltext	Open Access		serial								F		1822-8011		
Journal of Cancer Research and Practice	2311-3006		2015-11-01						http://www.sciencedirect.com/science/journal/aip/23113006		23113006		fulltext			serial										2311-3006		
Development Engineering	2352-7285		2015-11-10						http://www.sciencedirect.com/science/journal/aip/23527285		23527285		fulltext	Open Access		serial								F		2352-7285		
Synthetic and Systems Biotechnology	2405-805X		2016-12-08	1	1				http://www.sciencedirect.com/science/journal/aip/2405805X		2405805X		fulltext	Open Access		serial								F		2405-805X		
Advances in Radiation Oncology	2452-1094		2015-12-01	1	1				http://www.sciencedirect.com/science/journal/aip/24521094		24521094		fulltext	Open Access		serial								F		2452-1094		
Journal of Disease Cause and Control	2452-2228		2015-12-01	1	1				http://www.sciencedirect.com/science/journal/aip/24522228		24522228		fulltext	Open Access		serial								F		2452-2228		
Turkish Journal of Emergency Medicine	2452-2473		2015-11-01	1	1				http://www.sciencedirect.com/science/journal/aip/24522473		24522473		fulltext	Open Access		serial								F		2452-2473		
Kasetsart Journal of Social Sciences	2452-3151		2016-01-01						http://www.sciencedirect.com/science/journal/aip/24523151		24523151		fulltext	Open Access		serial								F		2452-3151		
Agriculture and Natural Resources	2452-316X		2016-01-01						http://www.sciencedirect.com/science/journal/aip/2452316X		2452316X		fulltext	Open Access		serial								F		2452-316X		
Journal of Oncological Science	2452-3364		2015-12-01	1	1				http://www.sciencedirect.com/science/journal/aip/24523364		24523364		fulltext	Open Access		serial								F		2452-3364		
Journal of Ocean Engineering and Science	2468-0133		2016-01-01						http://www.sciencedirect.com/science/journal/aip/24680133		24680133		fulltext	Open Access		serial								F		2468-0133		
Matter and Radiation at Extremes	2468-080X		2015-12-11	1	1				http://www.sciencedirect.com/science/journal/aip/2468080X		2468080X		fulltext	Open Access		serial								F		2468-080X		
Rangeland Ecology & Management	1550-7424	1551-5028	2005-01-01	58	1				http://www.sciencedirect.com/science/journal/15507424/60		60		fulltext			serial										1550-7424	1551-5028	
RAI Revista de Administração e Inovação		1809-2039	2016-05-01						RAI Revista de Administração e Inovação		RAI Revista de Administração e Inovação		fulltext	Open Access. new for 2016		serial											1809-2039	
