publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	undefined	coverage_notes
AORN Journal	0001-2092	1878-0369	1963-01-01	1	1				http://www.sciencedirect.com/science/journal/00012092		00012092		fulltext			serial										0001-2092	1878-0369				
Seminars in Nuclear Medicine	0001-2998		1971-01-01	1	1				http://www.sciencedirect.com/science/journal/00012998		00012998		fulltext			serial										0001-2998					
Chirurgie	0001-4001		1998-02-01	123	1	1999-12-01	124	6	http://www.sciencedirect.com/science/journal/00014001		00014001		fulltext	Merged:Annales de Chirurgie		serial										0001-4001					
Accident Analysis & Prevention	0001-4575		1969-07-01	1	1				http://www.sciencedirect.com/science/journal/00014575		00014575		fulltext			serial										0001-4575					
Acta Haematologica Polonica	0001-5814		2012-01-01	43	1				http://www.sciencedirect.com/science/journal/00015814		00015814		fulltext			serial										0001-5814					
Acta Metallurgica	0001-6160		1953-01-01	1	1	1989-12-01	37	12	http://www.sciencedirect.com/science/journal/00016160		00016160		fulltext	Now:Acta Metallurgica et Materialia		serial										0001-6160					
Acta Otorrinolaringológica Española	0001-6519		2001-01-01	52	1				http://www.sciencedirect.com/science/journal/00016519		00016519		fulltext			serial										0001-6519					
Acta Psychologica	0001-6918		1936-01-01	1					http://www.sciencedirect.com/science/journal/00016918		00016918		fulltext			serial										0001-6918					
Acta Tropica	0001-706X		1989-01-01	46	1				http://www.sciencedirect.com/science/journal/0001706X		0001706X		fulltext			serial										0001-706X					
Actas Dermo-Sifiliográficas	0001-7310		2001-10-01	92	1				http://www.sciencedirect.com/science/journal/00017310		00017310		fulltext			serial										0001-7310					
Advances in Colloid and Interface Science	0001-8686		1967-03-01	1	1				http://www.sciencedirect.com/science/journal/00018686		00018686		fulltext			serial										0001-8686					
Advances in Mathematics	0001-8708		1961-01-01	1	1				http://www.sciencedirect.com/science/journal/00018708		00018708		fulltext			serial										0001-8708					
Advances in Molecular Relaxation Processes	0001-8716		1967-11-01	1	1	1977-01-01	9	3	http://www.sciencedirect.com/science/journal/00018716		00018716		fulltext	Now:Advances in Molecular Relaxation and Interaction Processes		serial										0001-8716					
Journal of Vocational Behavior	0001-8791		1971-01-01	1	1				http://www.sciencedirect.com/science/journal/00018791		00018791		fulltext			serial										0001-8791					
Agricultural Meteorology	0002-1571		1964-03-01	1	1	1984-01-01	30	4	http://www.sciencedirect.com/science/journal/00021571		00021571		fulltext	Now:Agricultural and Forest Meteorology		serial										0002-1571					
Alpha Omegan	0002-6417		2006-03-01	99	1	2010-12-01	103	4	http://www.sciencedirect.com/science/journal/00026417		00026417		fulltext	Transfer out:Mediconcept 2011		serial										0002-6417					
Journal of the American Academy of Child Psychiatry	0002-7138		1962-01-01	1	1	1986-11-01	25	6	http://www.sciencedirect.com/science/journal/00027138		00027138		fulltext	Now:Journal of the American Academy of Child & Adolescent Psychiatry		serial										0002-7138					
The Journal of the American Dental Association	0002-8177		1939-01-01	26	1				http://www.sciencedirect.com/science/journal/00028177		00028177		fulltext	previously: The Journal of the American Dental Association and the Dental Cosmos 1937-1938; The Journal of the American Dental Association 1922-1936		serial										0002-8177					
Journal of the American Dietetic Association	0002-8223		1993-01-01	93	1	2011-12-01	111	12	http://www.sciencedirect.com/science/journal/00028223		00028223		fulltext	Now:Journal of the Academy of Nutrition and Dietetics		serial										0002-8223					
American Heart Journal	0002-8703		1925-10-01	1	1				http://www.sciencedirect.com/science/journal/00028703		00028703		fulltext			serial										0002-8703					
The American Journal of Cardiology	0002-9149		1958-01-01	1	1				http://www.sciencedirect.com/science/journal/00029149		00029149		fulltext			serial										0002-9149					
The American Journal of Gastroenterology	0002-9270	1572-0241	1998-01-01	93	1	2003-12-01	98	12	http://www.sciencedirect.com/science/journal/00029270		00029270		fulltext	Transfer out:Blackwell 2004		serial										0002-9270	1572-0241				
The American Journal of Human Genetics	0002-9297	1537-6605	1997-06-01	60	6				http://www.sciencedirect.com/science/journal/00029297		00029297		fulltext			serial										0002-9297	1537-6605				
The American Journal of Medicine	0002-9343		1946-07-01	1	1				http://www.sciencedirect.com/science/journal/00029343		00029343		fulltext			serial										0002-9343					
American Journal of Obstetrics and Gynecology	0002-9378		1995-01-01	172	1				http://www.sciencedirect.com/science/journal/00029378		00029378		fulltext			serial										0002-9378					
American Journal of Ophthalmology	0002-9394		1998-01-01	125	1				http://www.sciencedirect.com/science/journal/00029394		00029394		fulltext			serial										0002-9394					
American Journal of Orthodontics	0002-9416		1948-01-01	34	1	1986-06-01	89	6	http://www.sciencedirect.com/science/journal/00029416		00029416		fulltext	Previously:American Journal of Orthodontics and Oral Surgery Now:American Journal of Orthodontics and Dentofacial Orthopedics		serial										0002-9416					
The American Journal of Pathology	0002-9440		1998-07-01	153	1				http://www.sciencedirect.com/science/journal/00029440		00029440		fulltext			serial										0002-9440					
The American Journal of Surgery	0002-9610		1926-07-01	1	1				http://www.sciencedirect.com/science/journal/00029610		00029610		fulltext			serial										0002-9610					
Analytica Chimica Acta	0003-2670		1947-01-01	1					http://www.sciencedirect.com/science/journal/00032670		00032670		fulltext			serial										0003-2670					
Analytical Biochemistry	0003-2697		1960-06-01	1	1				http://www.sciencedirect.com/science/journal/00032697		00032697		fulltext			serial										0003-2697					
Journal of the Anatomical Society of India	0003-2778		2010-06-01	59	1				http://www.sciencedirect.com/science/journal/00032778		00032778		fulltext			serial										0003-2778					
Angiología	0003-3170		2000-01-01	52	1				http://www.sciencedirect.com/science/journal/00033170		00033170		fulltext			serial										0003-3170					
Animal Behaviour	0003-3472		1958-01-01	6	1				http://www.sciencedirect.com/science/journal/00033472		00033472		fulltext	Previously:The British Journal of Animal Behaviour		serial										0003-3472					
Annales de Cardiologie et d'Angéiologie	0003-3928		2001-02-01	50	1				http://www.sciencedirect.com/science/journal/00033928		00033928		fulltext			serial										0003-3928					
Annales de Chirurgie	0003-3944		2000-01-01	125	1	2006-12-01	131	10	http://www.sciencedirect.com/science/journal/00033944		00033944		fulltext	Incorporating:Chirurgie Merged:Journal de Chirurgie		serial										0003-3944					
Annales de Génétique	0003-3995		2000-01-01	43	1	2004-10-31	47	4	http://www.sciencedirect.com/science/journal/00033995		00033995		fulltext	Now:European Journal of Medical Genetics		serial										0003-3995					
Annales d'Endocrinologie	0003-4266		2004-02-01	65	1				http://www.sciencedirect.com/science/journal/00034266		00034266		fulltext			serial										0003-4266					
Annales des Sciences Naturelles - Zoologie et Biologie Animale	0003-4339		1998-01-01	19	1	2000-12-01	21	4	http://www.sciencedirect.com/science/journal/00034339		00034339		fulltext	Ceased:2001		serial										0003-4339					
Annales d'Otolaryngologie et de Chirurgie Cervico-faciale	0003-438X		2004-01-01	121	1	2009-12-01	126	5	http://www.sciencedirect.com/science/journal/0003438X		0003438X		fulltext	Now:Annales françaises d'Oto-rhino-laryngologie et de Pathologie Cervico-faciale		serial										0003-438X					
Annales d'Urologie	0003-4401		2001-01-01	35	1	2007-12-01	41	6	http://www.sciencedirect.com/science/journal/00034401		00034401		fulltext	Ceased:2008		serial										0003-4401					
Annales Médico-psychologiques, revue psychiatrique	0003-4487		2001-02-01	159	1				http://www.sciencedirect.com/science/journal/00034487		00034487		fulltext			serial										0003-4487					
Annales Pharmaceutiques Françaises	0003-4509		2004-01-01	62	1				http://www.sciencedirect.com/science/journal/00034509		00034509		fulltext			serial										0003-4509					
Annals of Mathematical Logic	0003-4843		1970-01-01	1	1	1982-12-01	23	2	http://www.sciencedirect.com/science/journal/00034843		00034843		fulltext	Now:Annals of Pure and Applied Logic		serial										0003-4843					
The Annals of Occupational Hygiene	0003-4878	1475-3162	1995-02-01	39	1	2001-11-01	45	8	http://www.sciencedirect.com/science/journal/00034878		00034878		fulltext	Transfer out:Oxford University Press 2002		serial										0003-4878	1475-3162				
Annals of Physics	0003-4916		1957-04-01	1	1				http://www.sciencedirect.com/science/journal/00034916		00034916		fulltext			serial										0003-4916					
The Annals of Thoracic Surgery	0003-4975		1965-01-01	1	1				http://www.sciencedirect.com/science/journal/00034975		00034975		fulltext			serial										0003-4975					
L'Année Biologique	0003-5017		1998-01-01	37	1	2001-12-01	40		http://www.sciencedirect.com/science/journal/00035017		00035017		fulltext	Ceased:2001		serial										0003-5017					
L'Anthropologie	0003-5521		2000-01-01	104	1				http://www.sciencedirect.com/science/journal/00035521		00035521		fulltext			serial										0003-5521					
Applied Acoustics	0003-682X		1968-01-01	1	1				http://www.sciencedirect.com/science/journal/0003682X		0003682X		fulltext			serial										0003-682X					
Applied Ergonomics	0003-6870		1970-03-01	1	2				http://www.sciencedirect.com/science/journal/00036870		00036870		fulltext			serial										0003-6870					
Archiv für Protistenkunde	0003-9365		1978-01-01	120	1	1997-12-01	148	4	http://www.sciencedirect.com/science/journal/00039365		00039365		fulltext	Now:Protist		serial										0003-9365					
Archives of Biochemistry and Biophysics	0003-9861		1951-03-01	31	1				http://www.sciencedirect.com/science/journal/00039861		00039861		fulltext			serial										0003-9861					
Archives of Oral Biology	0003-9969		1959-08-01	1	1				http://www.sciencedirect.com/science/journal/00039969		00039969		fulltext			serial										0003-9969					
Archives of Physical Medicine and Rehabilitation	0003-9993	1532-821X	1995-01-01	76	1				http://www.sciencedirect.com/science/journal/00039993		00039993		fulltext			serial										0003-9993	1532-821X				
Artificial Intelligence	0004-3702		1970-03-01	1	1				http://www.sciencedirect.com/science/journal/00043702		00043702		fulltext			serial										0004-3702					
Atmospheric Environment (1967)	0004-6981		1967-01-01	1	1	1989-12-31	23		http://www.sciencedirect.com/science/journal/00046981		00046981		fulltext	Now:Atmospheric Environment. Part A. General Topics and Atmospheric Environment. Part B. Urban Atmosphere		serial										0004-6981					
Australian Journal of Physiotherapy	0004-9514		1955-01-01	1	1	2009-12-31	55	4	http://www.sciencedirect.com/science/journal/00049514		00049514		fulltext	Now:Journal of Physiotherapy		serial										0004-9514					
Automatica	0005-1098		1963-01-01	1	1				http://www.sciencedirect.com/science/journal/00051098		00051098		fulltext			serial										0005-1098					
