publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
ASME 2013 Turbine Blade Tip Symposium	978-0-7918-5607-9	978-0-7918-5607-9							https://asmedigitalcollection.asme.org/TBTS/TBTS2013/volume/56079		TBTS		fulltext		ASME	monograph	2013	2013	56079					P	
ASME 2019 Asia Pacific Pipeline Conference	978-0-7918-5891-2	978-0-7918-5891-2							https://asmedigitalcollection.asme.org/APPC/APPC2019/volume/58912		APPC		fulltext		ASME	monograph	2019	2019	58912					P	
2010 14th International Heat Transfer Conference, Volume 8	978-0-7918-4943-9	978-0-7918-4943-9							https://asmedigitalcollection.asme.org/IHTC/IHTC14/volume/49439		IHTC		fulltext		ASME	monograph	2010	2010	49439					P	
2022 49th Annual Review of Progress in Quantitative Nondestructive Evaluation (QNDE2022) - 2022 49th Annual Review of Progress in Quantitative Nondestructive Evaluation	978-0-7918-8659-5	978-0-7918-8659-5							https://asmedigitalcollection.asme.org/qnde/QNDE2022/volume/86595		qnde		fulltext		ASME	monograph	2022	2022	86595					P	
ASME/JSME 2011 8th Thermal Engineering Joint Conference	978-0-7918-3892-1	978-0-7918-3892-1							https://asmedigitalcollection.asme.org/AJTEC/AJTEC2011/volume/38921		AJTEC		fulltext		ASME	monograph	2011	2011	38921					P	
2019 15th Hypervelocity Impact Symposium (HVIS2019) - 2019 15th Hypervelocity Impact Symposium	978-0-7918-8355-6	978-0-7918-8355-6							https://asmedigitalcollection.asme.org/HVIS/HVIS2019/volume/883556		HVIS		fulltext		ASME	monograph	2019	2019	883556					P	
JSME 2020 Conference on Leading Edge Manufacturing/Materials and Processing	978-0-7918-8362-4	978-0-7918-8362-4							https://asmedigitalcollection.asme.org/lemp/LEMP2020/volume/83624		lemp		fulltext		ASME	monograph	2020	2020	83624					P	
ASME 2011 Small Modular Reactors Symposium - ASME 2011 Small Modular Reactors Symposium	978-0-7918-5473-0	978-0-7918-5473-0							https://asmedigitalcollection.asme.org/SMR/SMR2011/volume/54730		SMR		fulltext		ASME	monograph	2011	2011	54730					P	
ASME 2008 2nd Multifunctional Nanocomposites and Nanomaterials	0-7918-4291-6	0-7918-4291-6							https://asmedigitalcollection.asme.org/MN/MN2008/volume/42916		MN		fulltext		ASME	monograph	2008	2008	42916					P	
2008 Second International Conference on Integration and Commercialization of Micro and Nanosystems	0-7918-4294-0	0-7918-4294-0							https://asmedigitalcollection.asme.org/MNC/MICRONANO2008/volume/42940		MNC		fulltext		ASME	monograph	2008	2008	42940					P	
