publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Applied Mechanics Reviews	0003-6900	2379-0407	1985	38	10				http://appliedmechanicsreviews.asmedigitalcollection.asme.org/journal.aspx?journalid=113		appliedmechanicsreviews		fulltext			serial								P
ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part B: Mechanical Engineering	2332-9017	2332-9025	2015	1	1				http://risk.asmedigitalcollection.asme.org/journal.aspx?journalid=170		risk		fulltext			serial								P
Journal of Applied Mechanics	0021-8936	1528-9036	1960	27	1				http://appliedmechanics.asmedigitalcollection.asme.org/journal.aspx?journalid=112		appliedmechanics		fulltext			serial								P
Journal of Biomechanical Engineering	0148-0731	1528-8951	1977	99	1				http://biomechanical.asmedigitalcollection.asme.org/journal.aspx?journalid=114		biomechanical		fulltext			serial								P
Journal of Computational and Nonlinear Dynamics	1555-1415	1555-1423	2006	1	1				http://computationalnonlinear.asmedigitalcollection.asme.org/journal.aspx?journalid=115		computationalnonlinear		fulltext			serial								P
Journal of Computing and information Science in Engineering	1530-9827	1944-7078	2001	1	1				http://computingengineering.asmedigitalcollection.asme.org/journal.aspx?journalid=116		computingengineering		fulltext			serial								P
Journal of Dynamic Systems, Measurement, and Control	0022-0434	1528-9028	1971	93	1				http://dynamicsystems.asmedigitalcollection.asme.org/journal.aspx?journalid=117		dynamicsystems		fulltext	Papers previously published in the Journal of Basic Engineering which was discontinued in 1972		serial								P
Journal of Electrochemical Energy Conversion and Storage	2381-6872	2381-6910	2016	13	1				http://electrochemical.asmedigitalcollection.asme.org/journal.aspx?journalid=123		electrochemical		fulltext	Previously: Journal of Fuel Cell Science and Technology (2004-2015)		serial								P
Journal of Electronic Packaging	1043-7398	1528-9044	1989	111	1				http://electronicpackaging.asmedigitalcollection.asme.org/journal.aspx?journalid=118		electronicpackaging		fulltext			serial								P
Journal of Energy Resources Technology	0195-0738	1528-8994	1979	101	1				http://energyresources.asmedigitalcollection.asme.org/journal.aspx?journalid=119		energyresources		fulltext			serial								P
Journal of engineering and science in medical diagnostics and therapy.	2572-7958	2572-7966	2018	1	1				http://medicaldiagnostics.asmedigitalcollection.asme.org/journal.aspx?journalid=189		medicaldiagnostics		fulltext	New for 2018		serial								P
Journal of Engineering for Power	0022-0825		1960	82	1	1983	105	4	http://gasturbinespower.asmedigitalcollection.asme.org/journal.aspx?journalid=120		gasturbinespower		fulltext	Continued by Journal of Engineering for Gas Turbines and Power		serial								P
Journal of Engineering Materials and Technology	0094-4289	1528-8889	1973	95	1				http://materialstechnology.asmedigitalcollection.asme.org/journal.aspx?journalid=121		materialstechnology		fulltext	Papers previously published in the Journal of Basic Engineering which was discontinued in 1972		serial								P
Journal of Fluids Engineering	0098-2202	1528-901X	1973						http://fluidsengineering.asmedigitalcollection.asme.org/journal.aspx?journalid=122		fluidsengineering		fulltext	Papers previously published in the Journal of Basic Engineering which was discontinued in 1972		serial								P
Journal of Fuel Cell Science and Technology	1550-624X	1551-6989	2004	1	1	2015	12	6	http://fuelcellscience.asmedigitalcollection.asme.org/journal.aspx?journalid=123		fuelcellscience		fulltext	Now: Journal of Electrochemical Energy Conversion and Storage		serial								P
Journal of Manufacturing Science and Engineering	1087-1357	1528-8935	1996	118	2				http://manufacturingscience.asmedigitalcollection.asme.org/journal.aspx?journalid=125		manufacturingscience		fulltext	Previously Journal of Engineering for Industry		serial								P
