publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Journal of Applied Mechanics	0021-8936	1528-9036	1933	1	1				https://asmedigitalcollection.asme.org/appliedmechanics		JAMCAV		fulltext	Archive Collection volume 1-66 (years 1933-1999)	American Society of Mechanical Engineers	serial								P	129027812
Journal of Dynamic Systems, Measurement, and Control	2689-6117	0022-0434	1971	93	1				https://asmedigitalcollection.asme.org/dynamicsystems		JDSMAA		fulltext	Archive Collection volume 93-121 (years 1971-1999)	American Society of Mechanical Engineers	serial								P	038734710
Journal of Fluids Engineering	0098-2202	1528-901X	1973	95	1				https://asmedigitalcollection.asme.org/fluidsengineering		JFEGA4		fulltext	Archive Collection volume 95-121 (years 1973-1999)	American Society of Mechanical Engineers	serial								P	114709637
Journal of Engineering Materials and Technology	0094-4289	1528-8889	1973	95	1				https://asmedigitalcollection.asme.org/materialstechnology		JEMTA8		fulltext	Archive Collection volume 95-121 (years 1973-1999)	American Society of Mechanical Engineers	serial								P	059182679
Journal of Pressure Vessel Technology	0094-9930	1528-8978	1974	96	1				https://asmedigitalcollection.asme.org/pressurevesseltech		JPVTAS		fulltext	Archive Collection volume 96-121 (years 1974-1999)	American Society of Mechanical Engineers	serial								P	059182717
Journal of Biomechanical Engineering	0148-0731	1528-8951	1977	99	1				https://asmedigitalcollection.asme.org/biomechanical		JBENDY		fulltext	Archive Collection volume 99-121 (years 1977-1999)	American Society of Mechanical Engineers	serial								P	124305512
Journal of Energy Resources Technology	0195-0738	1528-8994	1979	101	1				https://asmedigitalcollection.asme.org/energyresources		JERTD2		fulltext	Archive Collection volume 101-121 (years 1979-1999)	American Society of Mechanical Engineers	serial								P	136007651
Journal of Solar Energy Engineering	0199-6231	1528-8986	1980	102	1				https://asmedigitalcollection.asme.org/solarenergyengineering		JSEEDO		fulltext	Archive Collection volume 102-121 (years 1990-1999)	American Society of Mechanical Engineers	serial								P	156302500
Journal of Engineering for Gas Turbines and Power	0742-4795	1528-8919	1984	106	1				https://asmedigitalcollection.asme.org/gasturbinespower		JETPEZ		fulltext	Archive Collection volume 106-121 (years 1984-1999)	American Society of Mechanical Engineers	serial								P	158256328
Journal of Tribology	0742-4787	1528-8897	1984	106	1				https://asmedigitalcollection.asme.org/tribology		JOTRE9		fulltext	Archive Collection volume 106-121 (years 1984-1999)	American Society of Mechanical Engineers	serial								P	124305504
