publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Agricultual History	0002-1482	1533-8290	2000-02-01	74	1				https://read.dukeupress.edu/agricultural-history		AGRE		fulltext		Duke University Press	serial								P	161243401
American Literary Scholarship	0065-9142	1527-2125	2000	1998	1	2022	2020	1	https://read.dukeupress.edu/am-lit-scholarship		ALSE		fulltext		Duke University Press	serial								P	233788026
American Literature	0002-9831	1527-2117	2000-03-01	72	1				https://read.dukeupress.edu/american-literature		AMLE		fulltext		Duke University Press	serial								P	045015457
American Speech	0003-1283	1527-2133	2000-02-01	75	1				https://read.dukeupress.edu/american-speech		ASPE		fulltext		Duke University Press	serial								P	045015473
Archives of Asian Art	0066-6637	1944-6497	2001-04-01	52	1				https://read.dukeupress.edu/archives-of-asian-art		AAAE		fulltext		Duke University Press	serial								P	131773038
Black Sacred Music	1043-9445	2640-9879	1987	1	1	1995	9	1-2	https://read.dukeupress.edu/black-sacred-music		BSME		fulltext		Duke University Press	serial								P	23350821X
boundary 2	0190-3659	1527-2141	2000-02-01	27	1				https://read.dukeupress.edu/boundary-2		BOUE		fulltext		Duke University Press	serial								P	045015481
Camera Obscura	0270-5346	1529-1510	1976-05-01	1	1				https://read.dukeupress.edu/camera-obscura		COBE		fulltext		Duke University Press	serial								P	058352635
Common Knowledge	0961-754X	1538-4578	2002-04-01	8	1				https://read.dukeupress.edu/common-knowledge		CKNE		fulltext		Duke University Press	serial								P	204030463
Comparative Literature	0010-4124	1945-8517	2000	52	1				https://read.dukeupress.edu/comparative-literature		CLJE		fulltext		Duke University Press	serial								P	129016632
