publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
AAPG Bulletin	0149-1423	1558-9153	2000	84	1				http://aapgbull.geoscienceworld.org/		aapgbull		fulltext		American Association of Petroleum Geologists	serial								P	111805252
American Mineralogist	0003-004X		1998	83	1-2				http://ammin.geoscienceworld.org/		ammin		fulltext		Mineralogical Society of America	serial								P	
Bulletin de la Société Géologique de France	0037-9409	1777-5817	1969	XI	1	1984	XXVI	6	http://bsgf.geoscienceworld.org/		bsgf		fulltext	Série 7	Société Géologique de France	serial								P	104152559
Bulletin de la Société Géologique de France	0037-9409	1777-5817	1985	I	1	1990	VI	6	http://bsgf.geoscienceworld.org/		bsgf		fulltext		Société Géologique de France	serial								P	104152559
Bulletin de la Société Géologique de France	0037-9409	1777-5817	1991	162	1				http://bsgf.geoscienceworld.org/		bsgf		fulltext		Société Géologique de France	serial								P	104152559
Bulletin of Canadian Petroleum Geology	0007-4802	2368-0261	2000	48	1				http://bcpg.geoscienceworld.org/		bcpg		fulltext		Canadian Society of Petroleum Geologists	serial								P	187767882
Bulletin of the Association of Engineering Geologists	0004-5691		1976	XIII	1	1994	XXXI	4	http://eeg.geoscienceworld.org/		eeg		fulltext		Association of Environmental & Engineering Geologists	serial								P	
Bulletin of the Geological Society of America	1050-9747		1890	1	1	1960	71	12	http://bulletin.geoscienceworld.org/		bulletin		fulltext		Geological Society of America	serial								P	
Bulletin of the Seismological Society of America	0037-1106	1943-3573	1911	1	1				http://bssa.geoscienceworld.org/		bssa		fulltext		Seismological Society of America	serial								P	128402504
Clay Minerals	0009-8558	1471-8030	1996	31	1				http://claymin.geoscienceworld.org/		claymin		fulltext		Mineralogical Society of Great Britain and Ireland	serial								P	058290435
Clays and Clay Minerals	0009-8604	1552-8367	2000	48	1				http://ccm.geoscienceworld.org/		ccm		fulltext		Clay Minerals Society	serial								P	083140891
Contributions to Geology (Laramie)	0010-7980		1962	1	1	1998	32	2	http://rmg.geoscienceworld.org/		rmg		fulltext		University of Wyoming	serial								P	
Earthquake Notes	0012-8287		1929	1	1	1986	57	4	http://srl.geoscienceworld.org		srl		fulltext		Seismological Society of America	serial								P	
Economic Geology	0013-0109		1905	1	1	1930	25	1	http://econgeol.geoscienceworld.org/		econgeol		fulltext	Now: Economic Geology, Bulletin of the Society of Economic Geologists		serial								P	
Economic Geology: Bulletin of the Society of Economic Geologists	0361-0128	1554-0774	1930	25	2				http://econgeol.geoscienceworld.org/		econgeol		fulltext		Society of Economic Geologists	serial								P	104869682
Elements	1811-5209	1811-5217	2005	1	1				http://elements.geoscienceworld.org/		elements		fulltext		Mineralogical Society of America	serial								P	120422980
Environmental Geosciences	1075-9565	1526-0984	1997	4	1				http://eg.geoscienceworld.org/		eg		fulltext		American Association of Petroleum Geologists	serial								P	058352228
Environmental and Engineering Geoscience	1078-7275	1558-9161	1995	I	1				http://eeg.geoscienceworld.org/		eeg		fulltext		Association of Environmental & Engineering Geologists	serial								P	116257091
European Journal of Mineralogy	0935-1221	1617-4011	1989	1	1				http://eurjmin.geoscienceworld.org/		eurjmin		fulltext		E. Schweizerbart'sche Verlagsbuchhandlung Science Publishers	serial								P	058456406
Exploration and Mining Geology	0964-1823	1878-6715	2000	9	1	2010	19	3-4	http://emg.geoscienceworld.org/		emg		fulltext		Canadian Institute of Mining, Metallurgy, and Petroleum	serial								P	127801731
GSA Bulletin	0016-7606	1943-2674	1961	72	1				http://bulletin.geoscienceworld.org/		bulletin		fulltext		Geological Society of America	serial								P	128401842
Geochemical Perspectives	2223-7755	2224-2759	2012	1	1				http://perspectives.geoscienceworld.org/		perspectives		fulltext		European Association of Geochemistry	serial								P	158589963
Geochemistry: Exploration, Environment, Analysis	1467-7873	2041-4943	2001	1	1				http://geea.geoscienceworld.org/		geea		fulltext		Geological Society of London	serial								P	136638163
Geological Magazine	0016-7568	1469-5081	2000	137	1				http://geolmag.geoscienceworld.org/		geolmag		fulltext		Cambridge University Press	serial								P	048900397
Geology	0091-7613	1943-2682	1973	1	1				http://geology.geoscienceworld.org/		geology		fulltext		Geological Society of America	serial								P	128401850
Geophysics	0016-8033	1942-2156	1936	1	1				http://geophysics.geoscienceworld.org/		geophysics		fulltext		Society of Exploration Geophysicists	serial								P	123880254
Geosphere		1553-040X	2005	1	1				http://geosphere.geoscienceworld.org/		geosphere		fulltext		Geological Society of America	serial								P	104902426
Interpretation	2324-8858	2324-8866	2013	1	1				http://interpretation.geoscienceworld.org/		interpretation		fulltext		American Association of Petroleum Geologists and Society of Exploration Geophysicists	serial								P	180533762
