publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
AAPG Bulletin	0149-1423	1558-9153	2000	84	1				https://pubs.geoscienceworld.org/aapgbull		aapgbull		fulltext			serial								P
American Mineralogist	0003-004X	1945-3027	1916	1	2				http://ammin.geoscienceworld.org/		ammin		fulltext			serial								P
Bulletin de la Société Géologique de France	0037-9409	1777-5817	1940						https://pubs.geoscienceworld.org/bsgf		bsgf		fulltext			serial								P
Bulletin of Canadian Petroleum Geology	0007-4802	2368-0261	2000	48	1				https://pubs.geoscienceworld.org/bcpg		bcpg		fulltext			serial								P
Bulletin of the Geological Society of America	1050-9747		1890	1	1	1960	71	12	http://bulletin.geoscienceworld.org/		bulletin		fulltext	Now: Geological Society of America Bulletin		serial								P
Bulletin of the Seismological Society of America	0037-1106	1943-3573	1911	1	1				https://pubs.geoscienceworld.org/bssa		bssa		fulltext			serial								P
Canadian Journal of Earth Sciences	0008-4077	1480-3313	2000	36	10				https://pubs.geoscienceworld.org/cjes		cjes		fulltext			serial								P
Canadian Mineralogist	0008-4476	1499-1276	1957	6	1				https://pubs.geoscienceworld.org/canmin		canmin		fulltext			serial								P
Clay Minerals	0009-8558	1471-8030	1996	31	1				https://pubs.geoscienceworld.org/claymin		claymin		fulltext	Transfer out (2018): Cambridge University Press		serial								P
Clays and Clay Minerals	0009-8604	1552-8367	2000	48	1				https://pubs.geoscienceworld.org/ccm		ccm		fulltext			serial								P
Economic Geology: Bulletin of the Society of Economic Geologists	0361-0128	1554-0774	1930	25	2				https://pubs.geoscienceworld.org/economicgeology		economicgeology		fulltext	Previously: Economic Geology (1905-1930)		serial								P
Elements	1811-5209	1811-5217	2005	1	1				https://pubs.geoscienceworld.org/elements		elements		fulltext			serial								P
