publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Literary Imagination	1523-9012	1752-6566	1999	1	1				https://academic.oup.com/litimag		litimag		fulltext			serial								P	115432833
Literature and Theology	0269-1205	1477-4623	1987	1	1				https://academic.oup.com/litthe		litthe		fulltext			serial								P	067784860
London Review of International Law	2050-6325	2050-6333	2013-09-01	1	1				https://academic.oup.com/lril		lril		fulltext	New from Oxford University Press in 2013		serial								P	175145539
MELUS: Multi-Ethnic Literature of the U.S.	0163-755X	1946-3170	1974-09-01	1	1				https://academic.oup.com/melus		melus		fulltext	2013 takeover previously self-published		serial								P	131781677
MHR: Molecular Human Reproduction	1360-9947	1460-2407	1995-03-01	1	1				https://academic.oup.com/molehr		molehr		fulltext			serial								P	058286497
Mammalian Species	0076-3519	1545-1410	1969-12-01		1				https://academic.oup.com/mspecies		mspecies		fulltext	transfer in (2015): Allen Press (BioOne)		serial								P	076877280
Medical Law Review	0967-0742	1464-3790	1993	1	1				https://academic.oup.com/medlaw		medlaw		fulltext			serial								P	112892620
Mershon International Studies Review	1079-1760		1994-04-01	38	1	1998-11-30	42	2	https://academic.oup.com/isr/issue		isrissue		fulltext	Now: International Studies Review		serial								P	
Metallomics	1756-5901	1756-591X	2009	1	1				https://academic.oup.com/metallomics		metallomics		fulltext	new to OUP 2021		serial								P	140305882
Microscopy Today	1551-9295	2150-3583	1992		1				https://academic.oup.com/mt		mt		fulltext	transfer in (2023): CUP		serial								P	136639666
Microscopy and Microanalysis	1431-9276	1435-8115	2023	29	1				https://academic.oup.com/mam		mam		fulltext	Transfer in (2023): CUP		serial								P	044897634
Migration Studies	2049-5838	2049-5846	2013-03-01	1	1				https://academic.oup.com/migration		migration		fulltext			serial								P	170346811
Military Surgeon	0096-6827		1940-07-01	87	1	1954-12-31	115	6	https://academic.oup.com/milmed/issue		milmedissue		fulltext	now: Military Medicine (ISSN: 0026-4075; 1955- ); previously: Military Surgeon (ISSN: 0096-6827; 1940-1954); Journal of the Association of Military Surgeons of the United States (ISSN: 1075-637X; 1901-1906)		serial								P	
Mind	0026-4423	1460-2113	1876	1	1				https://academic.oup.com/mind		mind		fulltext			serial								P	058286357
Modern Judaism	0276-1114	1086-3273	1981	1	1				https://academic.oup.com/mj		mj		fulltext			serial								P	058046585
Modern Rheumatology Case Reports		2472-5625	2017	1	1				https://academic.oup.com/mrcr		mrcr		fulltext	transfer in (2021): Taylor & Francis		serial								P	204143888
Molecular Biology and Evolution	0737-4038	1537-1719	1983-12-01	1	1				https://academic.oup.com/mbe		mbe		fulltext			serial								P	148307736
Molecular Plant	1674-2052	1752-9867	2008	1	1	2014			https://mplant.oxfordjournals.org		https:mplant.oxfordjournals.org		fulltext	transfer out (2015): Cell Press		serial								P	128395699
Molecular endocrinology	0888-8809	1944-9917	1987-01-01	1	1	2016-10-31	30	10	https://academic.oup.com/mend		mend		fulltext	Merged into: Endocrinology (2017)		serial								P	131252747
Monthly Notices of the Royal Astronomical Society	0035-8711	1365-2966	1996	278	1				https://academic.oup.com/mnras		mnras		fulltext	2013 takeover from Wiley. It was part of NESLI2 Wiley 2012		serial								P	058212701
Monthly Notices of the Royal Astronomical Society: Letters	1745-3925	1745-3933	2005	356	1				https://academic.oup.com/mnrasl		mnrasl		fulltext			serial								P	131762818
Multimedia Manual of Cardio-Thoracic Surgery		1813-9175	2015			2015			https://mmcts.oxfordjournals.org		https:mmcts.oxfordjournals.org		fulltext	Transfer out (2017): EACTS		serial								P	169588718
Music Theory Spectrum	0195-6167	1533-8339	1979	1	1	1996	14	1	https://academic.oup.com/mts		mts		fulltext	2014 takeover from University California Press; ceased 1996		serial								P	083135413
Journal of Medical Entomology	0022-2585	1938-2928	1964	1	1				https://academic.oup.com/jme		jme		fulltext	transfer in (2015): Entomological Society of America (BioOne)		serial								P	128369639
Journal of Medical and Veterinary Mycology	0268-1218	1365-280X	1986	1	1	1997			https://academic.oup.com/jmvm		jmvm		fulltext	transfer in (2014): Informa. Now: Medical Mycology. Previously: Sabouraudia (1962-1985)		serial								P	044652267
Journal of Molecular Cell Biology	1674-2788	1759-4685	2009-10-01	1	1				https://academic.oup.com/jmcb		jmcb		fulltext	Moving to Open Access in 2019		serial								F	150071779
Journal of Music Therapy	0022-2917	2053-7395	1964	1	1				https://academic.oup.com/jmt		jmt		fulltext	2014 takeover - self published		serial								P	180528378
Journal of Neuropathology and Experimental Neurology	0022-3069	1554-6578	1996	55	1				https://academic.oup.com/jnen		jnen		fulltext	transfer in (2016): Self Published by American Association of Neuropathologists, Inc.		serial								P	118042084
Journal of Nutrition	0022-3166	1541-6100	1963-05-01	80	1				https://academic.oup.com/jn		jn		fulltext	Transfer in (2018): American Society for Nutrition		serial								P	076872807
Journal of Pediatric Psychology	0146-8693	1465-735X	1976	1	1				https://academic.oup.com/jpepsy		jpepsy		fulltext			serial								P	115431543
Journal of Petrology	0022-3530	1460-2415	1960-02-01	1	1				https://academic.oup.com/petrology		petrology		fulltext			serial								P	058286500
Journal of Pharmaceutical Health Services Research	1759-8885	1759-8893	2010-02-01	1	1				https://academic.oup.com/jphsr		jphsr		fulltext	new to OUP 2021		serial								P	16124355X
Journal of Pharmacy and Pharmacology: An International Journal of Pharmaceutical Science	0022-3573	2042-7158	1996	48	1				https://academic.oup.com/jpp		jpp		fulltext	New to OUP 2021		serial								P	148310192
Journal of Philosophy of Education	0309-8249	1467-9752	2023	57	1				https://academic.oup.com/jope		jope		fulltext	Transfer in (2023): Wiley		serial								P	05828804X
Journal of Plankton Research	0142-7873	1464-3774	1979	1	1				https://academic.oup.com/plankt		plankt		fulltext			serial								P	112892612
