publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A Practical Approach to Civil Procedure	9780198747673	9780191810626							http://www.oxfordlawtrove.com/view/10.1093/he/9780198747673.001.0001/he-9780198747673	Sime	he-9780198747673		fulltext		Oxford University Press	monograph	2016	2016		19				P	
A Practical Approach to Conveyancing	9780198747642	9780191810602							http://www.oxfordlawtrove.com/view/10.1093/he/9780198747642.001.0001/he-9780198747642	Abbey	he-9780198747642		fulltext		Oxford University Press	monograph	2016	2016		18				P	
Administrative Law	9780198714507	9780191795732							http://www.oxfordlawtrove.com/view/10.1093/he/9780198714507.001.0001/he-9780198714507	Endicott	he-9780198714507		fulltext		Oxford University Press	monograph	2015	2015		3				P	
Anson's Law Of Contract	9780198734789	9780191799372							http://www.oxfordlawtrove.com/view/10.1093/he/9780198734789.001.0001/he-9780198734789	Beatson	he-9780198734789		fulltext		Oxford University Press	monograph	2016	2016		30				P	
Borkowski's Textbook on Roman Law	9780198736226	9780191811296							http://www.oxfordlawtrove.com/view/10.1093/he/9780198736226.001.0001/he-9780198736226	du Plessis	he-9780198736226		fulltext		Oxford University Press	monograph	2015	2015		5				P	
Brownlie's Principles of Public International Law	9780199699698	9780191764622							http://www.oxfordlawtrove.com/view/10.1093/he/9780199699698.001.0001/he-9780199699698	Crawford	he-9780199699698		fulltext		Oxford University Press	monograph	2012	2013		8				P	
Business Law	9780198727347	9780191793493							http://www.oxfordlawtrove.com/view/10.1093/he/9780198727347.001.0001/he-9780198727347	Marson	he-9780198727347		fulltext		Oxford University Press	monograph	2015	2015		4				P	
Business Law 2016-2017	9780198765950	9780191820595							http://www.oxfordlawtrove.com/view/10.1093/he/9780198765950.001.0001/he-9780198765950	Slorach	he-9780198765950		fulltext		Oxford University Press	monograph	2016	2016		24				P	
Business Law Concentrate: Law Revision and Study Guide	9780198759126	9780191819766							http://www.oxfordlawtrove.com/view/10.1093/he/9780198759126.001.0001/he-9780198759126	Marson	he-9780198759126		fulltext		Oxford University Press	monograph	2016	2016		3				P	
Casebook on Contract Law	9780198732815	9780191797637							http://www.oxfordlawtrove.com/view/10.1093/he/9780198732815.001.0001/he-9780198732815	Poole	he-9780198732815		fulltext		Oxford University Press	monograph	2016	2016		13				P	
Cases & Materials on Constitutional & Administrative Law	9780199678211	9780191784637							http://www.oxfordlawtrove.com/view/10.1093/he/9780199678211.001.0001/he-9780199678211	Thompson	he-9780199678211		fulltext		Oxford University Press	monograph	2014	2014		11				P	
Cases & Materials on EU Law	9780198748809	9780191811449							http://www.oxfordlawtrove.com/view/10.1093/he/9780198748809.001.0001/he-9780198748809	Weatherill	he-9780198748809		fulltext		Oxford University Press	monograph	2016	2016		12				P	
Cases & Materials on Employment Law	9780199679096	9780191811463							http://www.oxfordlawtrove.com/view/10.1093/he/9780199679096.001.0001/he-9780199679096	Painter	he-9780199679096		fulltext		Oxford University Press	monograph	2015	2015		10				P	
Cases and Materials on International Law	9780199562718	9780191763656							http://www.oxfordlawtrove.com/view/10.1093/he/9780199562718.001.0001/he-9780199562718	Dixon	he-9780199562718		fulltext		Oxford University Press	monograph	2011	2013		5				P	
Cases, Materials, and Commentary on the European Convention on Human Rights	9780199577361	9780191763748							http://www.oxfordlawtrove.com/view/10.1093/he/9780199577361.001.0001/he-9780199577361	Mowbray	he-9780199577361		fulltext		Oxford University Press	monograph	2012	2013		3				P	
Cheshire, Fifoot and Furmston's Law of Contract	9780199568345	9780191763687							http://www.oxfordlawtrove.com/view/10.1093/he/9780199568345.001.0001/he-9780199568345	Furmston	he-9780199568345		fulltext		Oxford University Press	monograph	2012	2013		16				P	
