publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Aesthetic Surgery Journal. Open Forum		2631-4797	2019	1	1				https://academic.oup.com/asjopenforum/issue		asjopenforum		fulltext	Open Access		serial								F	235215465
Animal Frontiers	2160-6056	2160-6064	2011	1	1				https://academic.oup.com/af		af		fulltext	Open Access; transfer in (2018): American Society of Animal Science		serial								F	159889111
Antibody Therapeutics		2516-4236	2018	1	1				https://academic.oup.com/abt		abt		fulltext	New for 2019. Open Access		serial								F	23085205X
AoB Plants		2041-2851	2009	2009					https://academic.oup.com/aobpla		aobpla		fulltext	Open Access		serial								F	149005652
Arthropod Management Tests	2155-9848	2155-9856	1999	24	1				https://academic.oup.com/amt		amt		fulltext	Open Access. transfer in (2015): Entomological Society of America		serial								F	147873606
BJS Open		2474-9842	2017	1	1				https://academic.oup.com/bjsope/issue		bjsope		fulltext	Open Access		serial								F	220267561
Biology Methods and Protocols		2396-8923	2016	1	1				https://academic.oup.com/biomethods		biomethods		fulltext	Open Access		serial								F	198530331
Biology of Reproduction	0006-3363	1529-7268	1969	1	1	1995	53	6	https://academic.oup.com/biolreprod/issue		biolreprod		fulltext	Open Access		serial								F	059183136
Bioscience Horizons		1754-7431	2008	1	1				https://academic.oup.com/biohorizons		biohorizons		fulltext	Open Access		serial								F	128395826
Brain Communications		2632-1297	2019	1	1				https://academic.oup.com/braincomms/issue		braincomms		fulltext	Open Access		serial								F	238218384
Cerebral Cortex Communications		2632-7376	2020	1	1				https://academic.oup.com/cercorcomms/issue		cercorcomms		fulltext	Open Access		serial								F	252280415
Clean Energy	2515-4230	2515-396X	2017	1	1				https://academic.oup.com/ce/issue		ce		fulltext	Open Access		serial								F	224182765
Clinical Kidney Journal	2048-8505	2048-8513	2012	5	1				https://academic.oup.com/ckj		ckj		fulltext	Open Access; previously: NDT Plus (2008-2011, same ISSN)		serial								F	161412491
Conservation Physiology		2051-1434	2013	1	1				https://academic.oup.com/conphys		conphys		fulltext	Open Access		serial								F	174285043
Critical Values	2378-8321	2378-8372	2008	1	1				https://academic.oup.com/criticalvalues/issue		criticalvalues		fulltext	Open Access		serial								F	187163758
Crohn’s & Colitis 360		2631-827X	2019	1	1				https://academic.oup.com/crohnscolitis360/issue		crohnscolitis360		fulltext	Open Access		serial								F	240295897
Current Developments in Nutrition		2475-2991	2017	1	1				https://academic.oup.com/cdn		cdn		fulltext	Transfer in (2018): American Society for Nutrition. Open Access		serial								F	221013490
Current Zoology	1674-5507	2396-9814	2011	57	1				https://academic.oup.com/cz		cz		fulltext	Previously: Acta Zoologica Sinica (1950-2008). Open Access		serial								F	195678486
DNA Research	1340-2838	1756-1663	1994	1	1				https://academic.oup.com/dnaresearch		dnaresearch		fulltext	Open Access		serial								F	12042245X
Database: The Journal of Biological Databases & Curation		1758-0463	2010	2010					https://academic.oup.com/database		database		fulltext	Open Access		serial								F	148308333
Dynamics and Statistics of the Climate System		2059-6987	2016	1	1				https://academic.oup.com/climatesystem		climatesystem		fulltext	new 2016. Open Access		serial								F	198527772
ESHRE Monograph	1477-741X	1477-8378	2002	1	1	2008	2008	1	https://academic.oup.com/eshremonographs/issue		eshremonographs		fulltext	Open Access; ESHRE Monograph is a supplement of Human Reproduction Update		serial								F	078920043
Endocrinology	0013-7227	1945-7170	1917	1	1	1995	136	12	https://academic.oup.com/endo/issue		endo		fulltext	Open Access. Incorporates in part American Goiter Association Transactions (United States) (ISSN:0096-7173, 1957-) previously American Association for the Study of Goiter Transactions (United States)(up to 1948)		serial								F	128405457
Environmental Epigenetics		2058-5888	2015	1	1				https://academic.oup.com/eep		eep		fulltext	Open Access		serial								F	189875119
European Heart Journal. Case Reports		2514-2119	2017	1	1				https://academic.oup.com/ehjcr/issue		ehjcr		fulltext	Open Access		serial								F	223590789
European Heart Journal. Digital Health		2634-3916	2020	1	1				https://academic.oup.com/ehjdh/issue		ehjdh		fulltext	Open Access		serial								F	25282167X
Evolution, Medicine, and Public Health		2050-6201	2013	2013	1				https://academic.oup.com/emph		emph		fulltext	Open Access		serial								F	175787034
FEMS Immunology and Medical Microbiology	0928-8244	1574-695X	1988	1	1	1992	5	05-Jun	https://academic.oup.com/femspd/issue		femspd		fulltext	Open Access. FEMS Microbiology Immunology, 1988-1992, n/a, 0920-8534. Now: Pathogens and Disease (ISSN: 2049-632X; 2013- )		serial								F	070749132
FEMS Microbiology Ecology	0168-6496	1574-6941	1985	1	1	1995	18	4	https://academic.oup.com/femsec/issue		femsec		fulltext	Open Access. Supersedes in part : FEMS Microbiology Letters (Netherlands) (ISSN:0378-1097, 1985-)		serial								F	131761595
FEMS Microbiology Letters	0378-1097	1574-6968	1977	1	1	1995	134	02-Mar	https://academic.oup.com/femsle/issue		femsle		fulltext	Open Access. Superseded in part by FEMS Microbiology Ecology (ISSN: 1574-6941 ) and FEMS Microbiology Reviews (ISSN:0168-6445, 1985-)		serial								F	086837648
FEMS Microbiology Reviews	0168-6445	1574-6976	1985	1	1	1995	17	4	https://academic.oup.com/femsre/issue		femsre		fulltext	Open Access. Supersedes in part: FEMS Microbiology Letters (Netherlands) (ISSN:0378-1097, 1985-)		serial								F	070950520
Food Quality and Safety	2399-1399	2399-1402	2017	1	1				https://academic.oup.com/fqs/issue		fqs		fulltext	Open Access		serial								F	204062608
Function		2633-8823	2020	1	1				https://academic.oup.com/function/issue		function		fulltext	Open Access		serial								F	24831307X
G3: Genes/Genomes/Genetics		2160-1836	2011	1	1				https://academic.oup.com/gthree/issue		gthree		fulltext	Open Access		serial								F	157753360
Gastroenterology Report		2052-0034	2013	1	1				https://academic.oup.com/gastro		gastro		fulltext	Open Access		serial								F	176271767
Genome Biology and Evolution		1759-6653	2009	1	1				https://academic.oup.com/gbe		gbe		fulltext	Open Access		serial								F	148308392
GigaScience		2047-217X	2012	1	1				https://academic.oup.com/gigascience		gigascience		fulltext	New for 2017. Open Access		serial								F	163678758
Human Reproduction Open		2399-3529	2017	2017	1				https://academic.oup.com/hropen/issue		hropen		fulltext	Open Access		serial								F	203399269
Immunotherapy Advances		2732-4303	2020	1	1				https://academic.oup.com/immadv/issue		immadv		fulltext	Open Access		serial								F	254274226
In Silico Plants		2517-5025	2019	1	1				https://academic.oup.com/insilicoplants/issue		insilicoplants		fulltext	Open Access		serial								F	242320465
Innovation in Aging		2399-5300	2017	1	1				https://academic.oup.com/innovateage/issue		innovateage		fulltext	Open Access		serial								F	203399277
Insecticide and Acaricide Tests	0276-3656		1976	1	1	1993	18	1	https://academic.oup.com/amt/issue		amt		fulltext	Open Access. Previously (up to 1994): Insecticide and Acaricide Tests ( United States) (ISSN: 0276-3656)		serial								F	
Integrative Organismal Biology		2517-4843	2019	1	1				https://academic.oup.com/iob		iob		fulltext	New for 2019. Open Access.		serial								F	241904382
Interactive CardioVascular and Thoracic Surgery	1569-9293	1569-9285	2002	1	1				https://academic.oup.com/icvts/issue		icvts		fulltext	Open Access		serial								F	104902620
International Health	1876-3413	1876-3405	2002	1	1				https://academic.oup.com/inthealth/issue		inthealth		fulltext	Open Access		serial								F	14454587X
International Journal of Low-Carbon Technologies	1748-1317		2006	1	1				https://academic.oup.com/ijlct		ijlct		fulltext	Open Access		serial								F	
JAC - Antimicrobial Resistance		2632-1823	2019	1	1				https://academic.oup.com/jacamr/issue		jacamr		fulltext	Open Access		serial								F	237358034
JAMIA Open		2574-2531	2018	1	1				https://academic.oup.com/jamiaopen/issue		jamiaopen		fulltext	Open Access		serial								F	229741169
JNCI Cancer Spectrum		1475-4029	2017	1	1				https://academic.oup.com/jncics		jncics		fulltext	Open Access; New for 2017		serial								F	090128982
Journal of Computer-Mediated Communication		1083-6101	1995	1	1				https://academic.oup.com/jcmc		jcmc		fulltext	Open Access		serial								F	040343219
Journal of Crohn's and Colitis Supplements	1873-9954	1876-4460	2007	1	1	2010	4	1	https://academic.oup.com/ecco-jccs/issue		ecco-jccs		fulltext	Open Access. Journal of Crohn's and Colitis Supplements was the separate sister supplement journal to Journal of Crohn’s and Colitis (2007-2010)		serial								F	118963635
Journal of Cybersecurity	2057-2085	2057-2093	2015	1	1				https://academic.oup.com/cybersecurity		cybersecurity		fulltext	Open Access		serial								F	190189177
