publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
African American Studies - Oxford Bibliographies		9780190280024							https://www.oxfordbibliographies.com/browse?module_0=obo-9780190280024		obo-9780190280024		fulltext		Oxford University Press	monograph		2016			Jarrett			P	
African Studies - Oxford Bibliographies		9780199846733							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199846733		obo-9780199846733		fulltext		Oxford University Press	monograph		2012			Spear			P	
American Literature - Oxford Bibliographies		9780199827251							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199827251		obo-9780199827251		fulltext		Oxford University Press	monograph		2012			Bryer			P	
Anthropology - Oxford Bibliographies		9780199766567							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199766567		obo-9780199766567		fulltext		Oxford University Press	monograph		2012			Jackson			P	
Art History - Oxford Bibliographies		9780199920105							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199920105		obo-9780199920105		fulltext		Oxford University Press	monograph		2014			Kaufmann			P	
Atlantic History - Oxford Bibliographies		9780199730414							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199730414		obo-9780199730414		fulltext		Oxford University Press	monograph		2010			Burnard			P	
Biblical Studies - Oxford Bibliographies		9780195393361							https://www.oxfordbibliographies.com/browse?module_0=obo-9780195393361		obo-9780195393361		fulltext		Oxford University Press	monograph		2010			Matthews			P	
British and Irish Literature - Oxford Bibliographies		9780199846719							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199846719		obo-9780199846719		fulltext		Oxford University Press	monograph		2012			Hadfield			P	
Buddhism - Oxford Bibliographies		9780195393521							https://www.oxfordbibliographies.com/browse?module_0=obo-9780195393521		obo-9780195393521		fulltext		Oxford University Press	monograph		2010			Payne			P	
Childhood Studies - Oxford Bibliographies		9780199791231							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199791231		obo-9780199791231		fulltext		Oxford University Press	monograph		2012			Montgomery			P	
Chinese Studies - Oxford Bibliographies		9780199920082							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199920082		obo-9780199920082		fulltext		Oxford University Press	monograph		2013			Wright			P	
Cinema and Media Studies - Oxford Bibliographies		9780199791286							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199791286		obo-9780199791286		fulltext		Oxford University Press	monograph		2011			Gabbard			P	
Classics - Oxford Bibliographies		9780195389661							https://www.oxfordbibliographies.com/browse?module_0=obo-9780195389661		obo-9780195389661		fulltext		Oxford University Press	monograph		2010			Clayman			P	
Communication - Oxford Bibliographies		9780199756841							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199756841		obo-9780199756841		fulltext		Oxford University Press	monograph		2011			Moy			P	
Criminology - Oxford Bibliographies		9780195396607							https://www.oxfordbibliographies.com/browse?module_0=obo-9780195396607		obo-9780195396607		fulltext		Oxford University Press	monograph		2010			Wright			P	
Ecology - Oxford Bibliographies		9780199830060							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199830060		obo-9780199830060		fulltext		Oxford University Press	monograph		2012			Gibson			P	
Education - Oxford Bibliographies		9780199756810							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199756810		obo-9780199756810		fulltext		Oxford University Press	monograph		2011			Meyer			P	
Environmental Science - Oxford Bibliographies		9780199363445							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199363445		obo-9780199363445		fulltext		Oxford University Press	monograph		2015			Wohl			P	
Evolutionary Biology - Oxford Bibliographies		9780199941728							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199941728		obo-9780199941728		fulltext		Oxford University Press	monograph		2014			Losos			P	
Geography - Oxford Bibliographies		9780199874002							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199874002		obo-9780199874002		fulltext		Oxford University Press	monograph		2013			Warf			P	
Hinduism - Oxford Bibliographies		9780195399318							https://www.oxfordbibliographies.com/browse?module_0=obo-9780195399318		obo-9780195399318		fulltext		Oxford University Press	monograph		2011			Coleman			P	
International Law - Oxford Bibliographies		9780199796953							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199796953		obo-9780199796953		fulltext		Oxford University Press	monograph		2012			Carty			P	
International Relations - Oxford Bibliographies		9780199743292							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199743292		obo-9780199743292		fulltext		Oxford University Press	monograph		2011			James			P	
Islamic Studies - Oxford Bibliographies		9780195390155							https://www.oxfordbibliographies.com/browse?module_0=obo-9780195390155		obo-9780195390155		fulltext		Oxford University Press	monograph		2010			Rippin			P	
Jewish Studies - Oxford Bibliographies		9780199840731							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199840731		obo-9780199840731		fulltext		Oxford University Press	monograph		2012			Seidman			P	
Latin American Studies - Oxford Bibliographies		9780199766581							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199766581		obo-9780199766581		fulltext		Oxford University Press	monograph		2011			Vinson			P	
Latino Studies - Oxford Bibliographies		9780199913701							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199913701		obo-9780199913701		fulltext		Oxford University Press	monograph		2013			Stavans			P	
Linguistics - Oxford Bibliographies		9780199772810							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199772810		obo-9780199772810		fulltext		Oxford University Press	monograph		2011			Aronoff			P	
Literary and Critical Theory - Oxford Bibliographies		9780190221911							https://www.oxfordbibliographies.com/browse?module_0=obo-9780190221911		obo-9780190221911		fulltext		Oxford University Press	monograph		2017			O'Brien			P	
Management Studies - Oxford Bibliographies		9780199846740							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199846740		obo-9780199846740		fulltext		Oxford University Press	monograph		2013			Griffin			P	
Medieval Studies - Oxford Bibliographies		9780195396584							https://www.oxfordbibliographies.com/browse?module_0=obo-9780195396584		obo-9780195396584		fulltext		Oxford University Press	monograph		2010			Szarmach			P	
Military History - Oxford Bibliographies		9780199791279							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199791279		obo-9780199791279		fulltext		Oxford University Press	monograph		2012			Showalter			P	
Music - Oxford Bibliographies		9780199757824							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199757824		obo-9780199757824		fulltext		Oxford University Press	monograph		2011			Gustafson			P	
Oxford Bibliographies in Architecture, Planning, and Preservation: Your Best Research Starts Here		9780190922467							https://www.oxfordbibliographies.com/browse?module_0=obo-9780190922467		obo-9780190922467		fulltext		Oxford University Press	monograph		2019			Murphy			P	
Philosophy - Oxford Bibliographies		9780195396577							https://www.oxfordbibliographies.com/browse?module_0=obo-9780195396577		obo-9780195396577		fulltext		Oxford University Press	monograph		2010			Pritchard			P	
Political Science - Oxford Bibliographies		9780199756223							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199756223		obo-9780199756223		fulltext		Oxford University Press	monograph		2011			Maisel			P	
Psychology - Oxford Bibliographies		9780199828340							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199828340		obo-9780199828340		fulltext		Oxford University Press	monograph		2011			Dunn			P	
Public Health - Oxford Bibliographies		9780199756797							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199756797		obo-9780199756797		fulltext		Oxford University Press	monograph		2011			McQueen			P	
Renaissance and Reformation - Oxford Bibliographies		9780195399301							https://www.oxfordbibliographies.com/browse?module_0=obo-9780195399301		obo-9780195399301		fulltext		Oxford University Press	monograph		2010			King			P	
Social Work - Oxford Bibliographies		9780195389678							https://www.oxfordbibliographies.com/browse?module_0=obo-9780195389678		obo-9780195389678		fulltext		Oxford University Press	monograph		2010			Mullen			P	
Sociology - Oxford Bibliographies		9780199756384							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199756384		obo-9780199756384		fulltext		Oxford University Press	monograph		2011			Baxter			P	
Victorian Literature - Oxford Bibliographies		9780199799558							https://www.oxfordbibliographies.com/browse?module_0=obo-9780199799558		obo-9780199799558		fulltext		Oxford University Press	monograph		2011			John			P	
